-,repair_cost-,repair_time-parallel,repair_time-sequential
count,5000.0,5000.0,5000.0
mean,705507.6544718856,214.9806211087069,551.2177729998834
std,747415.8974471322,81.8629567630215,235.92176111811918
log_std,0.47977973129641527,0.3810596463263957,0.45686731884024695
min,50311.98222138989,22.963615739947784,33.11338437123264
0.1%,90297.1882363712,38.61855058232956,75.78262754913779
2.3%,219300.10023533,86.41079478876843,180.37153144664202
10%,339816.78848775674,125.68929841546513,277.9779731706468
15.9%,400597.0271453932,142.07010128076556,328.35452200881303
50%,632543.9357099775,203.79386894857254,515.9272090819672
84.1%,939304.1967538485,287.2480263814086,780.116473680943
90%,1044782.3754116622,317.660252661541,866.2592344609453
97.7%,1353397.8615408726,404.2408085617861,1105.1934907609818
99.9%,14266369.141259065,730.1245910537386,1530.23027500873
max,14266442.735706318,730.2791228147988,1860.9165880535752
