cmp-loc-dir,B.10.71.002-1-1,B.10.71.002-1-2,B.10.71.002-2-1,B.10.71.002-2-2,B.10.71.002-3-1,B.10.71.002-3-2,B.10.71.002-4-1,B.10.71.002-4-2,B.10.71.012-1-1,B.10.71.012-1-2,B.10.71.012-2-1,B.10.71.012-2-2,B.10.71.012-3-1,B.10.71.012-3-2,B.10.71.012-4-1,B.10.71.012-4-2,B.20.11.102-1-1,B.20.11.102-1-2,B.20.11.102-2-1,B.20.11.102-2-2,B.20.11.102-3-1,B.20.11.102-3-2,B.20.11.102-4-1,B.20.11.102-4-2,B.20.11.121-1-1,B.20.11.121-1-2,B.20.11.121-2-1,B.20.11.121-2-2,B.20.11.121-3-1,B.20.11.121-3-2,B.20.11.121-4-1,B.20.11.121-4-2,B.30.11.012-5-1,C.10.11.001a-1-1,C.10.11.001a-1-2,C.10.11.001a-2-1,C.10.11.001a-2-2,C.10.11.001a-3-1,C.10.11.001a-3-2,C.10.11.001a-4-1,C.10.11.001a-4-2,C.10.11.011a-1-1,C.10.11.011a-1-2,C.10.11.011a-2-1,C.10.11.011a-2-2,C.10.11.011a-3-1,C.10.11.011a-3-2,C.10.11.011a-4-1,C.10.11.011a-4-2,C.20.11.001b-1-1,C.20.11.001b-1-2,C.20.11.001b-2-1,C.20.11.001b-2-2,C.20.11.001b-3-1,C.20.11.001b-3-2,D.10.14.021-1-1,D.20.21.013a-1-1,D.20.21.013a-2-1,D.20.21.013a-3-1,D.20.21.013a-4-1,D.20.21.013b-1-1,D.20.21.013b-2-1,D.20.21.013b-3-1,D.20.21.013b-4-1,D.20.21.023a-1-1,D.20.21.023a-2-1,D.20.21.023a-3-1,D.20.21.023a-4-1,D.20.21.023b-1-1,D.20.21.023b-2-1,D.20.21.023b-3-1,D.20.21.023b-4-1,D.20.31.013b-1-1,D.20.31.013b-2-1,D.20.31.013b-3-1,D.20.31.013b-4-1,D.30.31.013a-5-1,D.30.31.013b-5-1,D.30.41.011c-1-1,D.30.41.011c-1-2,D.30.41.011c-2-1,D.30.41.011c-2-2,D.30.41.011c-3-1,D.30.41.011c-3-2,D.30.41.011c-4-1,D.30.41.011c-4-2,D.30.41.032c-1-1,D.30.41.032c-2-1,D.30.41.032c-3-1,D.30.41.032c-4-1,D.30.41.102b-1-1,D.30.41.102b-2-1,D.30.41.102b-3-1,D.30.41.102b-4-1,D.30.41.103a-5-1,D.30.52.013a-5-2,D.30.52.013b-1-1,D.30.67.012a-1-1,D.30.67.012b-1-1,D.40.11.023a-1-1,D.40.11.023a-2-1,D.40.11.023a-3-1,D.40.11.023a-4-1,D.40.11.074a-1-1,D.40.11.074a-2-1,D.40.11.074a-3-1,D.40.11.074a-4-1,D.50.11.011a-1-1,D.50.12.013d-1-1,D.50.12.023a-1-1,D.50.12.023b-1-1,collapse-0-1,excessiveRID-1-1,excessiveRID-1-2,irreparable-0-1
count,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mean,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,6451.0,748.7696042937874,748.8196685391475,748.7849163147922,748.8043159262903,748.7286697679998,748.7320448789553,748.6741666721456,748.730579685933,748.697346543521,748.7694766999217,748.835336703301,748.8335759355774,748.7192087461842,748.7621733692004,748.7617973586252,748.7664589409618,2.0,2.0,2.0,2.0,2.0,2.0,1.0,529.0987146438192,529.0856359435165,529.0802096509259,529.1061384071922,74.8709045090438,74.88967104917536,74.88043005420528,74.87001542200906,1058.208885103735,1058.2167192630511,1058.2126893814652,1058.1812950373028,149.74348777036127,149.7419783593262,149.7512795551912,149.7473187109125,603.9935843556327,603.9731185754918,604.0808622903099,603.9701275489446,1.0,1.0,249.58551439735638,249.57613909493188,249.62489177080394,249.5971957975967,249.56832545765684,249.60630782825984,249.5973175909808,249.58124915408027,36.864,36.864,36.864,36.864,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,5291.531390330908,5290.951031235799,5291.047470385432,5291.059720966812,59.909342298936096,59.90146088125481,59.90028503011232,59.896214769766715,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.93255897096196,312.24918184188874,311.997837944756,312.08775697117545,311.63894303389844,311.57532205698044,311.3084440728477,311.63613582679324,311.3965329743064,311.91956075854443,312.42769193201207,312.3463075918707,311.50996435808696,311.8577532567776,311.8162575816751,311.8798824357297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.16060449749457,220.085212006915,220.09453958454927,220.21352169115272,31.14673455581785,31.299403027832305,31.21549681504766,31.14215898196852,440.40396542402414,440.51957448069203,440.43654083155485,440.21232518331647,62.30764058146881,62.289092543025916,62.36152132486629,62.34536231680116,251.54578543533486,251.41989826944203,252.08924468054076,251.32685058414336,0.0,0.0,103.93718256036554,103.87348871217756,104.24118085871372,104.0169066025076,103.81315849964557,104.10803243080196,104.02807942933285,103.89821144768244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2205.2840371288876,2201.7194528101936,2202.257296695115,2202.892088453842,25.019679907435172,24.953577623188846,24.937746873279455,24.91535224740337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
log_std,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,1.7763568394002505e-15,0.40001343525062244,0.40003441408675744,0.4000438487052234,0.40001767224651064,0.40003804174672336,0.3998661580140623,0.4000456476747109,0.39993777297852523,0.39983945131955334,0.40004003929479864,0.40008660349913233,0.3999706561578405,0.39992480936813063,0.40014518665330584,0.3999773571957567,0.399990442972275,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.39987977390158963,0.3998568580219937,0.3999206821650687,0.3999804083283244,0.39986391210504585,0.40018927956272565,0.39998802673381156,0.3998773662936606,0.39991847610174913,0.39997668300196426,0.3999354215305316,0.39985036427485504,0.399937025901389,0.39982234194511873,0.3999968858120161,0.4000123855069059,0.4000135062636157,0.40025880755618676,0.40004712253466157,0.3999527374686507,0.0,0.0,0.4001146604678185,0.39997975679031433,0.4000707139196518,0.4000147646784661,0.39989191298878024,0.39996109241982936,0.4001243363991534,0.399879422770075,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.40004283035479665,0.39997093415845014,0.39993082123783136,0.4003619988949634,0.400182710548298,0.39997971924851894,0.39993156357257204,0.3998934175110443,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0
min,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,6451.0,150.48965108217325,155.51283028324943,155.82532084937483,158.8142909409172,137.36139313506808,167.3179556347647,126.07111031706133,155.72781341921774,167.66194055622347,152.5334498341095,150.40260715653042,166.83630173356076,155.99543131520898,131.7522973913297,159.18854032464625,156.63370179140222,2.0,2.0,2.0,2.0,2.0,2.0,1.0,109.45477437163275,116.040796166459,112.46544401029706,105.23911053018949,16.255635634985737,14.66925581196764,16.45455354247191,16.243553658070542,229.08134293185978,214.26405574948635,223.04462599358453,233.77140721456314,32.11776124929225,33.50411381575631,30.9202078106411,28.327215705320363,112.46120896294953,86.66209769318088,130.7525592909816,121.75467653389548,1.0,1.0,43.98081956276526,47.826976814679135,54.54217980059167,49.888714552990834,53.86412779488076,55.66817547265517,44.784025481822056,55.858694728312955,36.864,36.864,36.864,36.864,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,1040.910481591189,1060.2103197552724,1132.7556623085627,696.1790187836673,11.575347818769538,12.938899073977753,13.383010729335886,12.475225430877583,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
0.1%,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,6451.0,204.6733494598059,204.72644412202422,202.0003668158737,202.44333295105238,203.55727920373727,201.15968297340348,203.0672597823866,204.4902409619104,205.13026465660928,201.17498916264853,203.50894798264162,201.40016357068666,202.66445210308433,200.8483019239654,203.92158794723954,201.17598137439933,2.0,2.0,2.0,2.0,2.0,2.0,1.0,144.48661270751012,144.4152740720794,144.18698503887663,142.138752864443,20.287595582748555,20.245620942508097,20.19916430505883,20.517971173461678,284.3593245367852,285.5026101694006,288.8558434434087,285.96675865504653,40.78530892473351,40.64222749154448,40.54773839069726,40.35663157682817,163.68773431354228,164.9296161373065,163.81332381564002,164.17586242245648,1.0,1.0,67.70536822180794,68.05575575973869,67.96788587420505,67.2581038358915,67.06310335586893,68.18599326586047,67.24492645713191,67.52747574210957,36.864,36.864,36.864,36.864,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,1427.63395592959,1426.9185706829094,1440.5536861454798,1448.4420454375968,16.184535302611422,16.27897246059003,16.355015102565336,16.41351877775515,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
2.3%,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,6451.0,311.2669351056395,311.49390982349735,311.40419014427033,311.3761706615176,311.1551462135006,311.4797804172465,311.3482788227845,311.5125331627579,311.14855139993995,311.4928752113461,311.5376118136971,311.34536008248125,311.34482956998653,311.3070220663525,311.3745377841901,311.2477858615495,2.0,2.0,2.0,2.0,2.0,2.0,1.0,219.93063207288375,220.07053897500026,219.88161821014467,220.00871751918572,31.1331092661641,31.12381989270763,31.140309380564926,31.14354011753472,439.8879216804511,440.0589088114756,439.93211462326417,439.89549826980567,62.2922280731238,62.263301808909134,62.25195475324033,62.303733504037936,251.00992003913365,250.99012043543698,251.17908766182143,251.16143637885526,1.0,1.0,103.81132933097501,103.74193349632354,103.86170877969006,103.83423126323193,103.82644949426248,103.72658683024753,103.78492053768977,103.80999313631736,36.864,36.864,36.864,36.864,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,2201.567788745791,2201.721866564606,2199.3561536979955,2201.7596428250426,24.90710077054658,24.912487957605755,24.904579921515495,24.90402801282429,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
10%,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,6451.0,414.0571666262299,414.02789163771075,413.9831741545266,414.0503027653165,414.034333194613,413.9779215445635,414.0764315622474,414.01183833947465,414.1041934379906,414.06876164549504,414.0014397479498,414.03584323324105,414.0125648681458,414.0641187187999,414.13569473621243,414.0354038206377,2.0,2.0,2.0,2.0,2.0,2.0,1.0,292.6103413889179,292.63808893665635,292.6122224203058,292.54781514801647,41.41245480828368,41.41057992813969,41.399266543858545,41.4037985627004,585.2181458511068,585.1319026337173,585.159011520039,585.2592724440248,82.809331742509,82.80028258665033,82.82762248545146,82.82043776650616,334.0347188636075,334.04299769333016,333.95040267937475,333.9781516801502,1.0,1.0,138.04286078407867,137.99955515590148,138.03795134213954,138.04138427841886,138.03849489194948,137.99662922724113,138.01262486808426,138.0037005519529,36.864,36.864,36.864,36.864,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,2925.895431873146,2926.243459739237,2925.729538017782,2925.3643600924433,33.12345998914631,33.12925975893199,33.11946925316549,33.12630824441543,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
15.9%,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,6451.0,463.6117725572791,463.6900213284888,463.62905221469475,463.6213329600361,463.6066603061322,463.67484084326554,463.61802549753804,463.6074593279795,463.5964923446085,463.63934443618194,463.63733214247435,463.5924724803855,463.6834952996861,463.61154551978046,463.64106468165875,463.68429289232347,2.0,2.0,2.0,2.0,2.0,2.0,1.0,327.68850358394263,327.6526835567624,327.6467571902254,327.6184705326345,46.36986392504605,46.36456583725575,46.36593202389041,46.366334123104586,655.3380920287043,655.3146257463496,655.2274082082616,655.3389833368761,92.73218865766073,92.72538351586822,92.73049430623223,92.7286100761909,373.99593318578246,374.0554881104724,373.9750231586129,374.01508556575703,1.0,1.0,154.54785655660524,154.56193483397368,154.55838005626336,154.55783588829001,154.56749064376177,154.5534956450089,154.55959624118753,154.56618522304586,36.864,36.864,36.864,36.864,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,3276.075283166798,3276.665440978852,3276.229735542957,3276.024595004711,37.088823652389294,37.086983381258996,37.094291567164454,37.092505352060535,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
50%,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,6451.0,691.2123090491914,691.2118090927629,691.1941127286104,691.2157804277368,691.1657822776297,691.2066472429949,691.2376976309865,691.2207932351754,691.2111778518838,691.2266376971836,691.1782686572553,691.2001172819905,691.2399576314826,691.1643078392941,691.1821091831439,691.1646648251904,2.0,2.0,2.0,2.0,2.0,2.0,1.0,488.4752328695244,488.4240571804604,488.4314493336442,488.41694188264637,69.12128736041049,69.11733627278372,69.12371320353839,69.12047915017354,976.8783310597768,976.8609935795447,976.9021403519894,976.9442091097307,138.2497224712732,138.23754295997742,138.25220272061023,138.23951070718113,557.5973678657137,557.5800873259855,557.5569749562031,557.5505914918275,1.0,1.0,230.39452236217252,230.41056900164398,230.39643633096154,230.400579790666,230.3854838428676,230.40044843335647,230.41144266965944,230.411785454658,36.864,36.864,36.864,36.864,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,4884.22067643084,4884.522694572488,4884.499039047698,4884.368727594892,55.295310543223266,55.29450448826706,55.29478766750494,55.2977502706911,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
