dv-loss-dmg,COST-B.10.71.002-B.10.71.002,COST-B.10.71.012-B.10.71.012,COST-B.20.11.102-B.20.11.102,COST-B.20.11.121-B.20.11.121,COST-B.30.11.012-B.30.11.012,COST-C.10.11.001a-C.10.11.001a,COST-C.10.11.011a-C.10.11.011a,COST-C.20.11.001b-C.20.11.001b,COST-D.10.14.021-D.10.14.021,COST-D.20.21.013a-D.20.21.013a,COST-D.20.21.013b-D.20.21.013b,COST-D.20.21.023a-D.20.21.023a,COST-D.20.21.023b-D.20.21.023b,COST-D.30.31.013b-D.30.31.013b,COST-D.30.41.011c-D.30.41.011c,COST-D.30.41.032c-D.30.41.032c,COST-D.30.41.102b-D.30.41.102b,COST-D.30.52.013b-D.30.52.013b,COST-D.30.67.012b-D.30.67.012b,COST-D.40.11.023a-D.40.11.023a,COST-D.40.11.074a-D.40.11.074a,COST-D.50.11.011a-D.50.11.011a,COST-D.50.12.023b-D.50.12.023b,COST-replacement-irreparable,TIME-B.10.71.002-B.10.71.002,TIME-B.10.71.012-B.10.71.012,TIME-B.20.11.102-B.20.11.102,TIME-B.20.11.121-B.20.11.121,TIME-B.30.11.012-B.30.11.012,TIME-C.10.11.001a-C.10.11.001a,TIME-C.10.11.011a-C.10.11.011a,TIME-C.20.11.001b-C.20.11.001b,TIME-D.10.14.021-D.10.14.021,TIME-D.20.21.013a-D.20.21.013a,TIME-D.20.21.013b-D.20.21.013b,TIME-D.20.21.023a-D.20.21.023a,TIME-D.20.21.023b-D.20.21.023b,TIME-D.30.31.013b-D.30.31.013b,TIME-D.30.41.011c-D.30.41.011c,TIME-D.30.41.032c-D.30.41.032c,TIME-D.30.41.102b-D.30.41.102b,TIME-D.30.52.013b-D.30.52.013b,TIME-D.30.67.012b-D.30.67.012b,TIME-D.40.11.023a-D.40.11.023a,TIME-D.40.11.074a-D.40.11.074a,TIME-D.50.11.011a-D.50.11.011a,TIME-D.50.12.023b-D.50.12.023b,TIME-replacement-irreparable
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14266362.861254863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730.2994396972135
1,45391.37988761106,110910.1182222025,168337.76610504743,224986.4141200397,40286.8991157953,205961.20686227168,191634.56494413817,77830.68964840355,439.398317383817,23.23941582455854,37.69928694802127,139.75794143675301,0.0,54757.11604740421,2392.7190257990505,12207.317959997661,21181.55339777918,0.0,0.0,5550.5413505439865,0.0,7527.671539769765,0.0,0.0,34.27445059765746,111.34197322509696,133.7366835485019,177.9717318424021,45.727956599169715,197.20676769568672,156.1134708729274,85.77186123616353,2.406320568494045,0.06540716469271776,0.018289183402639866,0.4369939262736624,0.0,14.158909837164433,1.947484170861439,10.69817896735131,19.858824928188845,0.0,0.0,4.9572850875626155,0.0,1.853926359776489,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14266401.062587108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730.2731734675751
3,42769.836938999615,79085.62541069578,168915.84713799017,245891.99335047064,100855.9131790244,201179.17454516297,162788.10147091205,127482.11089360104,498.0588759708426,101.10966410578837,27.590059036384915,1116.206363467478,609.1661004073856,50667.137470480375,5365.183429294466,17064.441725030825,31445.397463650123,0.0,0.0,11256.283724670708,399.207629628144,0.0,0.0,0.0,53.36451544204168,95.49686489183567,129.34193946561263,235.2442287970117,121.74427791159599,177.56874877985183,112.97125248641602,114.53018238699634,5.136021635329881,0.39908850723780875,0.02051043099775436,0.5397328273557094,1.1823530715998134,24.680186364214276,2.492439642239829,14.186042803677987,37.94601514416932,0.0,0.0,8.64155733739242,0.7023954945772808,0.0,0.0,0.0
4,29424.69137175695,106695.6335613812,172865.47040380508,169086.18412882852,41792.938736339536,206457.0444944876,199522.91231694535,120578.76636656061,6131.160470867548,186.78334748987334,0.0,365.90677560492475,74.74099403381518,43681.5111496556,2925.4877711615336,17593.13577389616,38605.969718819244,0.0,0.0,6280.459118198612,0.0,8872.955927266365,0.0,0.0,30.150335196160405,98.78631452904135,121.90049537670741,159.42135320491315,67.2625985746158,131.78725354849803,171.56788268466087,87.7001704810463,1.8130817234940948,0.3771512683804626,0.0,0.7387715095409806,0.06017994119893254,18.88468430600946,1.2118405861947539,17.202601758023178,40.44566934925386,0.0,0.0,3.3683190762097293,0.0,2.731568147185699,0.0,0.0
5,31085.825779849947,110626.5191345435,171982.05711949902,164240.50001825183,0.0,172962.83448773995,201120.04819798327,31793.384655179932,2005.128255839889,22.51561928140442,0.0,0.0,0.0,53612.372399064625,0.0,3596.6708930823293,11285.991553179747,2408.2362331842323,0.0,1075.9303856892152,0.0,8966.319890000259,0.0,0.0,43.1649290324155,90.93566325872257,138.45123613997256,108.13214545003916,0.0,170.50421526449384,168.6987012448754,34.12332792654837,1.4924281212982085,0.01284511531230477,0.0,0.0,0.0,17.923539548687675,0.0,3.520793337253659,16.003502265569196,0.6805365230229786,0.0,0.7776581325010643,0.0,2.5099228976985506,0.0,0.0
6,19929.57272084023,88551.77646922221,173065.29613663687,119607.51148944942,2725.14813215599,143724.69853175603,234894.67816662494,79117.90508093164,2225.9858117745666,30.283871053197483,0.0,40.57606591461267,242.0808786836396,35194.636337833246,0.0,8872.462514688403,13851.821791612549,0.0,0.0,1439.7697049176124,0.0,0.0,0.0,0.0,15.70955417324125,145.2703988976855,120.85752296540804,89.27741873401213,2.8288531976575166,122.2038916545279,175.22361387771195,91.17735826176987,3.102563291754319,0.022771843126715707,0.0,0.05290295173176303,0.15243609715827405,14.774929740872235,0.0,12.395044015365123,19.23140917829761,0.0,0.0,0.9769020721925051,0.0,0.0,0.0,0.0
7,10773.312978161497,122992.90182707277,128854.24912600822,71313.84185204998,8547.982111469835,102070.52059061866,188033.08363481032,34160.02821382438,1951.2700231869858,0.0,0.0,45.30697764179395,0.0,42046.757309128,0.0,1300.6865702569423,8425.373665525985,0.0,0.0,263.01319783050144,0.0,0.0,0.0,0.0,9.886983274697833,86.55041131755456,119.8169412610883,56.468859551704604,8.343737082777505,47.79162101896058,188.56156823570456,25.07561954473809,8.739618459184538,0.0,0.0,0.07095819521426905,0.0,13.440841629988636,0.0,1.6197531008813948,6.093129866802968,0.0,0.0,1.3221887723358192,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14266410.452110313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730.1419345769307
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14266364.730756521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730.1827796011235
