,1-PID-1-1,1-PID-1-2,1-PFA-0-1,1-PFA-0-2,1-PFA-1-1,1-PFA-1-2,1-RID-1-1,1-RID-1-2,1-SA-0-1
0,0.00233572,0.00421329,48.1836279648,48.1836279648,345.34892149068327,317.72024838509316,0.000437446,0.0023988,1.2
1,0.00157967,0.00181029,62.2420958736,62.2420958736,292.3877197515528,218.18368447204975,0.000480912,0.000281295,1.2
2,0.00209036,0.00503724,48.4998726456,48.4998726456,344.25480565217396,357.8058549689442,0.000458297,0.00314623,1.2
3,0.0013811,0.00355427,73.832187372,73.832187372,256.9903245962733,311.1405654658385,0.000254978,0.0020624,1.2
4,0.00187911,0.00975926,63.8871010152,63.8871010152,215.5987733540373,482.06344167701866,0.000792568,0.00659951,1.2
5,0.00182716,0.00279397,55.661805045600005,55.661805045600005,334.90536099378886,264.02264173913045,0.000444937,0.00150332,1.2
6,0.00101985,0.00279277,46.199483124000004,46.199483124000004,193.4796479503106,273.27416552795034,0.000206687,0.00133119,1.2
7,0.00174356,0.00673134,205.2508670784,205.2508670784,274.16544527950316,414.7728196273292,0.00036707,0.0042556,1.2
8,0.00235014,0.00252164,65.76495582960001,65.76495582960001,382.47092298136647,257.14519944099385,0.00050569,0.000701921,1.2
9,0.0029821,0.00476,47.2754717712,47.2754717712,414.8447614906833,358.4703180124224,0.00150719,0.00285381,1.2
10,0.00121644,0.00258058,85.74361991280001,85.74361991280001,235.69853062111807,272.09711670807457,0.000184435,0.000958818,1.2
11,0.00168662,0.00493624,128.8816568496,128.8816568496,297.751385341615,357.28327726708073,0.000285591,0.00204956,1.2
12,0.00242169,0.00367965,105.75533312880002,105.75533312880002,375.61546291925464,319.60472552795034,0.00101674,0.00196677,1.2
13,0.00376554,0.00388936,63.019020756,63.019020756,440.9037031055901,304.8996088198758,0.00194676,0.00192099,1.2
14,0.00464136,0.00324249,49.897395379200006,49.897395379200006,506.0640466459627,302.21777602484474,0.00265658,0.00160302,1.2
15,0.00128611,0.00164849,46.94134349424,46.94134349424,237.878768757764,195.93566322981368,0.000346283,0.00063192,1.2
16,0.00220072,0.00245691,73.87473426960001,73.87473426960001,363.3923404968944,260.4575227329193,0.000632605,0.000606428,1.2
17,0.00225212,0.00459865,60.5321507304,60.5321507304,348.831107515528,340.9714589440995,0.000286386,0.00148115,1.2
18,0.00272986,0.00341862,47.705226324,47.705226324,408.9595173913044,300.2823400621118,0.00122414,0.00162899,1.2
19,0.00294326,0.00403589,111.832898772,111.832898772,399.5541179503106,315.0943703726709,0.00105219,0.00215336,1.2
20,0.00137167,0.00374805,87.682129152,87.682129152,245.600528757764,307.0268897515528,0.000267344,0.0020493,1.2
21,0.00186787,0.00142037,63.435995796,63.435995796,333.30265614906835,174.1792447204969,0.000308003,0.000451707,1.2
22,0.00273247,0.00336257,70.92776317440001,70.92776317440001,402.5586899378883,297.78835546583855,0.0013056,0.00159421,1.2
23,0.00200061,0.0044479,65.8562656416,65.8562656416,348.288545962733,336.63796086956523,0.000353883,0.00261134,1.2
24,0.00194982,0.00221056,65.33442910080001,65.33442910080001,342.6431080745342,247.4310495031056,0.000606733,0.000985662,1.2
25,0.00181558,0.00239603,94.3831110888,94.3831110888,318.7064514285714,241.13713565217392,0.000637093,0.00116772,1.2
26,0.00181277,0.00193393,39.562900665600004,39.562900665600004,329.78849596273295,228.92500434782613,0.000628582,0.000386455,1.2
27,0.00185215,0.00241039,63.77884194,63.77884194,315.2912113043479,268.0913537888199,0.00050466,0.0010192,1.2
28,0.00139903,0.005666,50.186884161600005,50.186884161600005,215.82359167701867,375.3127075776398,0.000468742,0.00349155,1.2
29,0.00118663,0.00258108,140.9135102376,140.9135102376,229.20178068322986,265.34157590062114,0.000478956,0.000952866,1.2
