dv-loss-dmg,COST-B.10.71.002-B.10.71.002,COST-B.10.71.012-B.10.71.012,COST-B.20.11.102-B.20.11.102,COST-B.20.11.121-B.20.11.121,COST-B.30.11.012-B.30.11.012,COST-C.10.11.001a-C.10.11.001a,COST-C.10.11.011a-C.10.11.011a,COST-C.20.11.001b-C.20.11.001b,COST-D.10.14.021-D.10.14.021,COST-D.20.21.013a-D.20.21.013a,COST-D.20.21.013b-D.20.21.013b,COST-D.20.21.023a-D.20.21.023a,COST-D.20.21.023b-D.20.21.023b,COST-D.30.31.013b-D.30.31.013b,COST-D.30.41.011c-D.30.41.011c,COST-D.30.41.032c-D.30.41.032c,COST-D.30.41.102b-D.30.41.102b,COST-D.30.52.013b-D.30.52.013b,COST-D.30.67.012b-D.30.67.012b,COST-D.40.11.023a-D.40.11.023a,COST-D.40.11.074a-D.40.11.074a,COST-D.50.11.011a-D.50.11.011a,COST-D.50.12.023b-D.50.12.023b,TIME-B.10.71.002-B.10.71.002,TIME-B.10.71.012-B.10.71.012,TIME-B.20.11.102-B.20.11.102,TIME-B.20.11.121-B.20.11.121,TIME-B.30.11.012-B.30.11.012,TIME-C.10.11.001a-C.10.11.001a,TIME-C.10.11.011a-C.10.11.011a,TIME-C.20.11.001b-C.20.11.001b,TIME-D.10.14.021-D.10.14.021,TIME-D.20.21.013a-D.20.21.013a,TIME-D.20.21.013b-D.20.21.013b,TIME-D.20.21.023a-D.20.21.023a,TIME-D.20.21.023b-D.20.21.023b,TIME-D.30.31.013b-D.30.31.013b,TIME-D.30.41.011c-D.30.41.011c,TIME-D.30.41.032c-D.30.41.032c,TIME-D.30.41.102b-D.30.41.102b,TIME-D.30.52.013b-D.30.52.013b,TIME-D.30.67.012b-D.30.67.012b,TIME-D.40.11.023a-D.40.11.023a,TIME-D.40.11.074a-D.40.11.074a,TIME-D.50.11.011a-D.50.11.011a,TIME-D.50.12.023b-D.50.12.023b
count,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mean,9686.911820523585,87102.06257988632,134320.15718405123,50907.22152243037,53616.48625083612,112729.36134998169,224639.09802467228,41547.982792051575,2240.878160326386,345.6989603366449,61.003280699845476,1473.5620283148337,214.999545208355,46353.11088727188,2898.870404694309,16511.07240986694,25122.123257719937,9326.9985218576,95.44096473798349,10054.728527622952,57.09462714524313,5736.264547502939,1378.9428554966696,9.662548024040124,87.18841215491933,108.08097865248713,40.995112868147885,60.54267114178998,90.54887559779354,178.8514581147111,33.025035512382104,2.20998265472929,0.3807986027017661,0.06592153120474487,1.6157012172769485,0.2343000765416224,13.39501224907989,1.5122874583794081,19.39610797643751,30.48049681916308,2.809833265401921,0.04170181443100719,4.695687975794523,0.04527684335279617,1.8991352099396726,0.39375761416380667
std,2140.8759392466204,11873.436725327207,11754.87334032628,16109.953887307214,46562.61645860506,34743.51710154559,35678.675529267886,27753.784493643572,2179.7599590694745,726.4223945488443,66.28733839407936,3024.900260567666,240.12386695211597,18009.832908136403,3628.5101711333277,11980.188198184585,10707.741477130106,21844.57014274781,666.5201914798057,12099.978773472023,195.3042750997484,4180.34667637005,5104.494178513842,2.609556974482413,14.53941229271401,13.703024690324101,14.721910247998016,54.839313720077456,29.83167711896091,31.786977811099433,22.850756347248858,2.2972212743436407,0.8038365304242252,0.07310799510856156,3.356800958730066,0.27539842087944916,6.355117545834201,1.612459966937264,14.378438556137334,13.925038844454807,6.643392502654124,0.29643696787038765,3.7679647288899467,0.16936543100874435,1.5078897522835497,1.5078027753636596
log_std,0.20840583999973938,0.13473689076094233,0.08717572284105146,0.332984405656328,,0.29165404824105035,0.1622658759621183,0.6676361528197051,,,,,,,,,,,,,,,,0.25663118371347043,0.16508421029281578,0.1258964012010948,0.3727180508000486,,0.30848858464033335,0.18143591570328313,0.672008339618778,,,,,,,,,,,,,,,
min,3403.2184428157007,54692.663277518455,92576.59418614753,9767.105143001081,0.0,37244.68072554462,86488.80546701132,3592.848662234471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0816152378520867,47.449644059074785,68.64843053266814,4.5280942902836046,0.0,33.26623233883323,68.43969697493277,3.2029209957425926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1%,4226.558355948435,58223.27785652014,101147.6234162529,11831.509965229245,0.0,46296.1671027844,108868.144604145,7105.173273534769,108.79764402296105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6176480574412615,51.14693799143135,73.5694530612151,8.44179832952196,0.0,37.22098530313707,87.69250007576625,5.672316009085549,0.08787542719938947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3%,5971.670289583655,66362.77902370451,112698.5253371663,22719.857238365326,0.0,60929.457398662795,157389.60003749118,10381.410610833864,307.6235734200695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.583075104938013,62.262086226629485,83.90123509162424,16.966040522786795,0.0,47.95426392575974,119.01838041989471,8.094761322104072,0.27357196685065543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10%,7378.870288470564,72862.67425461453,119724.42283984521,31731.730191276685,0.0,74744.15490517006,181632.7518575794,13384.76171630829,556.5852127081043,0.0,0.0,0.0,0.0,0.0,0.0,1983.3270124583762,9842.824689262536,0.0,0.0,353.95678665731975,0.0,0.0,0.0,6.816236702600956,69.80619575668531,91.29297015649273,23.78361860267206,0.0,58.55293273034852,140.09782348219065,10.631560112875325,0.507522355715133,0.0,0.0,0.0,0.0,0.0,0.0,2.282659933531444,11.308933168835969,0.0,0.0,0.41438736487246236,0.0,0.0,0.0
15.9%,7880.615732715614,75437.0074554653,122636.60407766627,35290.39363965963,3736.7882490231823,80994.31680428215,190369.89640628223,15182.700621750466,703.9174063448618,0.0,0.0,0.0,0.0,38757.80746793745,0.0,3560.6341837230952,11986.371934398903,0.0,0.0,709.9887295860577,0.0,0.0,0.0,7.35714850387253,72.94533145755638,94.5267203185428,26.941682313307922,3.8565413004481304,63.72552921735198,147.97224439330878,11.981187177029593,0.6475144085310309,0.0,0.0,0.0,0.0,8.898478557407405,0.0,4.19719298773103,15.770487381922354,0.0,0.0,0.7851421811072995,0.0,0.0,0.0
50%,9529.266053125004,86136.14175048303,133792.236577612,49761.35925995154,48163.80110462535,107693.0165145018,223175.43914352497,36180.91850806882,1600.098822309252,73.9188521146265,43.41563475863812,307.2953926616451,144.1396821441254,49550.34533871926,1224.8686926391536,14272.526516109978,27182.551636419885,0.0,0.0,5182.069575319272,0.0,7411.705923612371,0.0,9.356442631202231,85.95856231242409,106.98919564772491,39.14190863042002,51.6540080954193,85.15909301030192,177.49079245720435,28.71491478092807,1.5287366266982239,0.0779453984015901,0.04513878146048959,0.3340969188492431,0.15488584757143697,13.644595978074086,0.9295429561855251,16.516831529694034,31.1638536450712,0.0,0.0,3.996203861959909,0.0,2.192948407242706,0.0
