cmp-ds,B.10.71.002-0,B.10.71.002-1,B.10.71.002-2,B.10.71.002-3,B.10.71.012-0,B.10.71.012-1,B.10.71.012-2,B.10.71.012-3,B.20.11.102-0,B.20.11.102-1,B.20.11.102-2,B.20.11.102-3,B.20.11.121-0,B.20.11.121-1,B.20.11.121-2,B.20.11.121-3,B.30.11.012-0,B.30.11.012-1,B.30.11.012-2,C.10.11.001a-0,C.10.11.001a-1,C.10.11.001a-2,C.10.11.001a-3,C.10.11.011a-0,C.10.11.011a-1,C.10.11.011a-2,C.10.11.011a-3,C.20.11.001b-0,C.20.11.001b-1,C.20.11.001b-2,C.20.11.001b-3,D.10.14.021-0,D.10.14.021-1,D.20.21.013a-0,D.20.21.013a-1,D.20.21.013a-2,D.20.21.013b-0,D.20.21.013b-1,D.20.21.023a-0,D.20.21.023a-1,D.20.21.023a-2,D.20.21.023b-0,D.20.21.023b-1,D.20.21.023b-2,D.30.31.013b-0,D.30.31.013b-1,D.30.41.011c-0,D.30.41.011c-1,D.30.41.011c-2,D.30.41.032c-0,D.30.41.032c-1,D.30.41.102b-0,D.30.41.102b-1,D.30.52.013b-0,D.30.52.013b-1,D.30.52.013b-2,D.30.67.012b-0,D.30.67.012b-1,D.40.11.023a-0,D.40.11.023a-1,D.40.11.023a-2,D.40.11.074a-0,D.40.11.074a-1,D.40.11.074a-2,D.50.11.011a-0,D.50.11.011a-1,D.50.12.023b-0,D.50.12.023b-1,collapse-0,excessiveRID-0,irreparable-0
count,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mean,3875.6966399999997,533.9086848000001,13.012992,1.0616832000000003,807.9335424000001,676.6829567999999,2924.0156160000006,15.0478848,1682.3116800000005,1414.9094400000001,6086.615040000002,32.16384000000001,8074.944000000001,1111.42656,27.555840000000003,2.0736,3585.78835,880.3679699999999,1984.8436799999997,2072.133942401797,2088.168206457934,1747.9549042289048,81.87399353226856,892.9278984824803,2128.8796269420595,2376.3025206696193,592.3113908284157,2.362,7.5088,1.8508,0.2784,0.0006,0.9994,1724.6956549358185,326.8510284854283,64.9265169432741,177.83039399125508,121.66776964495233,3449.9723422812417,657.1123373892435,125.82747610919003,353.6829615550388,135.57026511381693,109.7646386830483,0.1032,0.8968,1184.2279577699478,443.8854833508287,368.564989141058,87.24381696,60.21218304,5.596,10.404,1.194,0.524,0.282,0.9792,0.0208,12532.15939343292,5928.029642322902,2704.491816513759,229.67191781587186,4.895890589240192,5.033438131803959,0.3238,0.6762,1.8604,0.1396,1.0,2.0,1.0
std,125.69218603067829,122.11453806684814,45.644385228184504,12.248206907646862,96.64148405390426,133.3740312092273,137.19951444805878,57.593566810065774,244.14265963823013,342.0630499204944,327.46918747807086,128.79222642679952,309.81350770086,301.1091232284148,98.97356133363604,27.764781570528015,2289.254980174255,744.5556100466032,2114.0833201326172,509.09050563298047,480.1542540291135,473.1514276530243,160.22886991063274,313.43437075613343,475.8402240273133,513.8739834984854,236.06401797059212,1.8317278851972205,2.3275321783400207,1.6875748699801019,0.7095027264385703,0.024489996978162294,0.024489996978162294,612.3618317264675,376.0863390018616,184.59447355814072,118.3354327128338,113.77157034376138,1220.4166048577345,760.7910822161534,345.0565656277143,238.53311500963252,154.26004573066223,173.57087351374946,0.3042503470083986,0.3042503470083986,695.2788686282169,398.2977522182517,523.2727373705503,44.79513645532795,44.79513645532795,4.402983221890636,4.402983221890636,0.9810996439211772,0.879533237429461,0.6961127168662534,0.14272853354132584,0.1427285335413258,7093.378060988903,3958.0024771656917,4160.890018549793,58.24005243728139,19.805931624541152,23.341587172616343,0.4679715370317883,0.4679715370317883,0.50967027847281,0.50967027847281,0.0,0.0,0.0
log_std,0.032508402041969475,0.24533115723588286,,,0.12195933004016037,0.20364046246475342,0.04900447357625947,,0.15010925646338577,0.2586495011759277,0.056043311721070736,,0.03850000008117589,0.2980891465022263,,,,,,0.24112865551119206,0.2277041959348171,0.28103593287514333,,0.34672048027510166,0.2233802790591061,0.21545903520730506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.1102230246251565e-16,0.0
min,3391.4880000000003,110.59200000000001,0.0,0.0,479.23199999999997,221.18400000000003,1880.064,0.0,806.4000000000002,115.20000000000003,4147.200000000001,0.0,6912.000000000001,230.40000000000003,0.0,0.0,0.0,0.0,0.0,851.0163536450452,853.0312192730044,384.4094679501012,0.0,84.49343146548298,886.5641176565263,1014.7669915190033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
0.1%,3465.2160000000003,184.32,0.0,0.0,516.096,294.91200000000003,2138.075136,0.0,921.6000000000001,460.8000000000001,4377.4848,0.0,7027.200000000001,230.40000000000003,0.0,0.0,0.0,0.0,0.0,936.9943699945666,1007.9910933969803,541.8464696452161,0.0,267.74483557023336,991.6759744300782,1148.457604759291,52.48925043452702,0.0,0.0,0.0,0.0,0.0,1.0,10.289942943761892,0.0,0.0,0.0,0.0,38.765594859162455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
2.3%,3612.6720000000005,294.91200000000003,0.0,0.0,626.688,442.368,2580.48,0.0,1152.0000000000002,806.4000000000002,5299.200000000002,0.0,7488.000000000001,576.0,0.0,0.0,0.0,0.0,0.0,1250.238722593746,1286.769455228583,906.2561512074975,0.0,408.4572421005339,1316.6279735768057,1487.3598219915689,193.9153192549276,0.0,2.0,0.0,0.0,0.0,1.0,349.93470341874234,0.0,0.0,0.0,0.0,644.1527730117384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6864,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,404.7046383022777,0.0,0.0,115.41503363978119,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
10%,3723.264,368.64000000000004,0.0,0.0,700.4159999999999,516.096,2764.8,0.0,1382.4000000000003,1036.8000000000002,5760.000000000001,0.0,7718.400000000001,691.2,0.0,0.0,322.55,0.0,0.0,1480.0781045017945,1514.7930238468853,1177.445256233462,0.0,545.9717893195586,1554.4220343505667,1758.3482704403332,314.2822673140315,0.0,4.0,0.0,0.0,0.0,1.0,881.0424190326542,0.0,0.0,0.0,0.0,1814.699427160072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.99690934854047,0.0,0.0,18.432000000000002,5.5296,0.0,4.0,0.0,0.0,0.0,1.0,0.0,2565.6882804340676,792.8173082316332,0.0,163.54450605710616,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0
15.9%,3760.128,405.504,0.0,0.0,700.416,552.96,2801.664,0.0,1382.4000000000005,1036.8000000000002,5760.000000000002,0.0,7718.4000000000015,806.4000000000001,0.0,0.0,645.1,0.0,0.0,1585.6225860821019,1615.2296394254056,1280.9833936975344,0.0,605.2348110606937,1664.0244019949391,1870.2984853506837,365.8379854567664,0.0,6.0,0.0,0.0,0.0,1.0,1121.5079574153785,0.0,0.0,37.4879678813379,0.0,2295.2020868777004,0.0,0.0,52.29156014368169,0.0,0.0,0.0,1.0,340.67076348029843,0.0,0.0,31.334400000000002,11.0592,0.0,4.0,0.0,0.0,0.0,1.0,0.0,4211.69208076544,1361.0132642236363,0.0,178.5858239740677,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0
50%,3870.7200000000003,516.096,0.0,0.0,811.008,663.552,2949.12,0.0,1728.0000000000005,1382.4000000000003,6105.600000000001,0.0,8064.000000000001,1152.0,0.0,0.0,3870.6,645.1,967.65,2014.0387159596885,2039.6672974131168,1717.5192062776036,0.0,844.7344432578027,2078.197196500425,2335.319494144937,569.2282329257296,2.0,8.0,2.0,0.0,0.0,1.0,1768.6195046832354,164.61401953164204,0.0,184.74724673692026,98.87097374195257,3532.4363497269774,334.15661958392275,0.0,371.76663435511034,104.22875147966832,0.0,0.0,1.0,1264.421045596522,371.3455983317396,126.85775691026372,95.8464,51.6096,4.0,12.0,2.0,0.0,0.0,1.0,0.0,12842.9420709652,5785.401111878597,832.888687183483,227.14830531394,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
