cmp-loc-dir,B.10.71.002-1-1,B.10.71.002-1-2,B.10.71.002-2-1,B.10.71.002-2-2,B.10.71.002-3-1,B.10.71.002-3-2,B.10.71.002-4-1,B.10.71.002-4-2,B.10.71.012-1-1,B.10.71.012-1-2,B.10.71.012-2-1,B.10.71.012-2-2,B.10.71.012-3-1,B.10.71.012-3-2,B.10.71.012-4-1,B.10.71.012-4-2,B.20.11.102-1-1,B.20.11.102-1-2,B.20.11.102-2-1,B.20.11.102-2-2,B.20.11.102-3-1,B.20.11.102-3-2,B.20.11.102-4-1,B.20.11.102-4-2,B.20.11.121-1-1,B.20.11.121-1-2,B.20.11.121-2-1,B.20.11.121-2-2,B.20.11.121-3-1,B.20.11.121-3-2,B.20.11.121-4-1,B.20.11.121-4-2,B.30.11.012-5-1,C.10.11.001a-1-1,C.10.11.001a-1-2,C.10.11.001a-2-1,C.10.11.001a-2-2,C.10.11.001a-3-1,C.10.11.001a-3-2,C.10.11.001a-4-1,C.10.11.001a-4-2,C.10.11.011a-1-1,C.10.11.011a-1-2,C.10.11.011a-2-1,C.10.11.011a-2-2,C.10.11.011a-3-1,C.10.11.011a-3-2,C.10.11.011a-4-1,C.10.11.011a-4-2,C.20.11.001b-1-1,C.20.11.001b-1-2,C.20.11.001b-2-1,C.20.11.001b-2-2,C.20.11.001b-3-1,C.20.11.001b-3-2,D.10.14.021-1-1,D.20.21.013a-1-1,D.20.21.013a-2-1,D.20.21.013a-3-1,D.20.21.013a-4-1,D.20.21.013b-1-1,D.20.21.013b-2-1,D.20.21.013b-3-1,D.20.21.013b-4-1,D.20.21.023a-1-1,D.20.21.023a-2-1,D.20.21.023a-3-1,D.20.21.023a-4-1,D.20.21.023b-1-1,D.20.21.023b-2-1,D.20.21.023b-3-1,D.20.21.023b-4-1,D.20.31.013b-1-1,D.20.31.013b-2-1,D.20.31.013b-3-1,D.20.31.013b-4-1,D.30.31.013a-5-1,D.30.31.013b-5-1,D.30.41.011c-1-1,D.30.41.011c-1-2,D.30.41.011c-2-1,D.30.41.011c-2-2,D.30.41.011c-3-1,D.30.41.011c-3-2,D.30.41.011c-4-1,D.30.41.011c-4-2,D.30.41.032c-1-1,D.30.41.032c-2-1,D.30.41.032c-3-1,D.30.41.032c-4-1,D.30.41.102b-1-1,D.30.41.102b-2-1,D.30.41.102b-3-1,D.30.41.102b-4-1,D.30.41.103a-5-1,D.30.52.013a-5-2,D.30.52.013b-1-1,D.30.67.012a-1-1,D.30.67.012b-1-1,D.40.11.023a-1-1,D.40.11.023a-2-1,D.40.11.023a-3-1,D.40.11.023a-4-1,D.40.11.074a-1-1,D.40.11.074a-2-1,D.40.11.074a-3-1,D.40.11.074a-4-1,D.50.11.011a-1-1,D.50.12.013d-1-1,D.50.12.023a-1-1,D.50.12.023b-1-1,collapse-0-1,excessiveRID-1-1,excessiveRID-1-2,irreparable-0-1
count,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mean,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,6451.0,748.754879689488,748.8009803247481,748.7475226802658,748.8128588550891,748.8026082692736,748.8263472378497,748.7866763381159,748.731600548513,748.771165796058,748.7894990888791,748.7841053130204,748.8597570590034,748.7560170025838,748.7571011399227,748.8500165599185,748.7409051655417,2.0,2.0,2.0,2.0,2.0,2.0,1.0,529.1617858711729,529.0848093149494,529.0920765603192,529.1094215971997,74.87055251581157,74.87399012423258,74.87287968517093,74.86998255318548,1058.3037968235349,1058.2456265182138,1058.3053839350505,1058.200471909641,149.74099199624132,149.75819475732288,149.74023667658892,149.75064335213335,603.9821364323363,603.9735591121685,603.95843676427,604.0669841229162,1.0,1.0,249.59735699057774,249.57067744575176,249.57344741683573,249.5763886112079,249.57517856194073,249.6240991173176,249.57833760576852,249.60032480371743,36.864,36.864,36.864,36.864,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,5292.636898702994,5291.723002500393,5291.636039942079,5291.095053306631,59.89914811380797,59.900546008293496,59.90888990639956,59.89943531890821,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.7611698900594,312.1486238721439,311.6457519963122,312.2509676187992,312.09111588805285,312.3455706482978,311.95281846665006,311.6140438741445,311.89048102338444,311.9761338333857,312.0838843838682,312.66194447898874,311.80804831983033,311.78553155708727,312.59617373630203,311.66029674793754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.63561760024476,220.11363915786384,220.12941906646296,220.27581787076258,31.144229485686616,31.16432090524561,31.156874662662798,31.139279935685536,441.24306090280936,440.713013766951,441.22981832009964,440.39982301993155,62.29004847281539,62.409151901693974,62.28330134870073,62.346058185203475,251.37513546184408,251.34957830679517,251.25576380099315,252.1043649365835,0.0,0.0,104.05975911747794,103.82034180928555,103.841076630416,103.87149870515441,103.85975576215772,104.25442684505478,103.88546510228987,104.0506968925188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2216.162745052409,2208.8502577539793,2206.637115277409,2202.7812353737895,24.93549855053064,24.943397637858457,25.01743510411482,24.934546892210598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
log_std,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,1.7763568394002505e-15,0.3999257188385199,0.40001967076224376,0.39989408239462826,0.40008932350297755,0.4001433428587913,0.40009977383921935,0.3999184370064001,0.3999682158080106,0.3999482002793805,0.40000829377678515,0.4001540881250979,0.40010818195948417,0.399938755373932,0.39994437505101205,0.40021180754528557,0.39993802137552387,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.4000488578112129,0.39990597875267336,0.399924479599842,0.3999975581983977,0.39987258567866063,0.39988443415436625,0.3998892210715045,0.3998158502446401,0.399982765823162,0.39989927338490594,0.40023171734673924,0.40003632714101145,0.39993758460118367,0.4000558923508263,0.39984412589110885,0.3999189676945431,0.39987860523862506,0.3999176520623277,0.3999439672283329,0.40004709888335316,0.0,0.0,0.400124830356338,0.3999247746712839,0.39993390631395387,0.39992935664772944,0.39992055086122635,0.40018829420606217,0.40004504828602366,0.40000373478173307,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.40015029957603837,0.40005695436765076,0.39996968440284386,0.3999392984100954,0.3999161380748403,0.3999379221655666,0.40020849733254743,0.3999802155146299,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0
min,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,6451.0,167.44194900734507,159.92810093481796,164.505594989264,150.81080057130546,139.95961534677738,145.5060851016938,162.68958959301185,147.93901776256735,162.73417075129365,156.32573263725897,128.24282163444272,156.71286224722087,166.7176943461345,155.17638714453778,126.5385650094068,153.956221998895,2.0,2.0,2.0,2.0,2.0,2.0,1.0,105.93810524954749,105.4028412346335,109.30562477301376,105.75047897593748,16.44446826655575,16.030606974262106,16.601110807095985,16.51582037017167,235.91967167359806,229.2161865768669,172.27748212825662,193.02957200785218,29.938765584127637,31.933697453726616,33.07709098679894,32.84424491812857,133.16858239785185,124.04608551079335,122.12894996256314,134.26732477773803,1.0,1.0,45.2816137797612,48.955527895396926,54.717214300385876,51.36084991188037,54.06847150687844,48.84676533095257,44.906590853884914,54.42931135477371,36.864,36.864,36.864,36.864,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,1180.272059226905,1100.036741763169,1183.1511151454686,1134.8586442459507,12.92081394855673,12.841391992346818,10.470970212903087,11.744093181718284,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
0.1%,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,6451.0,201.7177185149229,204.73025070234874,203.95980434795328,202.2346297370182,204.2000570039111,202.08305299691867,204.62162214315865,202.95847987219747,204.40251743902294,203.123605362759,202.96931534183304,203.71127747792858,204.34172070514046,203.58809665470397,203.11551309910817,203.5582003007754,2.0,2.0,2.0,2.0,2.0,2.0,1.0,144.1257916086586,144.39415543573028,143.15362984658887,142.27631899904722,20.260225487126135,20.389143650686332,20.18255964714687,20.48040409769171,286.8058158664089,287.188916934614,285.4089766751638,289.63037585002246,40.727026022317695,40.22686882164673,40.915845177044154,40.45692276365718,162.27526161533459,164.2237083752722,163.83838870613025,163.81539599122195,1.0,1.0,67.56942707596316,68.1490370565314,67.2394686096208,67.6534071609639,67.40174478459129,66.98031908270174,67.2477935317172,67.41502510406698,36.864,36.864,36.864,36.864,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,1446.5360884852125,1438.9246522827577,1419.6370586305504,1421.1694946013288,16.140399090737468,16.31505516857402,16.31368403483306,16.083986001627235,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
2.3%,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,6451.0,311.57479398327007,311.14922457158116,311.3846603838298,311.32559084894734,311.2451983722596,311.57423906268934,311.4372483523125,311.2391346237974,311.34206115990906,311.1474513801191,311.4650639628692,311.54476251457237,311.3962787404899,311.5814682944803,311.3303810363625,311.4689235918062,2.0,2.0,2.0,2.0,2.0,2.0,1.0,220.10962086053064,220.12764446827575,219.98403634381475,219.9937157068044,31.138759230539627,31.135409572196636,31.131270073931578,31.15874863455167,439.8717860320679,439.8906709832967,439.969496952638,440.0194672245589,62.30712421255637,62.28808157180083,62.28187140460309,62.29345463854929,251.21671217578486,251.31297769192383,251.0328743491424,251.0699378028392,1.0,1.0,103.85398997078443,103.83962831877554,103.78893229846993,103.75028510393126,103.85845404424295,103.8607580101264,103.78079326601356,103.73335292662735,36.864,36.864,36.864,36.864,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,2200.5550462669876,2200.6729089693767,2200.6083937899725,2200.978771593325,24.9241754583472,24.910197536612987,24.913673113976174,24.923082862416674,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
10%,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,6451.0,414.1083381124727,413.9989106812013,414.00092644317306,414.0768675558896,413.9937530038078,414.112565995063,414.10883170350235,414.02857023580555,414.0069068794106,414.0135940271605,414.017832718972,414.06446143726487,413.98378417417075,414.0143299489797,414.08648296016065,414.04393077776945,2.0,2.0,2.0,2.0,2.0,2.0,1.0,292.5544646610704,292.5353249139707,292.59526689742626,292.6149745443342,41.406102231080304,41.402929264980074,41.40869902323937,41.40839217510678,585.1729951149018,585.266080527304,585.1994968824082,585.131796702673,82.82359081110388,82.79947891741337,82.81980520675526,82.79373951627515,334.0647935104091,333.98377442260653,334.0291670040761,334.0229153848027,1.0,1.0,137.9995302811818,138.03412894669978,138.01310423900517,138.03945696294556,138.0147461304286,138.0351398009622,138.01053607078796,138.00443322748447,36.864,36.864,36.864,36.864,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,2925.4039121011715,2925.462810831437,2926.2376250888146,2925.882923753121,33.12359053381691,33.131302713681535,33.1237354937283,33.122706357018224,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
15.9%,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,6451.0,463.6747861109346,463.600630203754,463.60357948998177,463.66259186076684,463.63672733135166,463.58166997458227,463.69081203522313,463.6885273587136,463.6026242052987,463.58479111673614,463.6536395485663,463.65850998668157,463.66080245318057,463.62810110046524,463.6657544547066,463.69568128346634,2.0,2.0,2.0,2.0,2.0,2.0,1.0,327.6050074155986,327.6713992514961,327.63895711638185,327.6685594053253,46.3589431844853,46.3692407002628,46.36133565427021,46.36538562161901,655.281645653265,655.34991203411,655.1911489802382,655.2591160046084,92.73479780595474,92.72542115508848,92.71611837633442,92.72431895602028,374.0570728244799,374.0503373465871,374.01548745686165,374.02893950392,1.0,1.0,154.5484290209085,154.54922068571682,154.5636695927402,154.5342219538502,154.54055572345982,154.52995505590428,154.5553597038513,154.55725845417788,36.864,36.864,36.864,36.864,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,3276.3909441192045,3275.9634250430395,3276.0326006707637,3276.0075539786712,37.08768180010423,37.08978574760691,37.09581646866771,37.09133539427996,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
50%,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,6451.0,691.1765680607771,691.2039158915952,691.2109722002863,691.1589578718653,691.2206575364478,691.1828447343296,691.2114626454318,691.1667475988557,691.17075373227,691.1785704392769,691.1676534103644,691.1517623087163,691.1402289914939,691.2104395368623,691.2483537968831,691.2296297078944,2.0,2.0,2.0,2.0,2.0,2.0,1.0,488.4677496027798,488.4376109130194,488.46165952725613,488.4316938156607,69.11732846510007,69.12137350149189,69.11950456279754,69.11564651306338,976.8718066064743,976.8801083852625,976.8573047996691,976.8853038841955,138.24255688613175,138.23448457549415,138.23859194010168,138.2322702344373,557.5804073052175,557.5448915005688,557.5506300462791,557.5859418427171,1.0,1.0,230.39724670058843,230.38942160490046,230.40000801422588,230.41837916394041,230.40418235886915,230.39764678359984,230.40069464952467,230.40974824415974,36.864,36.864,36.864,36.864,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,4884.762512387873,4884.266587820695,4884.31930675886,4884.450559948118,55.298402567331145,55.295994767486945,55.29447017388472,55.293135557791615,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
