-,repair_cost-,repair_time-parallel,repair_time-sequential
count,5000.0,5000.0,5000.0
mean,5685889.739463001,682.157883045148,817.4087654367014
std,2520136.8220827524,107.62792320389846,191.071687789228
log_std,0.7500115696190904,0.20287901457077537,0.19539604118807896
min,489850.4490674074,157.7787121998912,351.0834045510003
0.1%,636112.4590114182,202.68581961330383,496.44383879788376
2.3%,960782.5541942029,351.75677887772844,729.3307715240322
10%,1244205.5776727577,506.33023436425907,729.6427406781722
15.9%,1401741.4911648799,588.0277944585475,729.7404978932159
50%,7133175.266388832,729.8920858959082,730.1026722649791
84.1%,7133201.197747572,730.2586810796165,992.1954016432061
90%,7133207.962018465,730.360370606721,1138.7054272832822
97.7%,7133223.930108193,730.7460911150403,1389.1456344994936
99.9%,7133247.039952429,878.8100932011091,1691.0568411395668
max,7133270.085871049,1024.639578971744,1831.2638428389196
