,repair_cost-,repair_time-parallel,repair_time-sequential,collapse,irreparable
count,5000.0,5000.0,5000.0,5000.0,5000.0
mean,539466.0052034905,172.4363291254836,427.2639479713777,0.0,0.0026
std,415822.65078973444,71.71879980976112,203.9209322093785,0.0,0.050928957889891574
log_std,0.5401437342795398,0.42007123300870974,0.5244248171225627,,
min,27543.71757423879,13.384139368682371,27.388938520817547,0.0,0.0
0.1%,36456.631620105385,23.101246538117476,36.97009701269301,0.0,0.0
2.3%,132212.00139825922,60.29647800226344,108.38579115249806,0.0,0.0
10%,238781.14352469397,94.3423033323699,193.4692011005856,0.0,0.0
15.9%,285268.28204835113,108.88801805881975,231.7797686845182,0.0,0.0
50%,493085.82199274545,164.3806136442579,397.95554419430505,0.0,0.0
84.1%,759639.959258904,232.56495502216833,622.5262245805147,0.0,0.0
90%,841840.2864296386,254.33863489410618,694.0130779494792,0.0,0.0
97.7%,1139040.574677216,331.4294922364683,920.6999460074315,0.0,0.0
99.9%,7133173.48812746,730.0639288870497,1287.7738224766997,0.0,1.0
max,7133216.494109099,730.6686015460496,1462.7853179882138,0.0,1.0
