cmp-ds,B.10.71.002-0,B.10.71.002-1,B.10.71.002-2,B.10.71.002-3,B.10.71.012-0,B.10.71.012-1,B.10.71.012-2,B.10.71.012-3,B.20.11.102-0,B.20.11.102-1,B.20.11.102-2,B.20.11.102-3,B.20.11.121-0,B.20.11.121-1,B.20.11.121-2,B.20.11.121-3,B.30.11.012-0,B.30.11.012-1,B.30.11.012-2,C.10.11.001a-0,C.10.11.001a-1,C.10.11.001a-2,C.10.11.001a-3,C.10.11.011a-0,C.10.11.011a-1,C.10.11.011a-2,C.10.11.011a-3,C.20.11.001b-0,C.20.11.001b-1,C.20.11.001b-2,C.20.11.001b-3,D.10.14.021-0,D.10.14.021-1,D.20.21.013a-0,D.20.21.013a-1,D.20.21.013a-2,D.20.21.013b-0,D.20.21.013b-1,D.20.21.023a-0,D.20.21.023a-1,D.20.21.023a-2,D.20.21.023b-0,D.20.21.023b-1,D.20.21.023b-2,D.30.31.013b-0,D.30.31.013b-1,D.30.41.011c-0,D.30.41.011c-1,D.30.41.011c-2,D.30.41.032c-0,D.30.41.032c-1,D.30.41.102b-0,D.30.41.102b-1,D.30.52.013b-0,D.30.52.013b-1,D.30.52.013b-2,D.30.67.012b-0,D.40.11.023a-0,D.40.11.023a-1,D.40.11.023a-2,D.40.11.074a-0,D.40.11.074a-1,D.50.11.011a-0,D.50.11.011a-1,D.50.12.023b-0,collapse-0,excessiveRID-0,irreparable-0
4824,4165.6320000000005,258.048,0.0,0.0,1990.6560000000002,884.736,1548.288,0.0,3916.800000000001,1728.0000000000005,3571.2000000000007,0.0,8985.600000000002,230.40000000000003,0.0,0.0,6451.0,0.0,0.0,4002.500373346481,1788.7362822607752,656.415292756874,0.0,2012.7259726011425,1718.239300689679,994.5683831032928,261.5381949231042,8.0,4.0,0.0,0.0,1.0,0.0,2656.765357148991,0.0,0.0,425.1235482197293,0.0,5081.213922596544,0.0,0.0,728.8721515353166,0.0,0.0,1.0,0.0,2016.024123347087,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,27330.95661816876,0.0,0.0,290.22501691089246,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4825,4423.68,0.0,0.0,0.0,3207.168,1105.92,110.592,0.0,5644.800000000001,3225.600000000001,345.6000000000001,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,5440.313431321856,184.31209305076555,0.0,0.0,3637.457450160561,2288.0604246037424,107.34569642976307,66.35426961050571,10.0,2.0,0.0,0.0,1.0,0.0,2318.907391493594,0.0,0.0,295.80245458714955,0.0,3487.395790634872,0.0,0.0,730.4685797659441,0.0,0.0,1.0,0.0,2441.488363649426,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,22581.149362565837,0.0,0.0,269.3790116014872,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4826,4423.68,0.0,0.0,0.0,2138.112,1327.104,958.464,0.0,4032.000000000001,3456.000000000001,1728.0000000000005,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,5009.358817109658,1027.1223385420462,58.016022789207696,0.0,2957.0852325068204,2306.4126164378226,362.62412559122185,44.23413388229964,8.0,4.0,0.0,0.0,1.0,0.0,2207.37993459891,0.0,0.0,215.58961641862282,0.0,4127.868117507761,0.0,0.0,586.3271843126537,0.0,0.0,1.0,0.0,2080.9780364835783,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,31740.227234208094,0.0,0.0,251.07386630424347,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4827,4349.952,73.72800000000001,0.0,0.0,1990.656,1363.968,1069.056,0.0,4147.200000000001,3110.4000000000005,1958.4000000000005,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,4097.296651835548,1493.585050941923,35.31751312005654,0.0,1802.3579156057544,2578.827211732621,545.5325864956508,89.34255323670112,6.0,6.0,0.0,0.0,1.0,0.0,1519.0436923081604,28.99144485651262,0.0,234.925044737341,0.0,4446.949743152649,0.0,0.0,668.6373775184625,0.0,0.0,1.0,0.0,2097.4489862701535,0.0,0.0,147.456,0.0,8.0,8.0,2.0,0.0,0.0,1.0,18799.034118834326,0.0,0.0,206.81853593914244,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4828,4423.68,0.0,0.0,0.0,2654.208,1622.016,147.45600000000002,0.0,6566.4000000000015,2534.4000000000005,115.20000000000003,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,6022.056683194243,309.23354386594895,0.0,0.0,5506.835651822379,3119.1179259545297,73.11117734060312,0.0,10.0,2.0,0.0,0.0,1.0,0.0,1646.8486833317686,0.0,0.0,225.60493780251036,0.0,5106.9110583019165,0.0,0.0,753.621863503296,0.0,0.0,1.0,0.0,1797.9862297937163,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,18536.42978956001,0.0,0.0,251.91375451987062,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4829,4202.496,221.184,0.0,0.0,2691.072,294.91200000000003,1437.6960000000001,0.0,5299.200000000002,1036.8000000000002,2880.0000000000005,0.0,8755.2,460.80000000000007,0.0,0.0,5483.349999999999,322.55,645.1,3797.3520609703755,1066.5255136166477,820.4467218994535,0.0,3274.713676488674,1567.4186243427555,913.0238296129177,474.1156737295181,10.0,2.0,0.0,0.0,1.0,0.0,1408.1985762770375,39.90017866311227,0.0,221.63189936122518,0.0,3978.093007846848,84.06130895578848,0.0,395.31088073705,122.4964247816525,0.0,0.0,1.0,1697.4757370826615,0.0,0.0,125.3376,22.118399999999998,16.0,0.0,2.0,0.0,0.0,1.0,15470.059381027862,3040.725601549684,0.0,202.55695941027528,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4830,4423.68,0.0,0.0,0.0,2617.344,1105.92,700.4159999999999,0.0,5299.200000000001,2304.0000000000005,1612.8000000000002,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,5360.929460938563,983.9104840965615,0.0,0.0,2169.1852115283887,2129.2645979788713,450.15833155288647,82.1220446704692,10.0,2.0,0.0,0.0,1.0,0.0,2827.8358332184644,0.0,0.0,274.93014394545133,0.0,5404.604109960054,0.0,0.0,511.6432061065043,0.0,0.0,1.0,0.0,1941.2450262537461,0.0,0.0,145.6128,1.8432,16.0,0.0,2.0,0.0,0.0,1.0,23022.361084257773,498.6670799327882,0.0,205.326455253209,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4831,4423.68,0.0,0.0,0.0,3575.808,847.8720000000001,0.0,0.0,7833.600000000001,1382.4000000000003,0.0,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,5607.649942070947,0.0,0.0,0.0,2616.656422089528,2638.029810405173,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,1810.525944961742,0.0,0.0,239.17240387369526,0.0,3500.93772351804,0.0,0.0,539.0011213070569,0.0,0.0,1.0,0.0,2106.475989937897,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,28033.36236106215,0.0,0.0,205.73474769651654,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4832,4423.68,0.0,0.0,0.0,2433.0240000000003,1363.968,626.688,0.0,5299.200000000001,2073.6000000000004,1843.2000000000005,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,4947.25597592193,1046.2006216374225,78.94392648721048,0.0,2645.961534660305,2118.7443370286182,164.43871768958664,124.69023957122485,10.0,2.0,0.0,0.0,1.0,0.0,2397.252047321313,0.0,0.0,210.07453623364714,0.0,3498.651500431172,0.0,0.0,552.4135751634683,0.0,0.0,1.0,0.0,1649.6842303057442,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,14098.169108733686,0.0,0.0,315.41338119817425,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4833,4423.68,0.0,0.0,0.0,2359.2960000000003,1474.5600000000002,589.8240000000001,0.0,4838.4000000000015,2995.2000000000003,1382.4000000000003,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,4390.136086249013,1267.055265335814,0.0,0.0,3364.088596239968,2308.51287388487,386.7880944343915,260.8331732708333,12.0,0.0,0.0,0.0,1.0,0.0,2771.3487659430693,0.0,0.0,345.60829058928755,0.0,4086.371965152251,0.0,0.0,606.1858247802278,0.0,0.0,1.0,0.0,2113.7854198254527,0.0,0.0,145.6128,1.8432,16.0,0.0,2.0,0.0,0.0,1.0,23634.210777282577,0.0,0.0,277.73448001738706,0.0,1.0,0.0,2.0,1.0,2.0,1.0
