-,repair_cost-,repair_time-parallel,repair_time-sequential
count,5000.0,5000.0,5000.0
mean,574602.5937403381,174.72982471780884,429.0851774485061
std,880463.3407469586,74.926255180125,204.4765474746493
log_std,0.5613579581931012,0.4238504104055576,0.5235862746415242
min,26872.90227598831,8.349910886464864,12.571255730757258
0.1%,53029.116633087004,27.84374563292122,44.89671658799683
2.3%,138080.89126913357,62.89019085268477,113.49070453379012
10%,233007.18563599366,93.75765325057951,190.68143622207143
15.9%,280886.51532374724,107.10551034363971,228.5662687827714
50%,500086.84852462274,167.28773409374458,405.80755301918236
84.1%,757170.3538347043,234.34325006391117,619.4313211998581
90%,838598.5474606114,255.90159277450144,699.6474934080849
97.7%,1133835.3497366821,340.9050605823362,916.601550984703
99.9%,14266406.552466646,730.1016838645868,1362.0210795207217
max,14266447.234013591,730.859183880756,1544.3662062007825
