type-loc-dir,ONE-0-1,PFA-0-1,PFA-0-2,PFA-1-1,PFA-1-2,PFA-2-1,PFA-2-2,PFA-3-1,PFA-3-2,PFA-4-1,PFA-4-2,PID-1-1,PID-1-2,PID-2-1,PID-2-2,PID-3-1,PID-3-2,PID-4-1,PID-4-2,RID-1-1,RID-1-2,SA-0-1
0,1.0,172.43142897367753,329.4768706137331,402.48477589603027,469.3136085801216,524.8099609769135,565.9538528312944,778.0122111996643,837.491991306318,599.775249864828,774.9047200443543,0.04356654143695249,0.02515938481375972,0.022044330540301377,0.019368039888150904,0.008949995257633075,0.010040995246760632,0.0019271128495196455,0.0034421029915144333,0.06168780000714641,0.022938669883977594,2.500005864752826
1,1.0,332.56943122580066,423.53834978329024,294.81763971463766,336.5425009231946,262.36621056089155,214.4720869473399,206.49036447712683,190.81770892238197,264.20446137599464,263.88501985412586,0.004451354615801403,0.004708741743813544,0.0066291009036662215,0.005986953407310594,0.00651286582608437,0.005947348316547396,0.00209725226241278,0.0027555007585426147,0.003044796170964054,0.00282073741823858,2.500007965206991
2,1.0,273.91737458195075,262.9263628206124,272.714086732568,315.65990671758897,305.0042293861573,274.05939868879574,239.46100567541325,226.88701253115164,281.4711795156493,294.85007256892885,0.006344862691309461,0.008057301628054814,0.005226167694511368,0.007640012758124881,0.004322327839214474,0.006178127135175991,0.0015365228445541172,0.0017342549305654003,0.003972133184828539,0.00735933010342015,2.4999950693136106
3,1.0,368.1749389872563,300.6975352431827,497.72222787574947,510.03316940546614,535.1560688229636,477.8477802904785,491.7910485070591,530.68988318471,576.6648473999517,598.8881918588569,0.012646406648055858,0.015375314902937127,0.008079709765806875,0.012871540670941031,0.006652756235993877,0.0076984927136994384,0.002647028012379323,0.002406930321870524,0.010432183411303383,0.0115457892754616,2.500012966007788
4,1.0,336.4392199789071,322.2136146976912,328.224753268253,268.0557172778371,288.0135756853559,264.7762463535362,258.3522761942399,269.4623242324227,310.88575088707603,332.78966731493585,0.029009871384013505,0.010433244146859874,0.013810037888976185,0.015069125164722212,0.00853812268902676,0.011776538662307367,0.002713264880164422,0.004514340783140957,0.03168888580362586,0.00965286285171056,2.5000081310492877
5,1.0,338.3034085327706,317.50396693090886,370.0428973300558,583.600869094882,402.8485722378313,540.1303734517995,379.7939802042712,491.6752667046813,421.2641377343115,546.1537545934921,0.010191874394206544,0.009407123593929938,0.009880972280841569,0.013550615219016394,0.005011279836471129,0.008771835500274543,0.0016946054972881489,0.0028689176382302554,0.008973827027780386,0.009009053481475971,2.499983619453292
6,1.0,252.21282365051476,380.63959648697164,296.23649976115513,483.730436968539,354.30348268343477,416.5031966069574,371.03258943331963,409.8992003470706,394.11887110659586,452.28347430780127,0.008531670343297375,0.017202478304595613,0.006268665977305748,0.011327044773542676,0.004713544967060614,0.00648822957670992,0.001592411670274488,0.0019703134504182825,0.0058563819383811305,0.015659988772027178,2.5000001946968586
7,1.0,338.13645202486254,392.74031873053235,422.96955329038036,605.2304160008712,460.6574768078982,549.417083096703,490.36964937676885,461.18435014909505,554.2797638024624,545.1419195095018,0.009898567782478683,0.009323993100947099,0.007485838666279052,0.010010583468209489,0.0051786564015365065,0.006478711958314429,0.0020266517234311422,0.0019093280509543066,0.007795590065259166,0.008926833352335848,2.500008273135662
8,1.0,442.85439504689197,388.5793170583321,314.5912643134462,469.47262491415796,294.485236472418,282.55684928385904,236.70010820208802,259.54452707595937,321.1356421577,304.72781915974446,0.0034250994936375206,0.0037554253707952163,0.0033996484260532573,0.0059315683525378166,0.003548093922557754,0.005289628839727799,0.0015231139960361103,0.002174396718598095,0.002213289692294121,0.002384888432161594,2.500004883014863
9,1.0,324.38918527742436,333.63531235644905,681.4947095525074,704.0636461168721,944.1862419200764,1236.1263807108567,1142.2519300938868,1136.1126251924406,1138.8299302009386,1266.040755734168,0.031224014060060246,0.019846263464330553,0.012172178394537873,0.012644813225301775,0.00793070094820693,0.009086102272511533,0.002343864823835549,0.003090017762467995,0.028532029556723744,0.014591438725834913,2.5000030754523217
10,1.0,535.0821149814166,399.61249037051624,518.0772734713568,368.2971623884444,447.1382363963198,304.29675797610207,482.08617718811223,421.674388288867,542.7471096872974,458.18138296157457,0.011178395357528605,0.011302834509320703,0.009868544345747986,0.009690734214844544,0.008665263258715042,0.006354934517858992,0.002741819296800592,0.0030156062365836187,0.010315289238625049,0.007087205876260756,2.50000569488945
11,1.0,212.91041175728614,237.72958974067592,385.7147910804715,242.80031440670024,404.60344551776257,400.356871437435,455.3002314289976,334.3397800335018,492.4269745262401,462.49761439738137,0.015558495171431125,0.008462043404407267,0.012574772716738666,0.007315499168731028,0.00847088990642204,0.006368785957772534,0.002293281334920558,0.0025652235664546893,0.012900144795088083,0.004465069196945496,2.499995340648876
12,1.0,322.90060759847137,288.6875468475152,237.14436760716663,380.2702618409751,241.58162667646465,271.6747054308476,234.67601145499725,263.0052883222931,327.51450243235695,320.8223156508493,0.009723307749696573,0.009735661045021516,0.007711382865678226,0.01573624650793394,0.007692747684497013,0.01436269042497965,0.003942669716175668,0.005104859539453273,0.007845959897069368,0.010624459484980907,2.499989069618009
13,1.0,463.1615602203975,707.7168742539665,248.0333128238658,441.0631588679965,217.09787767811022,269.24519663996244,234.29732485879134,210.4541360125934,263.43739827491237,253.01849022693693,0.007648766983122983,0.011727321057397374,0.007509220439498601,0.011961320383365007,0.006976752366704793,0.0064828510606969895,0.002254223135165765,0.002895293339481474,0.006127741450945647,0.00894689018032472,2.499999691533853
14,1.0,477.50357979204455,572.9933472933913,336.7434201177656,384.37830891861483,302.37824637604695,290.22644222462185,307.02285743411204,230.4780736912353,326.67942013201457,312.19190539467996,0.010049798775200973,0.010197609389799106,0.006850446547069398,0.010402876152974033,0.004854736373011042,0.005838808013898053,0.0014497858062503149,0.002083494036002228,0.007616519505652027,0.008766336453478145,2.500002519167212
15,1.0,250.07730206190848,247.72622268677532,242.84146263855416,368.42697104198277,186.3596355535661,210.2111056823699,143.63252038733398,179.67914833375235,179.70502728114843,199.24926182611327,0.005272427438449186,0.006920958488341089,0.005434094408175121,0.009748089113437677,0.0048825766267864106,0.007699009982850234,0.0016497490828479547,0.001961555585894273,0.0036149281154378003,0.005139005108692454,2.5000018991057673
16,1.0,337.516232292023,455.5588276620978,377.246740949756,596.3706144570751,414.67331429548625,666.7827779521872,406.9105126541751,477.87903152680684,412.4805965288652,520.6025672380094,0.008307895507497054,0.010013295010128258,0.006340081059458216,0.008245695942029696,0.00457221815073205,0.00594524265848271,0.0012887823917737714,0.00236356796886664,0.005596827033352832,0.0061259536499022604,2.499991492308541
17,1.0,517.3559524046434,432.93593670729905,621.8389824055146,555.166099336389,558.3887387358297,537.1068206815689,578.8041709910561,607.7408792155042,531.8072654613494,636.286494817276,0.012179959183760252,0.0083794861109337,0.011701340656487454,0.011445640064659153,0.005624902754127922,0.006689533646277874,0.0017415487544233733,0.0024622618178341085,0.013191853636389509,0.005775961438239996,2.5000011649641483
18,1.0,466.78560560884074,470.58746339843174,259.5590817965259,449.1731411113857,257.7610064454574,346.59718690359347,184.35422834070553,243.02299534849877,231.2662622600843,268.3128247162321,0.011549301783269659,0.012664446097558065,0.006937618262220532,0.011049809319652881,0.006089108670910642,0.008478768116922915,0.0018646305575838944,0.002731327579901095,0.008167296885723499,0.010679897109318858,2.4999893508417776
19,1.0,537.5410716100038,434.3191521096336,334.9280910026083,509.91948435731734,272.8946787545583,332.7316838330753,281.9045560777847,345.24460304443375,346.75687030670184,377.8739170751816,0.004923646940279307,0.0074533690050937055,0.003969799887723376,0.00877674775867652,0.0037941233098579257,0.005886646649539807,0.001655214251136823,0.0024955981412510867,0.0035862368277421695,0.004979073459746811,2.499994100599113
20,1.0,507.29425465715644,516.0419550031295,327.9957293562622,487.7841738422003,307.51612602190784,465.8329710508088,262.4420987914692,346.70585232594306,312.69770386094257,393.60878621848553,0.02142410244701104,0.019395180918673965,0.015442819331182982,0.019028964327830158,0.009196275830328879,0.012671063840857977,0.002650672845576893,0.0053925473609401356,0.020281015227216755,0.01651415295194004,2.500001205734175
21,1.0,410.93535876470463,331.95868893327525,387.1107726161418,390.89180921298345,419.7231391769924,291.739209050629,298.66375991165654,251.55572017441398,408.9771778845142,336.94717887535353,0.011567951180802349,0.005866789399621291,0.009004407952302462,0.007705421307221151,0.00849087522063969,0.006513162716065383,0.0034118934802649698,0.0026976341417905576,0.00949042571494145,0.004222134289920521,2.500009767629541
22,1.0,400.3063609492008,304.6819867720478,317.77333332224345,507.72549449133413,273.7871990694766,380.37807721465435,327.7783434143559,316.70090205810845,387.76701417697126,382.59640933788046,0.004509769473365514,0.005834007859994426,0.006279909460016735,0.007696890334271781,0.0062114619612387775,0.005844197748780842,0.00205868994888172,0.0033544114465148033,0.003338780817587895,0.004638863155655791,2.4999922049684042
23,1.0,361.92775055685155,496.09558326068446,231.87305518528999,393.1643196173282,220.44157961528128,239.01937940262115,199.59979248135429,182.04984106427355,245.23612677909105,225.33715231823103,0.004996563010637754,0.00600468072877426,0.0052716756143681015,0.005716166178135944,0.006130237958605109,0.005406324361153743,0.001990134488410685,0.0028008608809679428,0.0035677184596692854,0.002942530220083276,2.4999927002517595
24,1.0,775.0399292413061,571.6477622180497,462.00751548863417,519.2278749473725,414.6898958991026,351.3380810683502,351.8721546704086,309.81438857557214,393.66479326280734,339.6911211127917,0.01639785108997369,0.013354615091521754,0.011774641627102757,0.012974185360081956,0.010680770275296646,0.0077387887675466945,0.0028358186332784066,0.00341598863828682,0.01449623645422859,0.01039931455249923,2.499993374057546
25,1.0,330.8832954154419,464.0636858281519,460.37084715283135,715.040695992399,550.3420037657665,772.4056852294757,515.8339769978953,655.4244369799554,482.07151433784463,705.3835740031955,0.025484946627506767,0.028466860699430104,0.014182748920202758,0.016328923347552985,0.007849945538791621,0.010873720937835245,0.0019598156230149974,0.004036510394675122,0.021908433127830897,0.02373790298482329,2.4999939398525406
26,1.0,235.34561157351246,266.82690101411697,380.5666195866414,412.37560188419957,397.5124206566675,603.0943918506135,732.9324181092715,657.2500020965946,620.7448370055952,638.5092832598535,0.013596564891342,0.010722847496450498,0.01087013213811055,0.011291400588484907,0.006599788701890434,0.006581642837775225,0.00158486651114218,0.003079743233640186,0.014530613017251255,0.006496521534822739,2.50000054908455
27,1.0,533.5703240793763,450.3535965833007,373.9517566594251,483.5534637834683,372.67135154005797,414.9772901911534,229.73465092873735,284.1756362620152,332.2116819496489,360.3476960882117,0.012483096144532847,0.01340756216483832,0.008802957831317829,0.013122826299760321,0.006637867856223037,0.0108013126807236,0.0027864124048092146,0.004471322938972799,0.008809734256463269,0.013692862330286226,2.500002313234514
28,1.0,223.00590374772304,241.57385239434097,294.731833417132,302.4769394029241,329.14754906524024,359.86123656352714,388.0533910614879,354.0725017162366,380.1425909715285,345.26952309466634,0.01820955744146625,0.015454976694503473,0.01763658761275863,0.012438896807516782,0.01328581247570448,0.007907918923886606,0.003589425479352813,0.002793390848753784,0.018638383423642785,0.01071181600126494,2.5000106097430033
