-,repair_cost-,repair_time-parallel,repair_time-sequential
0,1372256.0117826876,384.13831040430614,987.6006582438906
1,7133183.025649221,729.799927661209,729.799927661209
2,7133158.000171089,729.608386079857,729.608386079857
3,7133177.5392852025,730.4197876994713,730.4197876994713
4,7133153.161220123,730.3352953446133,730.3352953446133
5,7133192.418641642,730.0327898240502,730.0327898240502
6,7133215.717482264,729.787842719503,729.787842719503
7,7133209.250379762,729.7668934042903,729.7668934042903
8,7133220.418346667,730.2056119979834,730.2056119979834
9,7133163.502631497,729.6003515826646,729.6003515826646
10,1487479.8053193265,583.7299524588052,1312.9882303145048
11,1919832.646287181,640.3807617823461,1417.748007213444
12,7133182.1704774955,730.056241042018,730.056241042018
13,896311.8334119542,370.93230320763905,715.0390923509524
14,7133211.568719364,730.462917666481,730.462917666481
15,7133173.267751396,729.5649064541302,729.5649064541302
16,1354226.118335772,506.2093518207077,1036.482470583152
17,7133186.930374198,729.3884591472854,729.3884591472854
18,7133197.283685031,729.7629890974129,729.7629890974129
19,7133224.491508296,729.9006452868836,729.9006452868836
20,1298443.381300259,510.4390167461381,1004.7846612757621
21,7133203.792025464,730.1014266080241,730.1014266080241
22,7133137.649704356,730.1557971211148,730.1557971211148
23,7133184.637003389,729.9380262796694,729.9380262796694
24,7133163.03772336,730.0196471694227,730.0196471694227
25,1355639.972638118,665.425496977936,1155.4236960654296
26,7133203.422062637,729.495556901921,729.495556901921
27,7133226.666253018,729.9908704207799,729.9908704207799
28,7133172.49902918,730.1964863828742,730.1964863828742
29,7133181.848430911,730.0330907077368,730.0330907077368
30,7133209.353189338,730.0018467845399,730.0018467845399
31,7133192.76216552,729.7603118929243,729.7603118929243
32,7133205.194913376,730.2498354863194,730.2498354863194
33,7133185.312737635,729.9668548174316,729.9668548174316
34,7133183.566580581,730.5381929176361,730.5381929176361
35,1680578.545433015,548.8886435520907,1299.311111413419
36,2085392.9811915024,562.9340518949773,1645.87356827662
37,757179.6298102109,183.28942787325627,533.7082652021559
38,936233.4185664527,317.77162011390567,659.8638244752807
39,7133181.218286705,729.8532437217558,729.8532437217558
40,1755465.6917863933,676.3973049941117,1354.8481748977433
41,7133183.74318518,729.6715718813615,729.6715718813615
42,7133187.86686775,729.8704838871755,729.8704838871755
43,1079591.3178089517,557.8481764789394,1030.1763917903766
44,1256743.0582870198,368.08306689083986,929.9003784471158
45,7133174.800460802,729.8234461780679,729.8234461780679
46,7133180.793931136,730.2750143111246,730.2750143111246
47,7133189.043218089,729.7980474090602,729.7980474090602
48,7133181.682294576,730.1267700035833,730.1267700035833
49,1483463.455403481,557.7288722262284,1187.6832069431855
50,1440011.301958469,703.0606905428252,1186.8096803253093
51,7133182.626476837,730.3597942847441,730.3597942847441
52,7133158.431318606,729.9841020154364,729.9841020154364
53,7133187.68675774,730.0783224536196,730.0783224536196
54,7133201.39302423,730.0490177495384,730.0490177495384
55,7133178.148115749,730.2367533853319,730.2367533853319
56,1452305.1601410694,703.1514794222232,1148.2234383111893
57,1079412.6380120558,558.8641207884218,940.946786931868
58,7133223.940276862,730.3637627948135,730.3637627948135
59,7133202.718356631,730.308848668398,730.308848668398
60,7133192.381160604,729.7099310592239,729.7099310592239
61,7133206.9551804885,729.8360714355061,729.8360714355061
62,1346914.1815330826,667.9335414803522,1077.9456115296705
63,7133194.267960856,729.7461151249463,729.7461151249463
64,999365.0802503125,312.9647124803077,848.2311750915354
65,1546600.7735225384,476.29102274468806,1166.5521209104995
66,7133188.584636307,729.6301457783944,729.6301457783944
67,7133171.645300667,730.3135886649475,730.3135886649475
68,7133188.631276547,730.1945472394391,730.1945472394391
69,1762685.687069604,683.0051327918304,1424.2865786447107
70,1241993.7262246914,552.0458887714302,974.2654345604254
71,7133198.915900368,729.5821930576676,729.5821930576676
72,7133203.669985556,729.8799747066751,729.8799747066751
73,7133194.423638296,729.8669681845182,729.8669681845182
74,1393316.5916632586,627.3374301939728,1197.72347376545
75,7133170.934426507,730.0152726676148,730.0152726676148
76,1082606.6062191813,322.0333762895367,750.70839916362
77,7133205.241908798,729.9015184887094,729.9015184887094
78,7133152.76204434,730.0973058139176,730.0973058139176
79,7133190.042731323,729.920644109189,729.920644109189
80,7133171.106608159,729.7847151007824,729.7847151007824
81,1128210.433234801,500.3414857567579,818.5847036771028
82,7133199.960417566,730.2296361073211,730.2296361073211
83,7133173.103477214,730.0471185590545,730.0471185590545
84,7133184.248874197,730.0087657667423,730.0087657667423
85,7133155.290521799,730.1969069856557,730.1969069856557
86,7133195.996305718,730.294242417175,730.294242417175
87,7133150.319835562,730.0922703723734,730.0922703723734
88,7133219.491893655,730.0983816010214,730.0983816010214
89,7133199.590015437,730.2561178919939,730.2561178919939
90,7133199.221231356,729.8856773175733,729.8856773175733
91,1028452.6310601844,382.49210852507423,921.9274553259111
92,1266070.9810212953,430.3508673816828,1021.2918314350428
93,1355243.2656954385,469.4221476528141,1053.4997042200202
94,7133181.873224004,729.9799902234021,729.9799902234021
95,7133188.184898854,730.2670295675639,730.2670295675639
96,7133176.007700092,730.3327130634923,730.3327130634923
97,7133188.829762373,730.0825030061068,730.0825030061068
98,7133191.408651606,730.0934313128563,730.0934313128563
99,7133169.634168514,730.2801183995299,730.2801183995299
100,7133180.526062753,730.0893821664797,730.0893821664797
101,7133183.923143883,729.6236714348208,729.6236714348208
102,7133169.672546583,729.6297653480061,729.6297653480061
103,7133147.167968649,730.5946049463635,730.5946049463635
104,7133203.03336385,730.3591719558254,730.3591719558254
105,7133201.958266843,730.260669585651,730.260669585651
106,7133213.45164774,730.0485726235161,730.0485726235161
107,1509662.333682466,591.1807482034618,1121.8487197781783
108,7133167.068261066,730.3397104036392,730.3397104036392
109,7133153.828325659,729.5324580183175,729.5324580183175
110,1055126.947043281,543.1794517521388,829.3971740390404
111,721970.6370190566,293.2577275035653,522.0474112603729
112,7133193.820985003,729.9677299450698,729.9677299450698
113,7133202.801548911,729.9368652301921,729.9368652301921
114,1439843.7993681473,454.4674872135416,1087.142984081063
115,1171227.5677773692,622.9803376401504,985.6007073022773
116,1103562.645562049,431.0940310251214,966.1340292553106
117,1217633.5822236422,479.369881993555,1091.7151133009081
118,7133163.35556455,730.4128983938486,730.4128983938486
119,7133157.141397991,730.5542201853674,730.5542201853674
120,7133168.817396487,730.0300333734033,730.0300333734033
121,7133227.313160828,729.6727248148063,729.6727248148063
122,1912675.67179036,741.6960262807396,1556.5204137410358
123,7133225.320136341,730.1181343562938,730.1181343562938
124,1759371.7958214118,729.9353270499835,1569.1129935424465
125,7133148.756782398,730.1536936293332,730.1536936293332
126,7133191.818141548,730.4805839904825,730.4805839904825
127,7133168.926703203,729.7110039600074,729.7110039600074
128,7133202.208428029,730.0836847761732,730.0836847761732
129,1323253.8450878377,349.4305549385362,1105.5279650521436
130,7133171.980970858,730.283240180962,730.283240180962
131,7133172.985647268,729.5063060907947,729.5063060907947
132,7133163.647789673,729.3337257036653,729.3337257036653
133,7133204.331979658,729.9648455805275,729.9648455805275
134,7133207.52340372,730.1466010387612,730.1466010387612
135,7133195.285036439,730.2620998027562,730.2620998027562
136,7133187.331560739,730.0794575971502,730.0794575971502
137,7133178.200671167,729.9270033937272,729.9270033937272
138,1854291.2898084028,732.5264173652714,1547.845727990124
139,7133158.012604271,729.9157373174593,729.9157373174593
140,7133201.049482762,729.7155214332787,729.7155214332787
141,1390674.1860012303,484.7925937256665,1062.395052186865
142,7133211.4058036655,730.1091069049554,730.1091069049554
143,7133202.814946863,730.3146641963931,730.3146641963931
144,7133187.897389166,729.5282902252534,729.5282902252534
145,7133181.928093716,730.1052302773128,730.1052302773128
146,7133149.806321213,730.2736084102008,730.2736084102008
147,7133148.061599385,729.9167046713632,729.9167046713632
148,7133190.302864707,730.0566504326925,730.0566504326925
149,7133200.979623262,730.4923318994549,730.4923318994549
150,7133181.998760062,729.9600691727059,729.9600691727059
151,1068142.4581740303,362.88806546365186,811.283002115758
152,1276171.1344104046,747.9237573680431,1127.231096697236
153,1095530.051154856,378.7923320750516,988.065311847166
154,7133168.7180204615,729.9228394225328,729.9228394225328
155,1098797.5215196947,420.6628699467572,1024.2810389070928
156,7133169.031487338,730.3465653218017,730.3465653218017
157,7133179.030564784,729.8493204766856,729.8493204766856
158,7133183.844214356,729.6796029091025,729.6796029091025
159,712096.7348033857,221.73598773198046,525.5453532934903
160,7133184.349346286,730.1413681254669,730.1413681254669
161,7133188.581055117,729.4390895842952,729.4390895842952
162,1276191.2674294373,515.5222790409648,1037.0928606745551
163,7133211.77748143,730.1555331018058,730.1555331018058
164,7133163.7894537775,730.5069253026693,730.5069253026693
165,7133208.430692184,729.804968103661,729.804968103661
166,7133172.403877858,729.9202536761704,729.9202536761704
167,7133174.747940172,730.2636352211044,730.2636352211044
168,7133178.627808252,729.9752946119183,729.9752946119183
169,7133225.382174325,729.7721472305228,729.7721472305228
170,7133204.114904892,730.6431307620803,730.6431307620803
