-,repair_cost-,repair_time-parallel,repair_time-sequential
count,5000.0,5000.0,5000.0
mean,5314303.669197382,661.7820146762656,829.8024162419412
std,2713474.400265447,128.9942057245029,200.26177726424646
log_std,0.8177426137274992,0.25239685416499447,0.20643737506040333
min,400347.858958246,146.22581544813272,377.81254067318736
0.1%,597989.4626149558,180.7681158961893,488.33782138787524
2.3%,863828.2617874346,296.20165656417333,697.1892751272858
10%,1147157.1414539695,442.4280209401498,729.6240490467139
15.9%,1289621.3987001183,514.6237457833131,729.7370033150011
50%,7133171.204148689,729.8431449141888,730.1419800915897
84.1%,7133199.6635989435,730.2444311865204,1044.630169223202
90%,7133206.539811966,730.3494044285628,1162.3133616970395
97.7%,7133223.394384146,730.718338006313,1399.522977328848
99.9%,7133245.539568022,883.4686738181523,1667.985386021682
max,7133258.655828678,934.3792199430476,1834.9208672653524
