,repair_cost-,repair_time-parallel,repair_time-sequential,collapse,irreparable
count,5000.0,5000.0,5000.0,5000.0,5000.0
mean,34687.63523180009,20.353151273843118,29.19727088974465,0.0,0.0
std,20652.424137422367,12.67337152955999,17.52803798680516,0.0,0.0
log_std,,,,,
min,0.0,0.0,0.0,0.0,0.0
0.1%,0.0,0.0,0.0,0.0,0.0
2.3%,4396.73179930701,2.8102392839826793,3.543149141958768,0.0,0.0
10%,12086.46761915461,6.919440308499067,10.039364573473206,0.0,0.0
15.9%,16274.683711701573,9.09524912334647,13.341195206226612,0.0,0.0
50%,32143.536981181245,18.26454418216699,26.639786052217826,0.0,0.0
84.1%,50521.043428642144,30.236259757736143,43.16678104214355,0.0,0.0
90%,58824.8005530853,35.699542544193314,50.52691069630875,0.0,0.0
97.7%,87435.70334909065,53.30612983680182,73.83899739343707,0.0,0.0
99.9%,159725.72340158152,98.22077554988442,130.32963535309278,0.0,0.0
max,221299.76821102516,116.73805131535111,148.27909345840996,0.0,0.0
