cmp-loc-dir,B.10.71.002-1-1,B.10.71.002-1-2,B.10.71.002-2-1,B.10.71.002-2-2,B.10.71.002-3-1,B.10.71.002-3-2,B.10.71.002-4-1,B.10.71.002-4-2,B.10.71.012-1-1,B.10.71.012-1-2,B.10.71.012-2-1,B.10.71.012-2-2,B.10.71.012-3-1,B.10.71.012-3-2,B.10.71.012-4-1,B.10.71.012-4-2,B.20.11.102-1-1,B.20.11.102-1-2,B.20.11.102-2-1,B.20.11.102-2-2,B.20.11.102-3-1,B.20.11.102-3-2,B.20.11.102-4-1,B.20.11.102-4-2,B.20.11.121-1-1,B.20.11.121-1-2,B.20.11.121-2-1,B.20.11.121-2-2,B.20.11.121-3-1,B.20.11.121-3-2,B.20.11.121-4-1,B.20.11.121-4-2,B.30.11.012-5-1,C.10.11.001a-1-1,C.10.11.001a-1-2,C.10.11.001a-2-1,C.10.11.001a-2-2,C.10.11.001a-3-1,C.10.11.001a-3-2,C.10.11.001a-4-1,C.10.11.001a-4-2,C.10.11.011a-1-1,C.10.11.011a-1-2,C.10.11.011a-2-1,C.10.11.011a-2-2,C.10.11.011a-3-1,C.10.11.011a-3-2,C.10.11.011a-4-1,C.10.11.011a-4-2,C.20.11.001b-1-1,C.20.11.001b-1-2,C.20.11.001b-2-1,C.20.11.001b-2-2,C.20.11.001b-3-1,C.20.11.001b-3-2,D.10.14.021-1-1,D.20.21.013a-1-1,D.20.21.013a-2-1,D.20.21.013a-3-1,D.20.21.013a-4-1,D.20.21.013b-1-1,D.20.21.013b-2-1,D.20.21.013b-3-1,D.20.21.013b-4-1,D.20.21.023a-1-1,D.20.21.023a-2-1,D.20.21.023a-3-1,D.20.21.023a-4-1,D.20.21.023b-1-1,D.20.21.023b-2-1,D.20.21.023b-3-1,D.20.21.023b-4-1,D.20.31.013b-1-1,D.20.31.013b-2-1,D.20.31.013b-3-1,D.20.31.013b-4-1,D.30.31.013a-5-1,D.30.31.013b-5-1,D.30.41.011c-1-1,D.30.41.011c-1-2,D.30.41.011c-2-1,D.30.41.011c-2-2,D.30.41.011c-3-1,D.30.41.011c-3-2,D.30.41.011c-4-1,D.30.41.011c-4-2,D.30.41.032c-1-1,D.30.41.032c-2-1,D.30.41.032c-3-1,D.30.41.032c-4-1,D.30.41.102b-1-1,D.30.41.102b-2-1,D.30.41.102b-3-1,D.30.41.102b-4-1,D.30.41.103a-5-1,D.30.52.013a-5-2,D.30.52.013b-1-1,D.30.67.012a-1-1,D.30.67.012b-1-1,D.40.11.023a-1-1,D.40.11.023a-2-1,D.40.11.023a-3-1,D.40.11.023a-4-1,D.40.11.074a-1-1,D.40.11.074a-2-1,D.40.11.074a-3-1,D.40.11.074a-4-1,D.50.11.011a-1-1,D.50.12.013d-1-1,D.50.12.023a-1-1,D.50.12.023b-1-1,collapse-0-1,excessiveRID-1-1,excessiveRID-1-2,irreparable-0-1
count,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mean,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,6451.0,748.735845732848,748.7251078411691,748.684831295873,748.6845663674441,748.7017329927935,748.7455701350303,748.719940011125,748.7544307211489,748.7376856616331,748.7882236334584,748.7072377164137,748.7462130234178,748.750236892186,748.7790383298089,748.723008111726,748.7080138201193,2.0,2.0,2.0,2.0,2.0,2.0,1.0,529.0800089501516,529.1047182785313,529.2357015206769,529.09570243468,74.87492215810626,74.8725557847338,74.88417198359333,74.87296056148969,1058.2378544178453,1058.3221308786194,1058.248378542599,1058.1615566989888,149.74443792330018,149.7489883842474,149.7453623893156,149.7479702366869,604.0016881678199,603.9595210445341,603.9698929954961,604.0381663958735,1.0,1.0,249.56687545759607,249.60892107545584,249.5751416808181,249.6269398717966,249.59486496171579,249.61491535104494,249.5930403217721,249.58648415605919,36.864,36.864,36.864,36.864,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,5291.046036839067,5290.977550898471,5291.5591952581235,5291.2597543644715,59.89955628911308,59.89623340088602,59.91849409562776,59.89826252533839,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.6137033847987,311.5730202640781,311.3504293729926,311.35210239313807,311.4361122990224,311.69722007438776,311.4977040682281,311.82097779687007,311.6731837349187,311.97101095483873,311.4676047533059,311.71915199424234,311.7221227043784,311.97561347693164,311.62305143368957,311.43470932755156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.05625525390806,220.28183338508654,221.39119349211865,220.15964373845486,31.171863604611026,31.154486790795534,31.23780434262752,31.164909823400997,440.619043614159,441.38777752324097,440.7796775735644,440.18159701910776,62.319281309757514,62.35036729318837,62.31577637288645,62.332470637227395,251.58767218333617,251.240590934089,251.32408283090365,251.80732568084792,0.0,0.0,103.81631026235483,104.09881897931963,103.86053554085807,104.27006570543612,104.00826122952861,104.15969044131924,103.97406735543922,103.93334971408358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2202.203069859304,2201.6470407431275,2205.9760236223033,2203.8160611418207,24.943475574259736,24.91346936839465,25.09380259653482,24.926799944180495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
log_std,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,1.7763568394002505e-15,0.40002825634813216,0.39990158803511144,0.39985758470236293,0.39996311796381584,0.40003745153015946,0.3999045578843106,0.39988096066132733,0.3999191019714828,0.399930169610604,0.39995517207919906,0.3999089025173145,0.40008079474914515,0.3999558956375887,0.3999412762404965,0.4001406806018534,0.3998844349055321,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.39991275325132486,0.4003602373916258,0.40012893694422796,0.3998888749196867,0.39992859285744603,0.3999383447386405,0.400009890617244,0.3999472639467788,0.40003360280192385,0.40001306487877564,0.4000256158321765,0.3998846360645299,0.39993369507533516,0.4000622778545034,0.3999312823295828,0.3999891978132883,0.40007332605610973,0.39986281788003414,0.39986886316022696,0.4000229312916025,0.0,0.0,0.3999051534071868,0.40007745872302064,0.4000145155977615,0.4001014941877309,0.3999887767138796,0.4001791205427257,0.3999973494448284,0.39997424587209013,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.4000057266507245,0.39995824170138067,0.40005285454206263,0.3999434854406662,0.4000421203437624,0.39988956940090964,0.40017038802606003,0.3998767083091797,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0
min,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,6451.0,137.18387477390584,161.7552012801045,160.1370808199376,147.1197564259594,134.3669022712149,160.71552555569625,162.90490028866574,165.45487223986476,157.9174099982611,163.5497049491821,157.65286899985753,131.31165140980394,152.340525751264,165.96270909660026,123.8563790855876,163.76251733327518,2.0,2.0,2.0,2.0,2.0,2.0,1.0,100.7388586322479,69.40563168709618,111.96153491769499,113.21872732529017,15.768111037820942,15.171615449142037,16.13707203013311,15.97010415835544,195.33318850343332,219.12958358373214,214.59838113620685,219.42678542431912,31.28115820981221,28.44433508946247,29.91381407153417,30.08277816258409,110.03430240193755,133.8205121768523,134.65414232690443,127.2562844742532,1.0,1.0,53.318062083204005,47.57608905327776,45.719382853091965,52.07450880989317,53.57639011183341,48.619385544834294,54.92898810156876,51.3132068449569,36.864,36.864,36.864,36.864,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,981.6366056897025,1070.0052542248884,1085.7046626448175,1110.8462242712487,10.961627202639246,11.954804790528614,13.151230071132662,12.780052416176888,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
0.1%,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,6451.0,202.77502788351214,204.76427691925173,200.83384614982407,204.5572564699889,202.95522678593346,204.19850154157712,201.8730290532378,201.90422357216684,202.30142556768462,204.87811285702833,203.5095089856832,201.8434482316441,202.31039237567745,202.98643053060727,201.78746886378187,203.47274732957834,2.0,2.0,2.0,2.0,2.0,2.0,1.0,144.97075903319222,142.13637989775611,144.8543238082548,142.02325076717827,20.0944869598657,20.141513384232663,20.233110493611584,20.22771137175843,288.39455792661164,289.6006527028274,286.8729181279032,289.6180107873775,40.85227795742487,40.555511514197434,40.878749310848285,41.04480369695156,162.71945340703607,163.47299833629097,163.15385459354368,162.0785942739679,1.0,1.0,67.1379447085562,67.71069251148138,67.45820639535903,67.39873775998608,67.3900128106748,67.77759255219296,68.04211936180428,67.24461943571347,36.864,36.864,36.864,36.864,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,1442.4056400403747,1419.0069177726898,1427.2714150597874,1449.1105212599757,16.269424780820295,16.26873869109927,16.21305986715277,16.163254324275247,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
2.3%,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,6451.0,311.14855962882393,311.2333978557188,311.46328440110096,311.5065894197212,311.24428684598865,311.2026937061622,311.3328421411527,311.33063140471984,311.37978788778685,311.1792069168953,311.3378636360325,311.187557930396,311.450838585791,311.4915671711001,311.2273629162306,311.18337297627755,2.0,2.0,2.0,2.0,2.0,2.0,1.0,220.1591349735939,220.07078210860675,220.1163225445175,220.06618829857402,31.133712365525394,31.11667801622319,31.120169084199194,31.136629455286208,440.2824952856313,440.3766190462799,440.0529512684133,440.3229463198023,62.28930823935934,62.273345788460475,62.296318157751074,62.23143227950294,251.10523030033318,251.0430660649824,251.13158810089132,251.27554409937213,1.0,1.0,103.77821051586477,103.79986713982994,103.84723652191768,103.82730978184665,103.7284117417403,103.74855710152944,103.78467488583343,103.74529644696459,36.864,36.864,36.864,36.864,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,2199.956859438831,2199.0835390130155,2199.0237178444063,2199.2591034536977,24.906013510502937,24.894421328503288,24.911919132000047,24.91164645862418,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
10%,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,6451.0,414.01605256131035,414.0240586802128,414.0690715919754,414.08154463830374,414.04669601249714,413.99876757519024,414.12496873470127,413.9911499449702,414.0641758581726,414.11725550687527,414.0757354833525,414.1162317524472,414.12586132232235,414.0807581561542,414.09967584188956,414.00924672941443,2.0,2.0,2.0,2.0,2.0,2.0,1.0,292.6373298357676,292.591069058072,292.53317935511257,292.64669671566367,41.40048601560623,41.40558121717577,41.41187244855659,41.3991318355212,585.1138674960868,585.10350121974,585.1781734307897,585.1983064029487,82.79727192027502,82.80410515839093,82.80536998812781,82.79954657145612,334.0057218945419,334.0331016330885,333.92793165143405,333.9651283355301,1.0,1.0,137.99256810418635,138.04032023697852,137.99337107677485,137.99383932243873,137.99834967088208,138.03056873483223,138.04301819150237,138.0196730929806,36.864,36.864,36.864,36.864,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,2926.036693460162,2926.1114718797216,2926.5466114181936,2926.345486875235,33.126675901572135,33.12266475436413,33.120500878139964,33.13020606683122,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
15.9%,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,6451.0,463.592100222874,463.62161518516115,463.6006367317709,463.6372508415628,463.6015497671032,463.6166866755512,463.5910922184048,463.61528992662176,463.64094290580897,463.69855245035365,463.6628586427781,463.63047949273175,463.647012569551,463.69771813012153,463.6510029749079,463.6140678639203,2.0,2.0,2.0,2.0,2.0,2.0,1.0,327.64934327112564,327.6800771979073,327.6828499325157,327.6009523613692,46.35932525664309,46.365088458313224,46.360461476942426,46.361254222229185,655.3387574958504,655.2820495494736,655.3343222075374,655.3370905996676,92.72107486668486,92.73996895008479,92.7288365729333,92.71725190159295,374.02094624311036,373.97712864140686,374.0161340462978,374.0569120273372,1.0,1.0,154.5420910956609,154.56065757319982,154.56238928918583,154.5306917753692,154.53998704892794,154.53970584881938,154.54982707421922,154.53473788229905,36.864,36.864,36.864,36.864,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,3276.522030031525,3276.6887397323885,3276.237269790652,3276.4961861785414,37.085806588567095,37.088514160278315,37.093221095119276,37.08904905676954,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
50%,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,6451.0,691.2631913100543,691.2047457841002,691.2391434214262,691.1675059957852,691.2446145226181,691.2435441353709,691.2322661035139,691.1999161541197,691.22552757325,691.1854249449752,691.1784679888361,691.1653325272389,691.2014998326323,691.1514491630942,691.2327486474496,691.258115255471,2.0,2.0,2.0,2.0,2.0,2.0,1.0,488.42854480933465,488.48350508561873,488.43351692656734,488.45238477679413,69.11992196135206,69.12202711332236,69.11787271731731,69.11965975150633,976.8425038044741,976.8987529649983,976.8969955488537,976.874197302355,138.24623828880067,138.23216557376435,138.24065108860265,138.24285420590027,557.5427205385276,557.5444466906531,557.5586202520283,557.5677055399256,1.0,1.0,230.417081975873,230.41219242676937,230.3971316164979,230.39293709268816,230.38665455542508,230.41504171157283,230.4180540582109,230.40492273716131,36.864,36.864,36.864,36.864,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,4884.590628411719,4884.141720218873,4884.531816456685,4884.159714513689,55.29817939014763,55.29274251375887,55.3000996051844,55.29285545330623,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
