dv-loss-dmg,COST-B.10.71.002-B.10.71.002,COST-B.10.71.012-B.10.71.012,COST-B.20.11.102-B.20.11.102,COST-B.20.11.121-B.20.11.121,COST-B.30.11.012-B.30.11.012,COST-C.10.11.001a-C.10.11.001a,COST-C.10.11.011a-C.10.11.011a,COST-C.20.11.001b-C.20.11.001b,COST-D.10.14.021-D.10.14.021,COST-D.20.21.013a-D.20.21.013a,COST-D.20.21.013b-D.20.21.013b,COST-D.20.21.023a-D.20.21.023a,COST-D.20.21.023b-D.20.21.023b,COST-D.30.31.013b-D.30.31.013b,COST-D.30.41.011c-D.30.41.011c,COST-D.30.41.032c-D.30.41.032c,COST-D.30.41.102b-D.30.41.102b,COST-D.30.52.013b-D.30.52.013b,COST-D.30.67.012b-D.30.67.012b,COST-D.40.11.023a-D.40.11.023a,COST-D.40.11.074a-D.40.11.074a,COST-D.50.11.011a-D.50.11.011a,COST-D.50.12.023b-D.50.12.023b,COST-replacement-irreparable,TIME-B.10.71.002-B.10.71.002,TIME-B.10.71.012-B.10.71.012,TIME-B.20.11.102-B.20.11.102,TIME-B.20.11.121-B.20.11.121,TIME-B.30.11.012-B.30.11.012,TIME-C.10.11.001a-C.10.11.001a,TIME-C.10.11.011a-C.10.11.011a,TIME-C.20.11.001b-C.20.11.001b,TIME-D.10.14.021-D.10.14.021,TIME-D.20.21.013a-D.20.21.013a,TIME-D.20.21.013b-D.20.21.013b,TIME-D.20.21.023a-D.20.21.023a,TIME-D.20.21.023b-D.20.21.023b,TIME-D.30.31.013b-D.30.31.013b,TIME-D.30.41.011c-D.30.41.011c,TIME-D.30.41.032c-D.30.41.032c,TIME-D.30.41.102b-D.30.41.102b,TIME-D.30.52.013b-D.30.52.013b,TIME-D.30.67.012b-D.30.67.012b,TIME-D.40.11.023a-D.40.11.023a,TIME-D.40.11.074a-D.40.11.074a,TIME-D.50.11.011a-D.50.11.011a,TIME-D.50.12.023b-D.50.12.023b,TIME-replacement-irreparable
count,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mean,18990.2044039573,88576.8202623229,142521.06239896748,110668.3595056027,51108.04285140808,146294.80637546047,219204.68153800088,67866.80713131303,2079.9540093538485,295.91373308516336,62.22229214665074,1274.6190311229032,212.57123568276558,42901.156789788314,2861.0878498025527,16580.85399631871,24945.4765972028,10761.702702187396,249.97893758461987,9928.596537602294,47.87045559666114,6109.705438943552,2853.7358917636984,562095.0619523337,19.020767641565513,88.37864203899596,114.60975734973364,89.10444192426081,58.44088363663391,116.5835724857347,174.17535351275973,54.2292306970975,2.041691814861378,0.3216860565491436,0.06762026841153243,1.3909697296879704,0.23107047333220376,12.464454516610706,1.5230243263417702,19.540844136693043,30.375302146816253,3.1467895758326057,0.10876375714201801,4.799350391576021,0.04089742762643361,2.011710339206845,0.8358460289553467,57.52456841396792
std,9266.36333920293,28552.641599922856,44170.76990827646,46168.18243841052,46270.14623126049,59057.86602163042,72666.28750674611,41575.80008869853,2218.418907439396,471.1119567698711,68.15310761345334,2036.600746786368,236.42584878023632,21094.290382157225,3358.8525355551915,12284.597796589616,12240.523079862922,23077.37559648532,1054.9456726531187,10867.562036067775,164.51253893712487,4045.307896747628,7035.627897870543,1922060.526633159,9.729388021817657,29.72907598085907,37.425520980185674,39.557762633176615,55.60292875710342,49.18828744755963,59.691891364963176,35.033481215786644,2.306323375710969,0.5126523734404783,0.07558125670561487,2.239739531656677,0.27101186533666893,7.092815290654025,1.5578534089567693,14.81319722643351,15.65822593120735,6.771412884091572,0.4765384165481687,3.921484169446028,0.15998762495166208,1.4683792663546633,2.1402953718262503,196.70286857198295
log_std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10%,11417.098232181379,73298.44526062596,125540.15702379703,71048.35289703812,0.0,93536.13035958818,172764.1573747203,13406.531463113444,309.04128170370905,0.0,0.0,0.0,0.0,0.0,0.0,512.6854386050534,8172.163411525293,0.0,0.0,43.1329414204859,0.0,0.0,0.0,0.0,10.481136843981124,68.97671110277686,93.23904790303393,51.55839772599222,0.0,72.45291848567656,130.7617720838806,10.138156635139529,0.2746721593224843,0.0,0.0,0.0,0.0,0.0,0.0,0.556318980328416,7.6057311522400965,0.0,0.0,0.035992062627676395,0.0,0.0,0.0,0.0
15.9%,12977.702528862024,79735.68609203838,133686.5218572441,81106.30528490829,0.0,109396.7640059855,192034.8292832477,22284.512682105105,523.9877009505286,0.0,0.0,0.0,0.0,0.0,0.0,2214.4446107493836,10458.276222137212,0.0,0.0,399.42280839751754,0.0,0.0,0.0,0.0,12.365878211442906,76.61058051852855,101.93966904373302,61.994711724273124,0.0,83.88847103279653,148.45973445913157,17.399946083613077,0.47736221070228946,0.0,0.0,0.0,0.0,0.0,0.0,2.5154591767242183,12.952885800046516,0.0,0.0,0.4481425771842334,0.0,0.0,0.0,0.0
50%,17307.176406982326,94200.93457637643,153184.26886736258,109834.73372941962,45494.77657458841,148129.64692728422,232625.7235301549,63516.20251821113,1471.13012005689,84.10521970897753,44.953458172607185,370.44450482953846,150.74575429973424,48564.40649774241,1510.7532835911468,15067.755741108318,27638.976812467787,0.0,0.0,5819.422048128896,0.0,7579.247843638517,0.0,0.0,17.464951276940916,93.09112455112273,121.77681137118047,87.84117959989355,49.615977040194025,117.07582519853905,183.66562272197865,48.60667504387474,1.3939901891307573,0.09187174383081026,0.04749586899003046,0.42068474376496434,0.1503422136018197,13.161578537117107,1.0406995859978352,17.64626689085287,32.39945521740023,0.0,0.0,4.255765448856145,0.0,2.269178774986507,0.0,0.0
