,repair_cost-,repair_time-parallel,repair_time-sequential,collapse,irreparable
count,5000.0,5000.0,5000.0,5000.0,5000.0
mean,8996731.243854588,621.3828963653881,831.8986210869318,0.0,0.597
std,6416863.109030427,158.75390876484633,194.7594001294178,0.0,0.4905498219605886
log_std,1.2424442491466834,0.3243202140829265,0.20792930394028958,,
min,449181.21302320936,114.14782206094652,322.32484579906395,0.0,0.0
0.1%,500047.3131979124,155.83085813712245,411.7275900844737,0.0,0.0
2.3%,754968.5889304449,244.78592899319816,613.8767384457,0.0,0.0
10%,996146.7188450001,355.68258207068726,729.585296969448,0.0,0.0
15.9%,1106142.2145683416,418.0999711049132,729.7314144013964,0.0,0.0
50%,14266326.135828722,729.7369858127532,730.1902443492827,0.0,1.0
84.1%,14266394.60712623,730.1971371165827,1041.0542690719303,0.0,1.0
90%,14266408.782132298,730.3019406617586,1144.1745011944363,0.0,1.0
97.7%,14266444.869061938,730.6050352516282,1373.1142719367922,0.0,1.0
99.9%,14266492.50084174,835.3461729308809,1615.8926912386862,0.0,1.0
max,14266513.93405811,883.76618538181,1738.095079805361,0.0,1.0
