dv-loss-dmg,COST-B.10.71.002-B.10.71.002,COST-B.10.71.012-B.10.71.012,COST-B.20.11.102-B.20.11.102,COST-B.20.11.121-B.20.11.121,COST-B.30.11.012-B.30.11.012,COST-C.10.11.001a-C.10.11.001a,COST-C.10.11.011a-C.10.11.011a,COST-C.20.11.001b-C.20.11.001b,COST-D.10.14.021-D.10.14.021,COST-D.20.21.013a-D.20.21.013a,COST-D.20.21.013b-D.20.21.013b,COST-D.20.21.023a-D.20.21.023a,COST-D.20.21.023b-D.20.21.023b,COST-D.30.31.013b-D.30.31.013b,COST-D.30.41.011c-D.30.41.011c,COST-D.30.41.032c-D.30.41.032c,COST-D.30.41.102b-D.30.41.102b,COST-D.30.52.013b-D.30.52.013b,COST-D.40.11.023a-D.40.11.023a,COST-D.50.11.011a-D.50.11.011a,TIME-B.10.71.002-B.10.71.002,TIME-B.10.71.012-B.10.71.012,TIME-B.20.11.102-B.20.11.102,TIME-B.20.11.121-B.20.11.121,TIME-B.30.11.012-B.30.11.012,TIME-C.10.11.001a-C.10.11.001a,TIME-C.10.11.011a-C.10.11.011a,TIME-C.20.11.001b-C.20.11.001b,TIME-D.10.14.021-D.10.14.021,TIME-D.20.21.013a-D.20.21.013a,TIME-D.20.21.013b-D.20.21.013b,TIME-D.20.21.023a-D.20.21.023a,TIME-D.20.21.023b-D.20.21.023b,TIME-D.30.31.013b-D.30.31.013b,TIME-D.30.41.011c-D.30.41.011c,TIME-D.30.41.032c-D.30.41.032c,TIME-D.30.41.102b-D.30.41.102b,TIME-D.30.52.013b-D.30.52.013b,TIME-D.40.11.023a-D.40.11.023a,TIME-D.50.11.011a-D.50.11.011a
count,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mean,21.25368874488011,19987.143408158146,29284.909104156894,103.82794340949192,732.9233115651241,5337.152918469021,35602.00143345358,4248.458939289456,21.00312108688228,0.4441357276006626,0.7471300540507887,2.019012399664045,2.2559486195094345,5317.572255635422,11.620228729157523,203.62286355538018,1584.7046968743623,1.7265501832833041,51.8198144803814,49.12679803390949,0.022274332819696308,20.017438763825314,23.541167128834648,0.08623587536841534,0.9084880438957064,4.3429382504173875,28.277244126098964,3.372923899332947,0.028467978165674496,0.0005160976809855917,0.0006053414178882053,0.0017428282531238828,0.0025087272291245293,1.5462720510531305,0.009627656905620015,0.23797276541122306,1.8993584093307858,0.0006587782866523012,0.053046587785952566,0.01694052466983086
std,194.9005202547218,10023.566196665086,14835.177893557753,959.3144787055273,4231.321952173806,6568.4083400615145,26100.63661486027,5998.25622452634,289.9744185271068,4.878401664404375,7.3343974717787965,31.641049723927484,23.22674085065928,16019.821026942429,144.41692189824565,762.79901999336,4192.491938067734,61.430000186046065,269.6714840035568,662.6825725114018,0.2144140250100678,10.381383135098698,12.387494132359395,0.8254460157485145,5.701087676032271,5.600087940867488,21.362184086098697,4.790723713539937,0.450086212880418,0.005878311150076285,0.006197816775210849,0.017952359073453116,0.028527612594860082,4.818122436507569,0.08437984851340467,0.8819816100197121,5.204401584060406,0.02370195167337933,0.23320260075384894,0.24572113292041317
log_std,,,,,,,0.6215444999687303,,,,,,,,,,,,,,,,,,,,0.639899665119636,,,,,,,,,,,,,
min,0.0,0.0,0.0,0.0,0.0,0.0,3104.251659759058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.067492182180438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1%,0.0,960.9609604265399,0.0,0.0,0.0,0.0,5075.139557557325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7687481717613069,0.0,0.0,0.0,0.0,2.845951092548197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3%,0.0,5433.2222673946135,8007.928399865797,0.0,0.0,0.0,9906.5268372732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.254667603614778,5.745530994931954,0.0,0.0,0.0,7.3460660688285335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10%,0.0,9233.930050098053,12917.43826495573,0.0,0.0,0.0,13811.436220392181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.659721174727126,9.829884068916625,0.0,0.0,0.0,10.75251718933967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.9%,0.0,10485.716826753998,14765.517518445904,0.0,0.0,0.0,15751.577921452812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.078308833987956,11.581228772480955,0.0,0.0,0.0,12.236939673286717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.0,18045.830916731687,26553.48819019895,0.0,0.0,3422.3402976846755,27605.416506167527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.042708947777193,21.285291818915287,0.0,0.0,2.643869546978276,21.675405228470154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
