dv-loss-dmg,COST-B.10.71.002-B.10.71.002,COST-B.10.71.012-B.10.71.012,COST-B.20.11.102-B.20.11.102,COST-B.20.11.121-B.20.11.121,COST-B.30.11.012-B.30.11.012,COST-C.10.11.001a-C.10.11.001a,COST-C.10.11.011a-C.10.11.011a,COST-C.20.11.001b-C.20.11.001b,COST-D.10.14.021-D.10.14.021,COST-D.20.21.013a-D.20.21.013a,COST-D.20.21.013b-D.20.21.013b,COST-D.20.21.023a-D.20.21.023a,COST-D.20.21.023b-D.20.21.023b,COST-D.30.31.013b-D.30.31.013b,COST-D.30.41.011c-D.30.41.011c,COST-D.30.41.032c-D.30.41.032c,COST-D.30.41.102b-D.30.41.102b,COST-D.30.52.013b-D.30.52.013b,COST-D.40.11.023a-D.40.11.023a,COST-D.50.11.011a-D.50.11.011a,TIME-B.10.71.002-B.10.71.002,TIME-B.10.71.012-B.10.71.012,TIME-B.20.11.102-B.20.11.102,TIME-B.20.11.121-B.20.11.121,TIME-B.30.11.012-B.30.11.012,TIME-C.10.11.001a-C.10.11.001a,TIME-C.10.11.011a-C.10.11.011a,TIME-C.20.11.001b-C.20.11.001b,TIME-D.10.14.021-D.10.14.021,TIME-D.20.21.013a-D.20.21.013a,TIME-D.20.21.013b-D.20.21.013b,TIME-D.20.21.023a-D.20.21.023a,TIME-D.20.21.023b-D.20.21.023b,TIME-D.30.31.013b-D.30.31.013b,TIME-D.30.41.011c-D.30.41.011c,TIME-D.30.41.032c-D.30.41.032c,TIME-D.30.41.102b-D.30.41.102b,TIME-D.30.52.013b-D.30.52.013b,TIME-D.40.11.023a-D.40.11.023a,TIME-D.50.11.011a-D.50.11.011a
11,0.0,15787.354037436118,31476.67472961334,0.0,7944.99080230927,1867.6366804122308,30657.442677605926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1485.5562559422176,10768.092252140104,0.0,70.15812871881175,0.0,0.0,20.491891224489862,21.781670587833254,0.0,4.076414423072485,2.0235364535086497,25.823324260718874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7311801351285143,18.59275621852816,0.0,0.1338611451659261,0.0
12,0.0,10712.271074989423,23296.109083174044,0.0,0.0,2310.950565020739,24569.83242960671,12627.273962600415,0.0,0.0,0.0,0.0,0.0,45184.11840614029,0.0,0.0,13350.747035494755,0.0,0.0,0.0,0.0,13.573037195672184,20.945449780099796,0.0,0.0,0.8478681290255622,23.508836246021602,3.4057717439005866,0.0,0.0,0.0,0.0,0.0,14.769814075845176,0.0,0.0,9.961027290154323,0.0,0.0,0.0
13,0.0,10214.569577041519,15873.712617195115,0.0,0.0,0.0,16996.14199339599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.001537513477805,15.632972346143644,0.0,0.0,0.0,7.11952291994143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,18596.221238301918,38696.37828693591,0.0,0.0,4919.679944272151,35299.0041578869,4458.564505499682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.551977092368197,27.528706801757828,0.0,0.0,3.5311739977042977,35.09954399215623,1.6075187317513369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,14710.414769997542,13530.791552255425,0.0,0.0,0.0,20439.742669781575,7538.002850326646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.707691717477424,8.818855062129932,0.0,0.0,0.0,14.580516731667545,7.7327476646572215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,13145.989372492857,24481.255771499265,0.0,0.0,0.0,14547.580486860425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.435733301166483,15.014734573803082,0.0,0.0,0.0,13.926159830087032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,15299.036742589626,16679.399453182574,0.0,0.0,0.0,11194.994623055632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.081105087527774,16.744226744356503,0.0,0.0,0.0,4.176557640402475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,17933.552543245314,22617.98589377043,0.0,0.0,3028.6294815429724,13661.696897402267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.080352554968883,17.619400285770798,0.0,0.0,2.2944458830723726,10.319495550522404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,29200.432603283898,41426.653384904675,0.0,0.0,5022.180770406522,83383.18006612422,0.0,0.0,0.0,0.0,0.0,0.0,51993.96199477629,0.0,677.0475015522353,11115.383160643405,0.0,538.4960401049517,0.0,0.0,35.73929130138729,37.15851778048584,0.0,0.0,4.703629922736429,62.67612007662751,0.0,0.0,0.0,0.0,0.0,0.0,11.645460284527127,0.0,0.9201562066898789,22.105411519269012,0.0,1.269904282609925,0.0
20,0.0,18198.85784851339,30225.80047711966,0.0,0.0,2414.901131064705,102884.87470147295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.823545186748227,33.20946714329839,0.0,0.0,6.960281242312218,77.84607578248031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,22453.36287684758,41871.07438586232,0.0,0.0,2446.6409397259567,69135.04411703619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.91277164336677,0.0,0.0,28.289404213275862,39.84347072990752,0.0,0.0,1.7883601888832419,43.4552303436343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24140409062566484,0.0
