-,repair_cost-,repair_time-parallel,repair_time-sequential
count,5000.0,5000.0,5000.0
mean,102564.33330262618,48.80589450142162,84.3664281667831
std,64782.07210049594,27.680945442864566,51.86024840270016
log_std,0.5874336592576687,0.5437280848047514,0.5759203182153017
min,6647.194652724528,4.917750749570662,6.591218587480929
0.1%,12920.98039087709,6.731975314168577,10.449251223396399
2.3%,29135.29457709043,14.736554321560623,23.841877492544473
10%,41225.54588186762,21.436794637204347,34.37621886953402
15.9%,47099.70894609905,24.449269825137772,39.62151311738319
50%,84850.02841359521,42.66479647848759,71.26404101135329
84.1%,158325.7160898731,72.89708640963555,128.3931107548908
90%,186223.8162567587,84.04862734724276,148.773025288288
97.7%,277609.86123254546,122.90067300107243,221.95419507995396
99.9%,432673.1834347937,196.29245173570416,385.98371035580317
max,649439.5793905123,235.03584833420686,502.22722298274607
