Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(汐),Qs,Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PB,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix / 106,Zx / 103,Sx / 103,rx,Iy / 106,Zy / 103,Sy / 103,ry,Iz / 106,rz,Sz / 103,J / 103,Cw / 109,C / 103,Wno,Sw1 / 106,Sw2 / 106,Sw3 / 106,Qf / 103,Qw / 103,ro,H,tan(汐),Qs,Iw / 106,zA,zB,zC,wA,wB,wC,SwA / 103,SwB / 103,SwC / 103,SzA / 103,SzB / 103,SzC / 103,rts,ho,PA,PB
S,S24X80,S24X80,F,80,23.5,24,24,每,每,每,7,7,每,每,每,0.5,  1/2 ,  1/4 ,0.87,  7/8 ,每,每,每,1.75,1  3/4 ,每,每,每,每,每,每,4.02,每,每,41.4,每,每,2100,204,175,9.47,42,20.8,12,1.34,每,每,每,4.89,5620,每,40.5,61.6,每,每,32.7,101,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,1.67,23.1,每,每,S610X119,S610X119,119,15200,610,610,每,每,每,178,178,每,每,每,12.7,12.7,6.35,22.1,22.2,每,每,每,44.5,44.5,每,每,每,每,每,每,4.02,每,每,41.4,每,每,874,3340,2870,241,17.5,341,197,34,每,每,每,2040,1510,每,26100,25.6,每,每,536,1660,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,42.4,587,每,每
S,S20X96,S20X96,F,96,28.2,20.3,20  1/4 ,每,每,每,7.2,7  1/4 ,每,每,每,0.8, 13/16,  7/16,0.92, 15/16,每,每,每,1.75,1  3/4 ,每,每,每,每,每,每,3.91,每,每,21.1,每,每,1670,198,165,7.71,49.9,24.9,13.9,1.33,每,每,每,8.4,4690,每,34.9,57.8,每,每,28.5,98.3,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,1.71,19.4,每,每,S510X143,S510X143,143,18200,516,514,每,每,每,183,184,每,每,每,20.3,20.6,11.1,23.4,23.8,每,每,每,44.5,44.5,每,每,每,每,每,每,3.91,每,每,21.1,每,每,695,3240,2700,196,20.8,408,228,33.8,每,每,每,3500,1260,每,22500,24.1,每,每,467,1610,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,43.4,493,每,每
S,S20X86,S20X86,F,86,25.3,20.3,20  1/4 ,每,每,每,7.06,7,每,每,每,0.66, 11/16,  3/8 ,0.92, 15/16,每,每,每,1.75,1  3/4 ,每,每,每,每,每,每,3.84,每,每,25.6,每,每,1570,183,155,7.89,46.6,23.1,13.2,1.36,每,每,每,6.65,4370,每,34.2,55.5,每,每,28.5,91.1,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,1.71,19.4,每,每,S510X128,S510X128,128,16300,516,514,每,每,每,179,178,每,每,每,16.8,17.5,9.52,23.4,23.8,每,每,每,44.5,44.5,每,每,每,每,每,每,3.84,每,每,25.6,每,每,653,3000,2540,200,19.4,379,216,34.5,每,每,每,2770,1170,每,22100,23.1,每,每,467,1490,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,43.4,493,每,每
S,S20X75,S20X75,F,75,22,20,20,每,每,每,6.39,6  3/8 ,每,每,每,0.635,  5/8 ,  5/16,0.795, 13/16,每,每,每,1.63,1  5/8 ,每,每,每,每,每,每,4.02,每,每,26.6,每,每,1280,152,128,7.62,29.5,16.7,9.25,1.16,每,每,每,4.59,2720,每,30.7,38.9,每,每,21.9,75.6,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,1.49,19.2,每,每,S510X112,S510X112,112,14200,508,508,每,每,每,162,162,每,每,每,16.1,15.9,7.94,20.2,20.6,每,每,每,41.4,41.3,每,每,每,每,每,每,4.02,每,每,26.6,每,每,533,2490,2100,194,12.3,274,152,29.5,每,每,每,1910,730,每,19800,16.2,每,每,359,1240,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,37.8,488,每,每
S,S20X66,S20X66,F,66,19.4,20,20,每,每,每,6.26,6  1/4 ,每,每,每,0.505,  1/2 ,  1/4 ,0.795, 13/16,每,每,每,1.63,1  5/8 ,每,每,每,每,每,每,3.93,每,每,33.5,每,每,1190,139,119,7.83,27.5,15.4,8.78,1.19,每,每,每,3.58,2530,每,30,37.3,每,每,21.9,69.1,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,1.49,19.2,每,每,S510X98.2,S510X98.2,98.2,12500,508,508,每,每,每,159,159,每,每,每,12.8,12.7,6.35,20.2,20.6,每,每,每,41.4,41.3,每,每,每,每,每,每,3.93,每,每,33.5,每,每,495,2280,1950,199,11.4,252,144,30.2,每,每,每,1490,679,每,19400,15.5,每,每,359,1130,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,37.8,488,每,每
S,S18X70,S18X70,F,70,20.5,18,18,每,每,每,6.25,6  1/4 ,每,每,每,0.711, 11/16,  3/8 ,0.691, 11/16,每,每,每,1.5,1  1/2 ,每,每,每,每,每,每,4.52,每,每,21.5,每,每,923,124,103,6.7,24,14.3,7.69,1.08,每,每,每,4.1,1800,每,27,29.2,每,每,16.6,61.9,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,1.42,17.3,每,每,S460X104,S460X104,104,13200,457,457,每,每,每,159,159,每,每,每,18.1,17.5,9.52,17.6,17.5,每,每,每,38.1,38.1,每,每,每,每,每,每,4.52,每,每,21.5,每,每,384,2030,1690,170,9.99,234,126,27.4,每,每,每,1710,483,每,17400,12.2,每,每,272,1010,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,36.1,439,每,每
S,S18X54.7,S18X54.7,F,54.7,16,18,18,每,每,每,6,6,每,每,每,0.461,  7/16,  1/4 ,0.691, 11/16,每,每,每,1.5,1  1/2 ,每,每,每,每,每,每,4.34,每,每,33.2,每,每,801,104,89,7.07,20.7,12.1,6.91,1.14,每,每,每,2.33,1550,每,26,26.9,每,每,16.6,51.8,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,1.42,17.3,每,每,S460X81.4,S460X81.4,81.4,10300,457,457,每,每,每,152,152,每,每,每,11.7,11.1,6.35,17.6,17.5,每,每,每,38.1,38.1,每,每,每,每,每,每,4.34,每,每,33.2,每,每,333,1700,1460,180,8.62,198,113,29,每,每,每,970,416,每,16800,11.2,每,每,272,849,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,36.1,439,每,每
S,S15X50,S15X50,F,50,14.7,15,15,每,每,每,5.64,5  5/8 ,每,每,每,0.55,  9/16,  5/16,0.622,  5/8 ,每,每,每,1.38,1  3/8 ,每,每,每,每,每,每,4.53,每,每,22.7,每,每,485,77,64.7,5.75,15.6,10,5.53,1.03,每,每,每,2.12,805,每,20.3,17.8,每,每,11.4,38.2,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,1.32,14.4,每,每,S380X74,S380X74,74,9480,381,381,每,每,每,143,143,每,每,每,14,14.3,7.94,15.8,15.9,每,每,每,35.1,34.9,每,每,每,每,每,每,4.53,每,每,22.7,每,每,202,1260,1060,146,6.49,164,90.6,26.2,每,每,每,882,216,每,13100,7.41,每,每,187,626,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,33.5,366,每,每
S,S15X42.9,S15X42.9,F,42.9,12.6,15,15,每,每,每,5.5,5  1/2 ,每,每,每,0.411,  7/16,  1/4 ,0.622,  5/8 ,每,每,每,1.38,1  3/8 ,每,每,每,每,每,每,4.42,每,每,30.4,每,每,446,69.2,59.4,5.95,14.3,9.08,5.19,1.06,每,每,每,1.54,737,每,19.8,16.9,每,每,11.4,34.3,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,1.31,14.4,每,每,S380X64,S380X64,64,8130,381,381,每,每,每,140,140,每,每,每,10.4,11.1,6.35,15.8,15.9,每,每,每,35.1,34.9,每,每,每,每,每,每,4.42,每,每,30.4,每,每,186,1130,973,151,5.95,149,85,26.9,每,每,每,641,198,每,12800,7.03,每,每,187,562,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,33.3,366,每,每
S,S12X50,S12X50,F,50,14.7,12,12,每,每,每,5.48,5  1/2 ,每,每,每,0.687, 11/16,  3/8 ,0.659, 11/16,每,每,每,1.44,1  7/16,每,每,每,每,每,每,4.16,每,每,13.7,每,每,303,60.9,50.6,4.55,15.6,10.3,5.69,1.03,每,每,每,2.77,501,每,15.5,14,每,每,8.95,30.3,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,1.32,11.3,每,每,S310X74,S310X74,74,9480,305,305,每,每,每,139,140,每,每,每,17.4,17.5,9.52,16.7,17.5,每,每,每,36.6,36.5,每,每,每,每,每,每,4.16,每,每,13.7,每,每,126,998,829,116,6.49,169,93.2,26.2,每,每,每,1150,135,每,10000,5.83,每,每,147,497,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,33.5,287,每,每
S,S12X40.8,S12X40.8,F,40.8,11.9,12,12,每,每,每,5.25,5  1/4 ,每,每,每,0.462,  7/16,  1/4 ,0.659, 11/16,每,每,每,1.44,1  7/16,每,每,每,每,每,每,3.98,每,每,20.6,每,每,270,52.7,45.1,4.76,13.5,8.86,5.13,1.06,每,每,每,1.69,433,每,14.9,12.9,每,每,8.95,26.2,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,1.3,11.3,每,每,S310X60.7,S310X60.7,60.7,7680,305,305,每,每,每,133,133,每,每,每,11.7,11.1,6.35,16.7,17.5,每,每,每,36.6,36.5,每,每,每,每,每,每,3.98,每,每,20.6,每,每,112,864,739,121,5.62,145,84.1,26.9,每,每,每,703,116,每,9610,5.37,每,每,147,429,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,33,287,每,每
S,S12X35,S12X35,F,35,10.2,12,12,每,每,每,5.08,5  1/8 ,每,每,每,0.428,  7/16,  1/4 ,0.544,  9/16,每,每,每,1.19,1  3/16,每,每,每,每,每,每,4.67,每,每,23.1,每,每,228,44.6,38.1,4.72,9.84,6.8,3.88,0.98,每,每,每,1.05,323,每,14.5,10,每,每,7.24,22.2,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,1.22,11.5,每,每,S310X52,S310X52,52,6580,305,305,每,每,每,129,130,每,每,每,10.9,11.1,6.35,13.8,14.3,每,每,每,30.2,30.2,每,每,每,每,每,每,4.67,每,每,23.1,每,每,94.9,731,624,120,4.1,111,63.6,24.9,每,每,每,437,86.7,每,9350,4.16,每,每,119,364,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,31,292,每,每
S,S12X31.8,S12X31.8,F,31.8,9.31,12,12,每,每,每,5,5,每,每,每,0.35,  3/8 ,  3/16,0.544,  9/16,每,每,每,1.19,1  3/16,每,每,每,每,每,每,4.6,每,每,28.3,每,每,217,41.8,36.2,4.83,9.33,6.44,3.73,1,每,每,每,0.878,306,每,14.3,9.74,每,每,7.24,20.8,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,1.21,11.5,每,每,S310X47.3,S310X47.3,47.3,6010,305,305,每,每,每,127,127,每,每,每,8.89,9.52,4.76,13.8,14.3,每,每,每,30.2,30.2,每,每,每,每,每,每,4.6,每,每,28.3,每,每,90.3,685,593,123,3.88,106,61.1,25.4,每,每,每,365,82.2,每,9230,4.05,每,每,119,341,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,30.7,292,每,每
S,S10X35,S10X35,F,35,10.3,10,10,每,每,每,4.94,5,每,每,每,0.594,  5/8 ,  5/16,0.491,  1/2 ,每,每,每,1.13,1  1/8 ,每,每,每,每,每,每,5.03,每,每,13.4,每,每,147,35.4,29.4,3.78,8.3,6.19,3.36,0.899,每,每,每,1.29,188,每,11.8,7.13,每,每,5.08,17.6,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,1.16,9.51,每,每,S250X52,S250X52,52,6650,254,254,每,每,每,125,127,每,每,每,15.1,15.9,7.94,12.5,12.7,每,每,每,28.7,28.6,每,每,每,每,每,每,5.03,每,每,13.4,每,每,61.2,580,482,96,3.45,101,55.1,22.8,每,每,每,537,50.5,每,7610,2.97,每,每,83.2,288,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,29.5,242,每,每
S,S10X25.4,S10X25.4,F,25.4,7.45,10,10,每,每,每,4.66,4  5/8 ,每,每,每,0.311,  5/16,  3/16,0.491,  1/2 ,每,每,每,1.13,1  1/8 ,每,每,每,每,每,每,4.75,每,每,25.6,每,每,123,28.3,24.6,4.07,6.73,4.99,2.89,0.95,每,每,每,0.603,152,每,11.1,6.34,每,每,5.08,14,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,1.14,9.51,每,每,S250X37.8,S250X37.8,37.8,4810,254,254,每,每,每,118,117,每,每,每,7.9,7.94,4.76,12.5,12.7,每,每,每,28.7,28.6,每,每,每,每,每,每,4.75,每,每,25.6,每,每,51.2,464,403,103,2.8,81.8,47.4,24.1,每,每,每,251,40.8,每,7160,2.64,每,每,83.2,229,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,29,242,每,每
S,S8X23,S8X23,F,23,6.76,8,8,每,每,每,4.17,4  1/8 ,每,每,每,0.441,  7/16,  1/4 ,0.425,  7/16,每,每,每,1,1,每,每,每,每,每,每,4.91,每,每,14.1,每,每,64.7,19.2,16.2,3.09,4.27,3.67,2.05,0.795,每,每,每,0.55,61.2,每,7.9,3.5,每,每,3,9.53,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,0.999,7.58,每,每,S200X34,S200X34,34,4360,203,203,每,每,每,106,105,每,每,每,11.2,11.1,6.35,10.8,11.1,每,每,每,25.4,25.4,每,每,每,每,每,每,4.91,每,每,14.1,每,每,26.9,315,265,78.5,1.78,60.1,33.6,20.2,每,每,每,229,16.4,每,5100,1.46,每,每,49.2,156,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,25.4,193,每,每
S,S8X18.4,S8X18.4,F,18.4,5.4,8,8,每,每,每,4,4,每,每,每,0.271,  1/4 ,  1/8 ,0.425,  7/16,每,每,每,1,1,每,每,每,每,每,每,4.71,每,每,22.9,每,每,57.5,16.5,14.4,3.26,3.69,3.18,1.84,0.827,每,每,每,0.335,52.9,每,7.58,3.22,每,每,3,8.17,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,0.985,7.58,每,每,S200X27.4,S200X27.4,27.4,3480,203,203,每,每,每,102,102,每,每,每,6.88,6.35,3.18,10.8,11.1,每,每,每,25.4,25.4,每,每,每,每,每,每,4.71,每,每,22.9,每,每,23.9,270,236,82.8,1.54,52.1,30.2,21,每,每,每,139,14.2,每,4890,1.34,每,每,49.2,134,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,25,193,每,每
S,S6X17.25,S6X17.25,F,17.25,5.05,6,6,每,每,每,3.57,3  5/8 ,每,每,每,0.465,  7/16,  1/4 ,0.359,  3/8 ,每,每,每,0.813, 13/16,每,每,每,每,每,每,4.97,每,每,9.67,每,每,26.2,10.5,8.74,2.28,2.29,2.35,1.28,0.673,每,每,每,0.371,18.2,每,5.03,1.61,每,每,1.57,5.23,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,0.859,5.64,每,每,S150X25.7,S150X25.7,25.7,3260,152,152,每,每,每,90.7,92.1,每,每,每,11.8,11.1,6.35,9.12,9.52,每,每,每,20.7,20.6,每,每,每,每,每,每,4.97,每,每,9.67,每,每,10.9,172,143,57.9,0.953,38.5,21,17.1,每,每,每,154,4.89,每,3250,0.67,每,每,25.7,85.7,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,21.8,143,每,每
S,S6X12.5,S6X12.5,F,12.5,3.66,6,6,每,每,每,3.33,3  3/8 ,每,每,每,0.232,  1/4 ,  1/8 ,0.359,  3/8 ,每,每,每,0.813, 13/16,每,每,每,每,每,每,4.64,每,每,19.4,每,每,22,8.45,7.34,2.45,1.8,1.86,1.08,0.702,每,每,每,0.167,14.3,每,4.7,1.41,每,每,1.57,4.18,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,0.831,5.64,每,每,S150X18.6,S150X18.6,18.6,2360,152,152,每,每,每,84.6,85.7,每,每,每,5.89,6.35,3.18,9.12,9.52,每,每,每,20.7,20.6,每,每,每,每,每,每,4.64,每,每,19.4,每,每,9.16,138,120,62.2,0.749,30.5,17.7,17.8,每,每,每,69.5,3.84,每,3030,0.587,每,每,25.7,68.5,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,21.1,143,每,每
S,S5X10,S5X10,F,10,2.93,5,5,每,每,每,3,3,每,每,每,0.214,  3/16,  1/8 ,0.326,  5/16,每,每,每,0.75,  3/4 ,每,每,每,每,每,每,4.61,每,每,16.8,每,每,12.3,5.66,4.9,2.05,1.19,1.37,0.795,0.638,每,每,每,0.114,6.52,每,3.51,0.859,每,每,1.06,2.79,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,0.754,4.67,每,每,S130X15,S130X15,15,1890,127,127,每,每,每,76.2,76.2,每,每,每,5.44,4.76,3.18,8.28,7.94,每,每,每,19.1,19.1,每,每,每,每,每,每,4.61,每,每,16.8,每,每,5.12,92.8,80.3,52.1,0.495,22.5,13,16.2,每,每,每,47.5,1.75,每,2260,0.358,每,每,17.4,45.7,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,19.2,119,每,每
S,S4X9.5,S4X9.5,F,9.5,2.79,4,4,每,每,每,2.8,2  3/4 ,每,每,每,0.326,  5/16,  3/16,0.293,  5/16,每,每,每,0.75,  3/4 ,每,每,每,每,每,每,4.77,每,每,8.33,每,每,6.76,4.04,3.38,1.56,0.887,1.13,0.635,0.564,每,每,每,0.12,3.05,每,2.59,0.531,每,每,0.671,1.99,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,0.698,3.71,每,每,S100X14.1,S100X14.1,14.1,1800,102,102,每,每,每,71.1,69.8,每,每,每,8.28,7.94,4.76,7.44,7.94,每,每,每,19.1,19.1,每,每,每,每,每,每,4.77,每,每,8.33,每,每,2.81,66.2,55.4,39.6,0.369,18.5,10.4,14.3,每,每,每,49.9,0.819,每,1670,0.221,每,每,11,32.6,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,17.7,94.2,每,每
S,S4X7.7,S4X7.7,F,7.7,2.26,4,4,每,每,每,2.66,2  5/8 ,每,每,每,0.193,  3/16,  1/8 ,0.293,  5/16,每,每,每,0.75,  3/4 ,每,每,每,每,每,每,4.54,每,每,14.1,每,每,6.05,3.5,3.03,1.64,0.748,0.97,0.562,0.576,每,每,每,0.0732,2.57,每,2.47,0.481,每,每,0.671,1.73,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,0.676,3.71,每,每,S100X11.5,S100X11.5,11.5,1460,102,102,每,每,每,67.6,66.7,每,每,每,4.9,4.76,3.18,7.44,7.94,每,每,每,19.1,19.1,每,每,每,每,每,每,4.54,每,每,14.1,每,每,2.52,57.4,49.7,41.7,0.311,15.9,9.21,14.6,每,每,每,30.5,0.69,每,1590,0.2,每,每,11,28.3,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,17.2,94.2,每,每
S,S3X7.5,S3X7.5,F,7.5,2.2,3,3,每,每,每,2.51,2  1/2 ,每,每,每,0.349,  3/8 ,  3/16,0.26,  1/4 ,每,每,每,0.625,  5/8 ,每,每,每,每,每,每,4.83,每,每,5.38,每,每,2.91,2.35,1.94,1.15,0.578,0.821,0.461,0.513,每,每,每,0.0896,1.08,每,1.72,0.28,每,每,0.385,1.16,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,0.638,2.74,每,每,S75X11.2,S75X11.2,11.2,1420,76.2,76.2,每,每,每,63.8,63.5,每,每,每,8.86,9.52,4.76,6.6,6.35,每,每,每,15.9,15.9,每,每,每,每,每,每,4.83,每,每,5.38,每,每,1.21,38.5,31.8,29.2,0.241,13.5,7.55,13,每,每,每,37.3,0.29,每,1110,0.117,每,每,6.31,19,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,16.2,69.6,每,每
S,S3X5.7,S3X5.7,F,5.7,1.66,3,3,每,每,每,2.33,2  3/8 ,每,每,每,0.17,  3/16,  1/8 ,0.26,  1/4 ,每,每,每,0.625,  5/8 ,每,每,每,每,每,每,4.48,每,每,11,每,每,2.5,1.94,1.67,1.23,0.447,0.656,0.383,0.518,每,每,每,0.0433,0.838,每,1.6,0.242,每,每,0.385,0.961,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,0.605,2.74,每,每,S75X8.5,S75X8.5,8.5,1070,76.2,76.2,每,每,每,59.2,60.3,每,每,每,4.32,4.76,3.18,6.6,6.35,每,每,每,15.9,15.9,每,每,每,每,每,每,4.48,每,每,11,每,每,1.04,31.8,27.4,31.2,0.186,10.7,6.28,13.2,每,每,每,18,0.225,每,1030,0.101,每,每,6.31,15.7,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,15.4,69.6,每,每
HP,HP18X204,HP18X204,F,204,60.2,18.3,18  1/4 ,每,每,每,18.1,18  1/8 ,每,每,每,1.13,1  1/8 ,  9/16,1.13,1  1/8 ,每,每,每,2.31,2  5/16,1 3/4,每,每,每,每,每,8.01,每,每,12.1,每,每,3480,433,380,7.6,1120,191,124,4.31,每,每,每,29.5,82500,每,77.7,397,每,每,82.3,212,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,5.03,17.2,每,每,HP460X304,HP460X304,304,38800,465,464,每,每,每,459.74,460,每,每,每,28.7,28.6,14.3,28.7,28.6,每,每,每,58.7,58.7,44.3,每,每,每,每,每,8.01,每,每,12.1,每,每,1450,7100,6230,193,466,3130,2030,109,每,每,每,12300,22200,每,50100,165,每,每,1350,3470,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,128,437,每,每
HP,HP18X181,HP18X181,F,181,53.2,18,18,每,每,每,18,18,每,每,每,1,1,  1/2 ,1,1,每,每,每,2.18,2  3/16,1 11/16,每,每,每,每,每,9,每,每,13.6,每,每,3020,379,336,7.53,974,167,108,4.28,每,每,每,20.7,70400,每,76.5,344,每,每,72.3,185,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,4.96,17,每,每,HP460X269,HP460X269,269,34300,457,457,每,每,每,457.2,457,每,每,每,25.4,25.4,12.7,25.4,25.4,每,每,每,55.4,55.6,42.7,每,每,每,每,每,9,每,每,13.6,每,每,1260,6210,5510,191,405,2740,1770,109,每,每,每,8620,18900,每,49400,143,每,每,1180,3030,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,126,432,每,每
HP,HP18X157,HP18X157,F,157,46.2,17.7,17  3/4 ,每,每,每,17.9,17  7/8 ,每,每,每,0.87,  7/8 ,  7/16,0.87,  7/8 ,每,每,每,2.05,2  1/16,1 5/8,每,每,每,每,每,10.3,每,每,15.6,每,每,2570,327,290,7.46,833,143,93.1,4.25,每,每,每,13.9,59000,每,75.3,293,每,每,62.3,159,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,4.92,16.8,每,每,HP460X234,HP460X234,234,29800,451,451,每,每,每,454.66,454,每,每,每,22.1,22.2,11.1,22.1,22.2,每,每,每,52.1,52.4,41,每,每,每,每,每,10.3,每,每,15.6,每,每,1070,5360,4750,189,347,2340,1530,108,每,每,每,5790,15800,每,48600,122,每,每,1020,2610,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,125,427,每,每
HP,HP18X135,HP18X135,F,135,39.9,17.5,17  1/2 ,每,每,每,17.8,17  3/4 ,每,每,每,0.75,  3/4 ,  3/8 ,0.75,  3/4 ,每,每,每,1.93,1 15/16,1  9/16,每,每,每,每,每,11.9,每,每,18.2,每,每,2200,281,251,7.43,706,122,79.3,4.21,每,每,每,9.12,49500,每,74.5,249,每,每,53.5,136,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,4.85,16.8,每,每,HP460X202,HP460X202,202,25700,445,444,每,每,每,452.12,451,每,每,每,19.1,19,9.52,19.1,19,每,每,每,49,49.2,39.5,每,每,每,每,每,11.9,每,每,18.2,每,每,916,4600,4110,189,294,2000,1300,107,每,每,每,3800,13300,每,48100,104,每,每,877,2230,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,123,427,每,每
HP,HP16X183,HP16X183,F,183,54.1,16.5,16  1/2 ,每,每,每,16.3,16  1/2 ,每,每,每,1.13,1  1/8 ,  9/16,1.13,1  1/8 ,每,每,每,2.31,2  5/16,1 3/4,每,每,每,每,每,7.21,每,每,10.5,每,每,2510,349,304,6.81,818,156,100,3.89,每,每,每,26.9,48300,每,62.2,285,每,每,65.4,169,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,4.55,15.4,每,每,HP410X272,HP410X272,272,34900,419,419,每,每,每,414,419,每,每,每,28.7,28.6,14.3,28.7,28.6,每,每,每,58.7,58.7,44.3,每,每,每,每,每,7.21,每,每,10.5,每,每,1040,5720,4980,173,340,2560,1640,98.8,每,每,每,11200,13000,每,40100,119,每,每,1070,2770,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,116,391,每,每
HP,HP16X162,HP16X162,F,162,47.7,16.3,16  1/4 ,每,每,每,16.1,16  1/8 ,每,每,每,1,1,  1/2 ,1,1,每,每,每,2.18,2  3/16,1 11/16,每,每,每,每,每,8.05,每,每,11.9,每,每,2190,306,269,6.78,697,134,86.6,3.82,每,每,每,18.8,40800,每,61.6,248,每,每,57.8,149,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,4.45,15.3,每,每,HP410X242,HP410X242,242,30800,414,413,每,每,每,408.94,410,每,每,每,25.4,25.4,12.7,25.4,25.4,每,每,每,55.4,55.6,42.7,每,每,每,每,每,8.05,每,每,11.9,每,每,912,5010,4410,172,290,2200,1420,97,每,每,每,7830,11000,每,39700,103,每,每,947,2440,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,113,389,每,每
HP,HP16X141,HP16X141,F,141,41.7,16,16,每,每,每,16,16,每,每,每,0.875,  7/8 ,  7/16,0.875,  7/8 ,每,每,每,2.06,2  1/16,1 5/8,每,每,每,每,每,9.14,每,每,13.6,每,每,1870,264,234,6.7,599,116,74.9,3.79,每,每,每,12.9,34300,每,60.5,212,每,每,50,128,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,4.4,15.1,每,每,HP410X211,HP410X211,211,26900,406,406,每,每,每,406.4,406,每,每,每,22.2,22.2,11.1,22.2,22.2,每,每,每,52.3,52.4,41.1,每,每,每,每,每,9.14,每,每,13.6,每,每,778,4330,3830,170,249,1900,1230,96.3,每,每,每,5370,9210,每,39000,88.2,每,每,819,2100,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,112,384,每,每
