-,repair_cost-,repair_time-parallel,repair_time-sequential
0,12531.118402833948,15.482061298401971,23.94739396996725
1,154729.89312062072,56.647127266254586,128.77030160154672
2,42087.24276294426,38.71379877745376,53.68855067986931
3,106121.162541301,49.90750145470017,101.22987786404694
4,50384.49962817533,37.74349819325104,48.89362596613994
5,91385.64427929457,27.164515156104816,61.41948380092241
6,35202.43528565111,19.71911070469048,32.34470205871926
7,207772.87673576534,129.53029138746638,177.40559440761024
8,32339.38771706338,20.85686564533299,25.129705848089067
9,96044.77173870121,49.76978553217208,72.91393171518843
10,190477.71504610396,70.35923496441539,134.6956922715162
11,75081.89833653637,59.10884151806418,70.75779411984169
12,168321.67972357073,66.3325108763723,119.49378783729632
13,5624.086730043733,2.5927566836810376,3.9253020830552874
14,86895.0568544502,76.07018115340007,85.77227269623873
15,89896.78452829427,34.40340607846621,80.29779101159063
16,80876.91395178252,33.77791097816572,73.4131995729652
17,33205.127558426844,24.720896147387847,35.25536773957409
18,82917.8157071596,58.47563348930079,77.41053373699987
19,152414.88835363678,91.77094882032819,148.88202153044756
20,356397.4572595039,125.2665796659244,230.15441063557955
21,17875.293156004333,11.086844325441161,15.559095897336881
22,15236.230062584933,13.534371582912975,14.421937778197659
23,128434.87394355006,66.48277977002793,103.69321926525801
24,59299.0569605131,40.27899201268332,66.70526813403326
25,27960.20051656006,9.682358523512498,20.847689339119817
26,36971.837431453714,20.420316104349425,36.65424386311147
27,29281.82029353386,15.988961174813918,27.49140052084471
28,15258.227879949762,8.787070549939115,12.054573312039253
29,297245.7909940627,116.79005042004796,237.40209461147998
30,63985.524976179084,42.74129194909699,72.28540914984453
31,56552.208173404804,19.78551484212587,49.84289125896181
32,102582.90789885196,40.85040679202765,82.63811775926035
33,28669.985326977883,13.042334067493414,22.08175122650948
34,78750.97899783554,24.540757745577213,53.95616777062664
35,210960.0698374721,171.88636087280446,249.10844344814453
36,75082.2114005924,35.07720405505086,51.2839288401892
37,126780.84191852938,62.93533164246439,82.88647944054411
38,49024.11387644829,28.025894428250883,40.63336194325367
39,15262.345350847792,4.505919008296814,8.941005749536062
40,9431.786896821573,13.095629846563664,13.907027575609291
41,107342.29942563211,58.58855304198622,102.56659247957927
42,49786.04363568985,22.42452865444495,55.29779342653806
43,36451.6164077615,21.529800418285472,25.213939437959812
44,36046.62017168845,29.960409610467114,35.27419619763267
45,32448.971435741314,19.721249063753326,27.414347477534132
46,30595.504439302633,23.783250976769484,35.438894045462845
47,101164.0033431106,45.816636701715495,74.42531539204316
48,5082.4403194999595,6.116562537496813,6.116562537496813
49,264312.26933410985,103.48096806823077,194.6717506772504
50,58338.451705339496,35.93595420523745,48.33365720066505
51,28793.067828739124,9.567861384258041,20.5416754043254
52,40123.515828013624,20.882531092241994,37.32335150795908
53,3028.2264859203924,5.483088067223439,5.483088067223439
54,61676.85845595072,17.603041652104476,40.04426405839245
55,34145.72616132777,19.705699077446454,23.87080679321877
56,179262.17643928638,56.424769762334435,142.74350340257706
57,77150.95698096376,31.831800052047324,65.49873076221922
58,31814.580301268055,10.526115319551035,20.751289909969824
59,52568.65905978562,22.1178663410102,37.69066469671499
60,32619.186393418604,25.887685574725488,32.75046959455903
