dv-loss-dmg,COST-B.10.71.002-B.10.71.002,COST-B.10.71.012-B.10.71.012,COST-B.20.11.102-B.20.11.102,COST-B.20.11.121-B.20.11.121,COST-B.30.11.012-B.30.11.012,COST-C.10.11.001a-C.10.11.001a,COST-C.10.11.011a-C.10.11.011a,COST-C.20.11.001b-C.20.11.001b,COST-D.10.14.021-D.10.14.021,COST-D.20.21.013a-D.20.21.013a,COST-D.20.21.013b-D.20.21.013b,COST-D.20.21.023a-D.20.21.023a,COST-D.20.21.023b-D.20.21.023b,COST-D.30.31.013b-D.30.31.013b,COST-D.30.41.011c-D.30.41.011c,COST-D.30.41.032c-D.30.41.032c,COST-D.30.41.102b-D.30.41.102b,COST-D.30.52.013b-D.30.52.013b,COST-D.40.11.023a-D.40.11.023a,COST-D.50.11.011a-D.50.11.011a,TIME-B.10.71.002-B.10.71.002,TIME-B.10.71.012-B.10.71.012,TIME-B.20.11.102-B.20.11.102,TIME-B.20.11.121-B.20.11.121,TIME-B.30.11.012-B.30.11.012,TIME-C.10.11.001a-C.10.11.001a,TIME-C.10.11.011a-C.10.11.011a,TIME-C.20.11.001b-C.20.11.001b,TIME-D.10.14.021-D.10.14.021,TIME-D.20.21.013a-D.20.21.013a,TIME-D.20.21.013b-D.20.21.013b,TIME-D.20.21.023a-D.20.21.023a,TIME-D.20.21.023b-D.20.21.023b,TIME-D.30.31.013b-D.30.31.013b,TIME-D.30.41.011c-D.30.41.011c,TIME-D.30.41.032c-D.30.41.032c,TIME-D.30.41.102b-D.30.41.102b,TIME-D.30.52.013b-D.30.52.013b,TIME-D.40.11.023a-D.40.11.023a,TIME-D.50.11.011a-D.50.11.011a
0,2933.05520908874,85237.33361883528,106690.47992140253,0.0,0.0,16418.391209577792,115064.42328128571,21571.85857318523,1487.2361265420275,0.0,0.0,0.0,0.0,57624.76376122128,0.0,784.6365875434558,12664.96265743358,0.0,367.4168014963343,0.0,3.6669372933135578,69.41252196919808,103.44035244516894,0.0,0.0,18.254487073496794,115.93293341043832,10.35648452525992,2.0013342891670396,0.0,0.0,0.0,0.0,27.950846719421374,0.0,0.48694031572934554,7.187464461090749,0.0,0.5913034484498643,0.0
1,924.3898239157371,58280.8671627816,76853.96637016546,0.0,10553.872380869563,12387.132544443373,109106.10311263253,21434.09468519007,0.0,0.0,74.0851950381628,0.0,0.0,66211.0311162963,0.0,588.3751754707865,0.0,0.0,662.4656565913954,0.0,1.699812495285779,36.52511301550262,50.81749136794568,0.0,14.869338277969563,9.221419986421107,98.01481503459708,12.567546020514273,0.0,0.0,0.006527631276147719,0.0,0.0,15.239253111723377,0.0,1.0799507348121944,0.0,0.0,0.5994624942683289,0.0
2,0.0,27167.027895769043,29222.70520394627,0.0,0.0,0.0,39299.72850202402,0.0,1933.758332432654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.06139623723538,24.87697649349719,0.0,0.0,0.0,35.74657457732783,0.0,1.7037615472241556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,27219.80450554968,33965.671783084385,0.0,4640.191510865573,6302.267143778514,24696.8114453403,9423.593865837069,0.0,0.0,0.0,16.21187657909558,0.0,0.0,0.0,0.0,0.0,0.0,615.1917606382189,0.0,0.0,34.09283171993928,22.126372420437686,0.0,11.097226353538268,1.0073091844711435,14.5524530881294,12.719985320631524,0.0,0.0,0.0,0.0072435018536964315,0.0,0.0,0.0,0.0,0.0,0.0,0.4436687177686599,0.0
4,1221.120167906952,72909.49940763171,93298.04560961796,0.0,0.0,26360.0267839346,153373.33969848,17934.138311321447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0914060787165885,64.5509871081193,70.54093139863349,0.0,0.0,18.69587535046462,131.24287912142543,4.371729946513952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,19599.34154549645,33969.381137834185,0.0,0.0,6813.546084591382,53367.42073924114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.56054663273508,0.0,0.0,17.45625491469283,24.004766775081634,0.0,0.0,5.857815289651981,37.21148981911191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2240529899512331,0.0
6,0.0,23227.97492099191,44639.006573988256,0.0,0.0,10591.76524138542,49197.550793134025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.384535267186084,30.04059073687874,0.0,0.0,5.895814551707674,30.294442874279977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,33301.9632317493,43423.76469460127,0.0,0.0,12455.60934757684,66701.24779898243,4848.2997063703615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.11141691850105,0.0,0.0,0.0,0.0,0.0,23.940762250020697,49.52633670119823,0.0,0.0,9.672088122591784,38.04655402176062,5.365288324806596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7708546333755052,0.0,0.0,0.0,0.0
8,0.0,27300.43866571746,47030.508687948684,0.0,0.0,6317.61005153613,30218.491853566225,5450.189925359432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.30064825598934,36.49916371870638,0.0,0.0,4.350950464587255,23.932633029464977,11.068220174848443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,863.5798178980973,49578.47645654421,68858.70881808508,5823.200347543758,0.0,33638.202845951004,171365.9332646118,6737.863086550284,0.0,0.0,0.0,0.0,0.0,52128.05745949625,0.0,0.0,11871.454390913876,0.0,0.0,0.0,0.9063209164467738,39.00681685082936,55.51189381772418,6.867667925400902,0.0,20.052934541084696,161.0431692737875,1.1446155891375622,0.0,0.0,0.0,0.0,0.0,10.91630691455903,0.0,0.0,16.422143632156352,0.0,0.0,0.0
10,5732.649057448847,33731.04657413436,63231.287103241295,40469.012505723134,0.0,95536.82583523575,196798.62164064427,5141.872668079328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,760.8018505445885,0.0,0.0,217.1682404858746,0.0,5.899356228992192,52.7255923056957,39.75358436010491,29.442511317514317,0.0,28.027121251531952,89.06226438592043,8.793496838236832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6885141881172927,0.0,0.0,0.1738524425708551,0.0
11,0.0,41824.97420675611,54970.97285437409,0.0,0.0,13645.044018493403,103819.13952864766,8745.374815875663,0.0,0.0,0.0,0.0,0.0,42934.88485897289,0.0,783.5537968221076,12373.73701624386,0.0,1016.6799175415647,0.0,0.0,46.00243087621896,47.444423592345515,0.0,0.0,13.613189360842139,79.58728489351385,7.382328442485963,0.0,0.0,0.0,0.0,0.0,14.005342672021815,0.0,0.8483209028707535,20.49902043043749,0.0,0.18906669129877798,0.0
12,0.0,30099.44536665276,51095.88957594528,0.0,0.0,9807.432821728033,36009.06638487124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.498180930415806,35.60188982382002,0.0,0.0,8.832517304848908,47.32042075432543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
