,repair_cost-,repair_time-parallel,repair_time-sequential,collapse,irreparable
count,5000.0,5000.0,5000.0,5000.0,5000.0
mean,915216.5554744274,295.26542253437214,751.9253387334716,0.0,0.0
std,134917.87091343745,62.28322033957422,122.1964839078911,0.0,0.0
log_std,0.1452909879241925,0.2025648319919575,0.16017013376799827,,
min,558922.7552076266,159.74304202355614,457.8987240194802,0.0,0.0
0.1%,614417.9710696834,165.55915066776151,491.41717761203097,0.0,0.0
2.3%,693075.7246648478,202.09228525891058,556.0762265591396,0.0,0.0
10%,753592.2779921397,224.54175769245006,603.6413164690638,0.0,0.0
15.9%,781596.6262585364,235.80110540327652,626.6059516060119,0.0,0.0
50%,898861.2824590132,284.84096732809314,737.1673516597147,0.0,0.0
84.1%,1056225.9734189322,356.30592696044687,881.4736123641371,0.0,0.0
90%,1099131.207455606,381.0198696851161,918.0908885754002,0.0,0.0
97.7%,1215524.2173641755,444.61993551401747,1014.4680131462686,0.0,0.0
99.9%,1365103.5102137425,567.5974681828121,1185.870972935373,0.0,0.0
max,1481665.9674433193,679.6416602583146,1319.5264014372485,0.0,0.0
