-,repair_cost-,repair_time-parallel,repair_time-sequential
0,894809.1340120735,269.0310963000261,698.1894751734463
1,1054000.736668448,303.15241861120217,778.2387600295349
2,974772.8939991915,221.95015775444068,724.2626764238837
3,975136.6955996999,288.49470653771704,681.3761992170835
4,747565.8025260716,234.25924074181853,680.2975951183525
5,1135150.8551747892,361.1672950373683,961.5352848834737
6,1071363.3589461718,263.1013009484086,712.6805976806678
7,987510.4307852916,323.19109236866024,924.6874158978683
8,1091480.0444156788,325.9612414228489,866.1687331340357
9,1172894.7985567914,414.8282101415987,994.8679957059708
10,1064900.9426963977,386.86153588804353,795.4904297265045
11,1058210.4854732119,366.29677661345517,935.9085637540823
12,895399.6922946817,343.672257072953,666.1198912272577
13,1022432.2921610622,428.48002829340237,889.9689636327973
14,1244718.3345078866,395.39552010681837,1003.9225805799297
15,857297.9510225481,239.4412034656506,639.4461759050523
16,743191.5716716921,218.45148345916195,548.2177491894553
17,596473.563165835,220.77737693287602,503.5102990950366
18,1095913.9804107752,260.4500918387503,736.555371535586
19,861425.696847983,215.3160436932476,596.5904973495652
20,1027068.6356408922,408.68922889880713,1073.5415310399499
21,858431.6606681267,292.55794716428085,806.9928852644921
22,997033.7172537271,412.58729159754535,818.9920540579459
23,782943.8173331139,306.14500484100387,647.6908722302285
24,937895.4016850013,225.36919921184344,816.3738818222175
25,819843.6719959503,284.69261774716813,716.3318182802317
26,884147.9319340496,230.93514174980848,781.2876516188242
27,845553.5475075322,370.5085093983063,758.0151469744432
28,1027103.7961284367,377.35069729526964,882.9084178601103
29,919489.7957923899,263.7244932289093,816.609260310314
30,1022252.9285988599,430.3270082324895,884.8207486376247
31,772221.1088621438,238.75377206659587,555.3628290113721
32,905364.2710458292,236.50085064194886,676.1528846325632
33,720639.2879627575,215.62323131730847,602.3352204427424
34,771875.8615806451,262.12847839807097,607.3226633612722
35,837212.3629614266,248.7583145067811,679.0130916830493
36,1184409.615684584,364.46746909550035,973.8103861705588
37,935800.5945931138,293.1703442785482,678.9160686035673
38,822216.7988374841,243.36772117451846,665.7118465662908
39,861232.8827106155,249.57670953047614,676.9477633407988
40,1020111.0826098691,376.36001427420615,836.5171297214121
41,1056238.2972758943,396.9728746280758,839.3183536849292
42,829662.169412915,264.2480663738585,647.1063606189819
43,953246.9737904164,264.01429411237393,763.7317043712461
44,971813.6237373385,318.3673445869848,741.6377727741474
45,1192669.1524243373,371.45560886281265,953.6523935258242
46,1097354.5415690285,268.40391539539644,777.6735054349156
47,1234056.422557765,435.4149291883367,955.6090931899475
48,679977.940212384,174.32297873263929,576.3949360553206
49,1246001.0610574996,356.4703095514054,825.7820062421386
50,871004.0126082613,262.60591633247367,683.8515276670414
51,998066.0578606304,264.7806445672883,746.9607596800005
52,794371.1128447629,259.69467676185707,618.2428376168547
53,923567.3837594241,304.5874269286551,778.5285443005024
54,1261208.5153008427,519.9353526152966,958.2275825080437
55,853058.7329339457,257.83459464040965,735.3401702166553
