dv-loss-dmg,COST-B.10.71.002-B.10.71.002,COST-B.10.71.012-B.10.71.012,COST-B.20.11.102-B.20.11.102,COST-B.20.11.121-B.20.11.121,COST-B.30.11.012-B.30.11.012,COST-C.10.11.001a-C.10.11.001a,COST-C.10.11.011a-C.10.11.011a,COST-C.20.11.001b-C.20.11.001b,COST-D.10.14.021-D.10.14.021,COST-D.20.21.013a-D.20.21.013a,COST-D.20.21.013b-D.20.21.013b,COST-D.20.21.023a-D.20.21.023a,COST-D.20.21.023b-D.20.21.023b,COST-D.30.31.013b-D.30.31.013b,COST-D.30.41.011c-D.30.41.011c,COST-D.30.41.032c-D.30.41.032c,COST-D.30.41.102b-D.30.41.102b,COST-D.30.52.013b-D.30.52.013b,COST-D.30.67.012b-D.30.67.012b,COST-D.40.11.023a-D.40.11.023a,COST-D.40.11.074a-D.40.11.074a,COST-D.50.11.011a-D.50.11.011a,COST-D.50.12.023b-D.50.12.023b,TIME-B.10.71.002-B.10.71.002,TIME-B.10.71.012-B.10.71.012,TIME-B.20.11.102-B.20.11.102,TIME-B.20.11.121-B.20.11.121,TIME-B.30.11.012-B.30.11.012,TIME-C.10.11.001a-C.10.11.001a,TIME-C.10.11.011a-C.10.11.011a,TIME-C.20.11.001b-C.20.11.001b,TIME-D.10.14.021-D.10.14.021,TIME-D.20.21.013a-D.20.21.013a,TIME-D.20.21.013b-D.20.21.013b,TIME-D.20.21.023a-D.20.21.023a,TIME-D.20.21.023b-D.20.21.023b,TIME-D.30.31.013b-D.30.31.013b,TIME-D.30.41.011c-D.30.41.011c,TIME-D.30.41.032c-D.30.41.032c,TIME-D.30.41.102b-D.30.41.102b,TIME-D.30.52.013b-D.30.52.013b,TIME-D.30.67.012b-D.30.67.012b,TIME-D.40.11.023a-D.40.11.023a,TIME-D.40.11.074a-D.40.11.074a,TIME-D.50.11.011a-D.50.11.011a,TIME-D.50.12.023b-D.50.12.023b
count,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mean,12317.172131992078,90996.81726977188,141908.64055319532,71372.03272321953,57664.747518871394,129889.91119510069,231324.96435548362,51199.61165097834,2241.0824668594746,398.65867162382614,65.91498965128369,1751.681496883855,229.54044543050662,47493.22942529952,3227.436266527351,17644.0736836666,26163.112993919218,9989.435717760993,140.54792488245639,11198.75141234992,69.80172374585301,6047.762149143634,1881.628708070083,12.284801675436746,90.98768211220649,114.20501981465803,57.22370991843834,65.26361574887997,103.75850305946905,184.22863672793574,40.60000541559398,2.2102554264832515,0.4384265006577284,0.07162007608521209,1.8988434758663422,0.25032692757186287,13.760861451129301,1.664601143158882,20.733614675295755,31.68231415694042,2.975664161519968,0.06171867210404305,5.01131295838032,0.05329030555410809,2.0087659055784117,0.5517484245276574
std,4125.204441515582,12275.042478718993,13438.718403193814,21947.891018813178,47113.205991818184,36879.78371321072,35585.7680438001,32293.541812391602,2185.7610735226403,774.221603222877,68.14328153860286,3475.1991209661105,242.52506463754838,16573.21358247164,3811.445672153075,12243.716672721263,10652.072684268605,22257.998551223496,800.5548219618375,12860.695495032487,218.34816223059815,4041.000715763677,5873.938172404814,4.486037841723748,14.80111135303492,15.255082018997673,19.38380335032908,57.08833485643603,32.23301250727856,31.67275589961926,26.689165993810796,2.2883823786156965,0.8826002440266131,0.07667572355433364,3.762876342173803,0.27423216954317947,6.058366534475788,1.6869458273623883,14.645074919287373,13.913492997282306,6.680641287584229,0.36455255238777484,3.874874320798637,0.18551793992525897,1.4737058441619575,1.7876815192771767
log_std,0.2671745752137256,0.13393652763874977,0.09408010596203115,0.2971046712069315,,0.27918031703516893,0.156225423295215,0.6892742780251758,,,,,,,,,,,,,,,,0.30275550554687236,0.16035424082439048,0.13214583706088248,0.3283250682872935,,0.295570168216753,0.17393135491802564,0.6925608514529759,,,,,,,,,,,,,,,
min,5737.601151819157,58549.746149989616,99976.49288294942,17623.3642259184,0.0,49087.61435478881,81228.52763526513,2375.9889664602024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4440549035949495,53.75724924392383,68.06315572434895,11.496411307083353,0.0,38.85417282670008,74.59346413936066,2.0637793311879467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1%,6480.7775279809075,60865.57776076577,107515.90291390682,22389.479091814403,0.0,54394.67498767886,122646.60920921742,6510.156121982759,117.67230963670094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.305585473021727,55.5787696255135,77.44929273768865,14.946450482434935,0.0,43.772292484801206,88.12353437694944,5.3974552220168865,0.09623473655005693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3%,8133.591612402722,68860.38846924911,117838.82337157939,37009.67169470891,0.0,70634.86549534368,163582.54263091352,10846.020582468242,308.8433523372399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.238785262052794,0.0,0.0,0.0,7.100378864131071,65.48546074886183,87.43039950999109,27.378526761519264,0.0,55.583976573747044,125.95424110857219,8.609969642410073,0.27414674767512986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042549005651526174,0.0,0.0,0.0
10%,9101.543564003166,76109.40172620067,125167.43226662619,47196.59683045841,0.0,87004.34631388879,187406.20763547026,14669.42285419754,557.2570986042333,0.0,0.0,0.0,0.0,35536.82296517302,0.0,2558.4205741099263,10320.458106648024,0.0,0.0,429.53486635808054,0.0,0.0,0.0,8.352097270788654,73.30652199174459,95.76486143393628,35.537892450578354,0.0,68.20513578867713,145.94339593129817,11.772714621602502,0.5079082033190757,0.0,0.0,0.0,0.0,7.660555497051874,0.0,2.897754703149604,12.711096680308344,0.0,0.0,0.47882178395545033,0.0,0.0,0.0
15.9%,9467.468202719327,79164.46886248213,128597.46665049196,51505.686623731184,5257.438908856516,94444.45480714393,196995.59825814393,17449.093626062666,703.4757284584225,1.8277947957971652,0.0,10.094318887096374,0.0,39894.07298693056,0.0,4181.186503623423,15631.485648830807,0.0,0.0,854.5296612055663,0.0,0.0,0.0,8.88702325433448,76.59250442595878,99.25833727796092,39.8685741276523,5.75986470954791,73.82982915913107,154.0093441648797,13.915828188026863,0.6476721755386374,0.0015750627349954182,0.0,0.010659196738584538,0.0,9.392066476334563,0.0,4.932073424847727,17.015009136939664,0.0,0.0,0.9289243731159887,0.0,0.0,0.0
50%,11236.012675862665,90063.1116902424,141024.89037240707,68469.6722925092,54112.101006534984,125638.41103218007,230472.93866169988,43411.67827041312,1599.4847547572872,95.05608501039099,50.3084827352777,389.32014263086114,167.10549394171022,49795.478394951686,1738.2331354334685,15710.945918706893,27865.76522259524,0.0,0.0,6142.5817764333915,0.0,7555.531920046481,0.0,11.224110571483921,89.54440015398326,113.26317393527415,54.53440582128451,57.431778540288036,98.56183810694404,181.81155851396727,34.71477691342041,1.5287022012969995,0.09755410676650578,0.05100935568093708,0.41379167845935294,0.1792346891647385,13.793958011656299,1.095269169203703,18.476949437808834,32.48915374205194,0.0,0.0,4.462388193300587,0.0,2.267446853479626,0.0
84.1%,14576.615507957475,102849.48358417136,155163.81520050496,90079.92494070457,106095.09706214124,164472.6942164508,265722.08840998396,88629.2234492711,3635.5871543336466,738.1465090855689,131.95067230094776,3122.276797866356,466.537558820524,60049.72718969622,7531.518425824231,32309.84444107769,37807.65745998849,2809.744235203045,0.0,23439.99048820931,0.0,9565.416693850893,0.0,15.117528056032318,105.60519495974211,128.97096018219509,74.12942164849125,120.6243691198474,132.6973754742006,215.48550708055862,68.39285605506419,3.6063233428345445,0.7867266017921049,0.14572907752460734,3.4832189091576136,0.5076755843609103,19.047629786076758,3.638616717833866,37.83853880088361,45.770136840984456,1.4597624881365066,0.0,8.900959236588662,0.0,3.390884170687553,0.0
90%,16858.148205642414,107133.6066486689,159903.48830885973,98033.10740169414,120672.01092878186,176364.76933614782,277121.5319004162,101598.41109678005,4584.332484531247,1161.205212085933,159.15646038616555,4947.7731052472545,560.6507418976271,63259.6589010736,9373.461680793731,35315.18734000949,39297.52745453168,56903.00401518151,0.0,29181.0344522723,264.4251041760701,10137.377729122345,0.0,17.209626335305167,110.53316821826364,133.96731028125313,81.15210274303215,140.15843428236514,144.8854432767036,225.9034810602808,81.02133158542689,4.5966086523891425,1.242514725211179,0.17391639560049593,5.588080164430528,0.6178451915603554,20.870480031207244,4.341554160976785,41.94242185360976,49.39803954196588,15.378333495073722,0.0,10.139690167877177,0.15650203305606994,3.7476716178100724,0.0
