cmp-ds,B.10.71.002-0,B.10.71.002-1,B.10.71.002-2,B.10.71.002-3,B.10.71.012-0,B.10.71.012-1,B.10.71.012-2,B.10.71.012-3,B.20.11.102-0,B.20.11.102-1,B.20.11.102-2,B.20.11.102-3,B.20.11.121-0,B.20.11.121-1,B.20.11.121-2,B.20.11.121-3,B.30.11.012-0,B.30.11.012-1,B.30.11.012-2,C.10.11.001a-0,C.10.11.001a-1,C.10.11.001a-2,C.10.11.001a-3,C.10.11.011a-0,C.10.11.011a-1,C.10.11.011a-2,C.10.11.011a-3,C.20.11.001b-0,C.20.11.001b-1,C.20.11.001b-2,C.20.11.001b-3,D.10.14.021-0,D.10.14.021-1,D.20.21.013a-0,D.20.21.013a-1,D.20.21.013a-2,D.20.21.013b-0,D.20.21.013b-1,D.20.21.023a-0,D.20.21.023a-1,D.20.21.023a-2,D.20.21.023b-0,D.20.21.023b-1,D.20.21.023b-2,D.30.31.013b-0,D.30.31.013b-1,D.30.41.011c-0,D.30.41.011c-1,D.30.41.011c-2,D.30.41.032c-0,D.30.41.032c-1,D.30.41.102b-0,D.30.41.102b-1,D.30.52.013b-0,D.30.52.013b-1,D.30.52.013b-2,D.30.67.012b-0,D.30.67.012b-1,D.40.11.023a-0,D.40.11.023a-1,D.40.11.023a-2,D.40.11.074a-0,D.40.11.074a-1,D.40.11.074a-2,D.50.11.011a-0,D.50.11.011a-1,D.50.12.023b-0,D.50.12.023b-1,collapse-0,excessiveRID-0,irreparable-0
0,3723.264,700.416,0.0,0.0,737.28,552.96,3133.44,0.0,1958.4000000000005,691.2000000000002,6566.4000000000015,0.0,7372.800000000001,1843.2000000000003,0.0,0.0,4838.25,1612.75,0.0,1631.8275936741975,1448.2965150320358,2280.0601708499094,0.0,699.3624407991189,2250.4657976836825,3487.432973190876,710.910132021543,2.0,8.0,2.0,0.0,0.0,1.0,1954.1042082671643,25.79112804413147,0.0,222.81414623785042,56.938352510937044,4611.334882723816,0.0,0.0,833.0426604613643,198.107651235204,0.0,0.0,1.0,2457.958945723045,0.0,0.0,132.7104,14.745599999999998,12.0,4.0,2.0,0.0,0.0,1.0,0.0,18258.263131440937,3587.95492744824,300.0415673803389,238.5012988150342,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0
1,3723.264,663.552,36.864000000000004,0.0,774.144,737.28,2727.936,184.32,1728.0000000000005,1382.4000000000003,5875.200000000002,230.40000000000006,7488.000000000001,1728.0,0.0,0.0,645.1,322.55,5483.349999999999,1580.0950365387785,3442.157744072711,1814.4299131028847,422.0658133998455,333.2349438573799,1708.0093391583455,1641.7484064187195,262.34073733918586,2.0,6.0,2.0,2.0,0.0,1.0,1355.8158098979877,568.4404891569393,17.420855719996762,0.0,389.76020136550744,2985.182441500646,1318.7832923567094,0.0,230.97886030402842,278.7925813032455,0.0,0.0,1.0,993.9041957159525,325.70357607264134,746.3077453997253,35.0208,112.4352,0.0,16.0,2.0,0.0,0.0,1.0,0.0,4394.543900264922,10670.637195422332,8580.856623000465,177.77877080066122,44.38253230389062,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
2,3575.808,847.8720000000001,0.0,0.0,626.688,811.008,2985.9840000000004,0.0,1497.6000000000004,1152.0000000000002,6566.4000000000015,0.0,7718.4000000000015,1497.6000000000001,0.0,0.0,2902.95,2580.4,967.65,1922.8928507273595,2481.4664074085626,3099.1492499611095,166.88384296718763,543.8432665449332,1963.6136703565046,3123.162177691268,353.1867420612476,0.0,6.0,6.0,0.0,0.0,1.0,2315.041786265054,115.69824761185718,30.795582990009997,100.88717660209157,217.7383843114542,3560.507428335064,558.5206017610675,0.0,645.9381001550153,200.28344760177566,0.0,0.0,1.0,1424.0989926308312,386.9618864824269,250.07968318848114,92.16,55.296,4.0,12.0,2.0,0.0,0.0,1.0,0.0,12952.511998817943,5033.4885233557725,1044.5390081452144,279.529130815852,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0
3,3538.9440000000004,884.7360000000001,0.0,0.0,663.552,737.2800000000001,3022.848,0.0,1152.0000000000002,1728.0000000000005,6336.000000000002,0.0,7833.600000000001,1382.4,0.0,0.0,4515.7,1290.2,645.1,1544.214543477405,1943.9251959760197,1380.1871713056596,94.56612239173822,743.6928270751184,1648.9460778391915,3352.8743836791655,1494.5120111547578,0.0,8.0,4.0,0.0,0.0,1.0,2577.1610317091336,243.66675047468277,0.0,410.23615075261046,0.0,5433.036965904028,530.6265092345382,0.0,324.32936168945275,0.0,138.9252274347564,0.0,1.0,1538.7359306813344,379.74448296828206,0.0,105.0624,42.3936,8.0,8.0,0.0,2.0,0.0,1.0,0.0,13153.736020784854,6928.761210889783,1156.094943097467,237.92935555901295,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
4,3796.992,552.96,73.72800000000001,0.0,737.28,774.144,2912.2560000000003,0.0,1612.8000000000004,691.2000000000002,6912.000000000002,0.0,7603.200000000001,1612.8000000000002,0.0,0.0,6451.0,0.0,0.0,2437.2043362057125,2974.1558117710415,2068.8702599099192,48.422040375979655,403.6514535716318,1943.4409345443007,2826.322058165879,652.4825556314335,2.0,6.0,4.0,0.0,0.0,1.0,2279.6161014924655,0.0,0.0,406.3221560009564,0.0,5031.447852752628,0.0,0.0,721.0482673402552,0.0,0.0,1.0,0.0,1540.5545520067772,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,0.0,21064.114424974225,0.0,0.0,227.23937085002063,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
5,3686.4,184.32,0.0,552.96,847.8720000000001,1032.192,1990.656,552.96,1843.2000000000003,2073.6000000000004,4147.200000000001,1152.0000000000002,7833.600000000001,230.40000000000003,0.0,1152.0000000000002,0.0,0.0,6451.0,2582.87982564071,1713.472166226944,2003.0606672184997,293.8178484103253,571.8773865237458,2421.3283739352064,2054.1494626044655,688.7415776410767,6.0,4.0,2.0,0.0,0.0,1.0,33.75604609027523,77.4512667716179,2449.9215871791794,0.0,302.73914797564794,0.0,66.15644509369012,4255.560990171903,0.0,0.0,623.1732679644787,0.0,1.0,0.0,0.0,2107.7271595767056,0.0,147.456,0.0,16.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,17737.10623876575,79.67762798706012,93.99731934642836,114.02186033074418,0.0,1.0,2.0,0.0,1.0,2.0,1.0
6,3538.9440000000004,884.736,0.0,0.0,811.008,626.6880000000001,2985.9840000000004,0.0,1497.6000000000004,1267.2000000000003,6451.200000000002,0.0,7833.600000000001,1382.4,0.0,0.0,3548.0499999999997,1935.3,967.65,2729.8300906994846,2930.5585021453467,2510.243731001139,0.0,1255.1474019928942,2529.1053054863487,3496.658809148509,961.461442170273,4.0,6.0,2.0,0.0,0.0,1.0,1298.3258476076496,97.51018633775357,0.0,204.62344077288304,86.63327006529722,6593.062943756476,387.5660313094223,0.0,123.59576901526786,365.61819443510996,0.0,0.0,1.0,573.6716647359256,1011.6896345877616,1044.7091205565357,94.00319999999999,53.452799999999996,0.0,16.0,0.0,2.0,0.0,1.0,0.0,11012.316189699437,5662.0270785466655,1048.7238965972688,272.91632008319255,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0
7,3612.672,737.28,73.72800000000001,0.0,626.688,626.6880000000001,3133.44,36.864000000000004,1267.2000000000003,1497.6000000000004,6220.800000000001,230.40000000000006,8064.000000000002,1152.0,0.0,0.0,1290.2,2902.95,2257.85,1498.0398808440286,1421.7566810695707,1547.0764363207825,385.6552873698633,620.7748450155789,1649.1673592493485,2921.5408786951316,700.1910428045072,0.0,8.0,2.0,2.0,0.0,1.0,1510.0615089989942,501.38692827790936,22.928247939183223,0.0,354.7879907619914,2847.4609982545358,832.1698454297336,196.9847061665454,0.0,551.8846150422295,99.77099080526571,0.0,1.0,1079.5468257338925,987.9573027163058,272.88734982198764,58.9824,88.4736,0.0,16.0,2.0,0.0,0.0,1.0,0.0,5634.225303964242,10545.936480802284,3240.8196567951427,291.1707905725537,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
8,3796.992,258.048,258.048,110.592,847.8720000000001,479.232,2617.344,479.232,1612.8000000000002,1728.0000000000005,4838.4000000000015,1036.8000000000004,7488.000000000001,921.6000000000001,691.2,115.20000000000002,0.0,645.1,5805.9,2321.456406198534,2059.0803412505443,1582.032062503525,343.20701863665334,377.63079327141804,1780.0582323986553,2543.291276853004,551.9365833678382,0.0,8.0,4.0,0.0,0.0,1.0,1101.4384693441048,1241.7520182181452,438.02009509726383,40.707144877764925,165.36056670433948,849.0543505243196,2551.39668545011,834.1380028912258,0.0,159.91866506816586,250.6693557283656,0.0,1.0,307.52574123075357,255.37535843097223,1390.5815976638557,9.216,138.24,4.0,12.0,0.0,2.0,0.0,1.0,0.0,753.9249381529003,12275.857524651907,19527.373695833398,251.1305907285818,0.0,14.485560337298422,0.0,1.0,2.0,0.0,1.0,2.0,1.0
9,3686.4,516.096,221.184,0.0,663.552,774.144,2801.664,184.32,1497.6000000000004,1152.0000000000002,6336.000000000002,230.40000000000006,7833.600000000001,691.2,691.2,0.0,0.0,645.1,5805.9,1377.3087430519681,2584.4172350996505,1491.7768279931377,583.0411109536537,1308.798916461444,2282.9557455560894,2416.6178872753776,603.157805914182,0.0,8.0,2.0,2.0,0.0,1.0,771.1064447406291,923.9894301759624,177.16606126120976,53.87935085634846,207.28141972094522,1384.0207508093306,1888.8005667100517,244.7044437577574,237.3808628896991,223.27544199848154,94.0156457541391,0.0,1.0,217.8226674550517,301.88011267871417,1316.4050506048327,11.0592,136.39679999999998,0.0,16.0,0.0,0.0,2.0,1.0,0.0,2156.5141394859315,12722.169436000571,10065.770115857966,239.27762253484715,73.6830841494207,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
