dv-loss-dmg,COST-B.10.71.002-B.10.71.002,COST-B.10.71.012-B.10.71.012,COST-B.20.11.102-B.20.11.102,COST-B.20.11.121-B.20.11.121,COST-B.30.11.012-B.30.11.012,COST-C.10.11.001a-C.10.11.001a,COST-C.10.11.011a-C.10.11.011a,COST-C.20.11.001b-C.20.11.001b,COST-D.10.14.021-D.10.14.021,COST-D.20.21.013a-D.20.21.013a,COST-D.20.21.013b-D.20.21.013b,COST-D.20.21.023a-D.20.21.023a,COST-D.20.21.023b-D.20.21.023b,COST-D.30.31.013b-D.30.31.013b,COST-D.30.41.011c-D.30.41.011c,COST-D.30.41.032c-D.30.41.032c,COST-D.30.41.102b-D.30.41.102b,COST-D.30.52.013b-D.30.52.013b,COST-D.30.67.012b-D.30.67.012b,COST-D.40.11.023a-D.40.11.023a,COST-D.40.11.074a-D.40.11.074a,COST-D.50.11.011a-D.50.11.011a,COST-D.50.12.023b-D.50.12.023b,COST-replacement-irreparable,TIME-B.10.71.002-B.10.71.002,TIME-B.10.71.012-B.10.71.012,TIME-B.20.11.102-B.20.11.102,TIME-B.20.11.121-B.20.11.121,TIME-B.30.11.012-B.30.11.012,TIME-C.10.11.001a-C.10.11.001a,TIME-C.10.11.011a-C.10.11.011a,TIME-C.20.11.001b-C.20.11.001b,TIME-D.10.14.021-D.10.14.021,TIME-D.20.21.013a-D.20.21.013a,TIME-D.20.21.013b-D.20.21.013b,TIME-D.20.21.023a-D.20.21.023a,TIME-D.20.21.023b-D.20.21.023b,TIME-D.30.31.013b-D.30.31.013b,TIME-D.30.41.011c-D.30.41.011c,TIME-D.30.41.032c-D.30.41.032c,TIME-D.30.41.102b-D.30.41.102b,TIME-D.30.52.013b-D.30.52.013b,TIME-D.30.67.012b-D.30.67.012b,TIME-D.40.11.023a-D.40.11.023a,TIME-D.40.11.074a-D.40.11.074a,TIME-D.50.11.011a-D.50.11.011a,TIME-D.50.12.023b-D.50.12.023b,TIME-replacement-irreparable
count,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mean,12480.786816623164,84617.61492037697,132950.71997967336,65572.49607811558,46269.465834689785,111647.4870049202,210316.2602574059,47899.97643866675,2078.6554112377653,172.41242962625873,48.651231606971976,734.5544861722842,165.23018313660887,45682.34166890052,1936.6464293983263,13122.02388360687,21162.00092770035,6105.0280324101095,73.60322823217724,6769.749833908009,23.522655198276606,4176.0818084527,870.8912322899181,326699.83416398126,12.47310165225569,84.61812447559689,107.14161442514146,52.55816409695791,52.8847020758469,89.87996572461712,167.58399725980422,37.982741047452876,2.061527864954953,0.18934434487765153,0.052760439995292244,0.8138695037130563,0.17851206845096595,13.202347284488578,1.0953485794396103,15.404535026392058,25.736818494940504,1.808259162998836,0.031639419112338064,3.8288813481184762,0.018344358860615785,1.3837912601664073,0.2565944711109874,33.433951815028614
std,9078.218752445766,22194.531288444647,33397.57274286464,48968.724768515145,41370.19705542546,46862.79761913196,59028.76725173193,35610.78281881075,2164.317774304351,359.65726676477027,61.3815503172102,1584.1839748922582,212.17312495425176,18701.89630936528,2734.7857303382384,10364.878649178227,11589.198460261441,18199.299019767288,587.7465426294301,8689.365174419157,121.16561031816518,4387.394587249075,4090.877018202053,1491349.0947254773,9.470156993079918,23.715565139640574,28.906040698158932,40.66823895189885,49.69277611712805,39.36794253231654,48.945884355954114,29.464204037291502,2.2865165550019393,0.39625995507298734,0.06739741643367834,1.8222795659782751,0.22942288602778413,6.467398892637254,1.3138326031838048,12.36082555726035,14.648488160893079,5.47758152217586,0.262140415330252,3.448197692219114,0.10713524771106847,1.5386629816403443,1.2562966671539373,152.6223553963066
log_std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10%,4241.250988746158,70104.6545246975,116119.65755227726,15888.752255693997,0.0,63410.59904250782,162519.53941152274,12362.00245701531,341.09513938177224,0.0,0.0,0.0,0.0,0.0,0.0,817.8606326474666,0.0,0.0,0.0,165.71998511375284,0.0,0.0,0.0,0.0,4.040840196102587,66.66538363050086,87.67662514176862,12.342205033363436,0.0,49.79238712402447,125.84042040427781,9.435702042007255,0.3085778777826162,0.0,0.0,0.0,0.0,0.0,0.0,0.989103739327757,0.0,0.0,0.0,0.18766172156428304,0.0,0.0,0.0,0.0
15.9%,5651.392520080016,74266.47924993599,120717.33454706735,22788.155323211417,2890.035844415015,72841.0489245531,176753.16727023912,14456.452534132884,546.6226219814382,0.0,0.0,0.0,0.0,37881.89455266455,0.0,2272.324330870643,9369.29042062356,0.0,0.0,430.04069883718455,0.0,0.0,0.0,0.0,5.449386919222953,71.5914992757303,93.1433478673894,17.749296999584942,2.8559273369179867,57.35210831119601,137.95433194775242,11.419363952415237,0.49490210616336044,0.0,0.0,0.0,0.0,8.62233813953915,0.0,2.5874274555006243,10.303243117760497,0.0,0.0,0.4955641897931091,0.0,0.0,0.0,0.0
50%,9876.774762393969,87282.0509422587,136220.64594470977,53558.223669949686,38842.71659000324,109096.92538144824,217432.62694286727,39243.99276564564,1485.0258293657814,41.02907949443316,26.733508613780817,168.88207590002068,90.56078485212879,49329.40503920961,505.13103055179613,10902.433879020835,20479.945995807022,0.0,0.0,3564.847925825428,0.0,0.0,0.0,0.0,9.755078417661679,86.48975571181784,109.45674947633704,42.263103796537166,42.505766107377575,86.53156412660093,172.72867723565014,30.42616149243679,1.4092182750320608,0.043196213703094025,0.028088787110800817,0.1888813221877641,0.09681404829296558,13.574564009298381,0.5767404681337508,12.67733214213637,26.017063795260356,0.0,0.0,2.9208893977338395,0.0,0.0,0.0,0.0
