-,repair_cost-,repair_time-parallel,repair_time-sequential
count,5000.0,5000.0,5000.0
mean,983687.8445344524,329.34019701931504,808.5735341511378
std,148679.7005832523,64.40026618126,131.16799226485531
log_std,0.14936276808626248,0.19051003676137374,0.16043517832686688
min,599628.0458537745,186.73724187835884,502.5778765921554
0.1%,655552.181071829,195.72848408262996,526.0143145725191
2.3%,734734.0289842753,227.7444512130945,596.621712409097
10%,805451.9520784601,254.2462907151288,649.3567381023527
15.9%,833243.606127296,266.57105408447774,673.4686534323884
50%,968784.0785442614,320.8054977615342,794.0659060844787
84.1%,1139474.8816412217,392.7593016488058,947.2930087701244
90%,1188044.244366133,417.6332650905412,989.3557991898399
97.7%,1311909.2763357824,477.2825105067515,1091.1276073925917
99.9%,1488421.7941418486,585.0090509111262,1242.8020246289295
max,1571159.5721145703,632.7775031271045,1338.8403776294444
