cmp-loc-dir,B.10.71.002-1-1,B.10.71.002-1-2,B.10.71.002-2-1,B.10.71.002-2-2,B.10.71.002-3-1,B.10.71.002-3-2,B.10.71.002-4-1,B.10.71.002-4-2,B.10.71.012-1-1,B.10.71.012-1-2,B.10.71.012-2-1,B.10.71.012-2-2,B.10.71.012-3-1,B.10.71.012-3-2,B.10.71.012-4-1,B.10.71.012-4-2,B.20.11.102-1-1,B.20.11.102-1-2,B.20.11.102-2-1,B.20.11.102-2-2,B.20.11.102-3-1,B.20.11.102-3-2,B.20.11.102-4-1,B.20.11.102-4-2,B.20.11.121-1-1,B.20.11.121-1-2,B.20.11.121-2-1,B.20.11.121-2-2,B.20.11.121-3-1,B.20.11.121-3-2,B.20.11.121-4-1,B.20.11.121-4-2,B.30.11.012-5-1,C.10.11.001a-1-1,C.10.11.001a-1-2,C.10.11.001a-2-1,C.10.11.001a-2-2,C.10.11.001a-3-1,C.10.11.001a-3-2,C.10.11.001a-4-1,C.10.11.001a-4-2,C.10.11.011a-1-1,C.10.11.011a-1-2,C.10.11.011a-2-1,C.10.11.011a-2-2,C.10.11.011a-3-1,C.10.11.011a-3-2,C.10.11.011a-4-1,C.10.11.011a-4-2,C.20.11.001b-1-1,C.20.11.001b-1-2,C.20.11.001b-2-1,C.20.11.001b-2-2,C.20.11.001b-3-1,C.20.11.001b-3-2,D.10.14.021-1-1,D.20.21.013a-1-1,D.20.21.013a-2-1,D.20.21.013a-3-1,D.20.21.013a-4-1,D.20.21.013b-1-1,D.20.21.013b-2-1,D.20.21.013b-3-1,D.20.21.013b-4-1,D.20.21.023a-1-1,D.20.21.023a-2-1,D.20.21.023a-3-1,D.20.21.023a-4-1,D.20.21.023b-1-1,D.20.21.023b-2-1,D.20.21.023b-3-1,D.20.21.023b-4-1,D.20.31.013b-1-1,D.20.31.013b-2-1,D.20.31.013b-3-1,D.20.31.013b-4-1,D.30.31.013a-5-1,D.30.31.013b-5-1,D.30.41.011c-1-1,D.30.41.011c-1-2,D.30.41.011c-2-1,D.30.41.011c-2-2,D.30.41.011c-3-1,D.30.41.011c-3-2,D.30.41.011c-4-1,D.30.41.011c-4-2,D.30.41.032c-1-1,D.30.41.032c-2-1,D.30.41.032c-3-1,D.30.41.032c-4-1,D.30.41.102b-1-1,D.30.41.102b-2-1,D.30.41.102b-3-1,D.30.41.102b-4-1,D.30.41.103a-5-1,D.30.52.013a-5-2,D.30.52.013b-1-1,D.30.67.012a-1-1,D.30.67.012b-1-1,D.40.11.023a-1-1,D.40.11.023a-2-1,D.40.11.023a-3-1,D.40.11.023a-4-1,D.40.11.074a-1-1,D.40.11.074a-2-1,D.40.11.074a-3-1,D.40.11.074a-4-1,D.50.11.011a-1-1,D.50.12.013d-1-1,D.50.12.023a-1-1,D.50.12.023b-1-1,collapse-0-1,excessiveRID-1-1,excessiveRID-1-2,irreparable-0-1
count,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mean,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,6451.0,748.7341647620998,748.8392182526122,748.7780766460752,748.7809975189932,748.7573825571562,748.8573815050817,748.7252212139026,748.7372116177958,748.7400383418668,748.7141775014768,748.7761052208434,748.7542887016442,748.6985235688406,748.7997413938853,748.8968984775603,748.728813973048,2.0,2.0,2.0,2.0,2.0,2.0,1.0,529.1141265008185,529.0958329796772,529.088009868314,529.0968214258168,74.88562840192473,74.87373999782487,74.88220853794867,74.87374603319394,1058.2367262584398,1058.1728574503043,1058.2783894355937,1058.1628737947988,149.74431578810535,149.74150396140027,149.75477611412703,149.74933270180352,604.2130125659264,603.9873615301432,603.9966052448625,603.9591690227144,1.0,1.0,249.5704603191212,249.57498920457223,249.59465763996366,249.60753113316315,249.64623969452782,249.62245301284102,249.57611776404838,249.58048385132932,36.864,36.864,36.864,36.864,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,5290.895925586924,5291.184919587728,5290.933093525073,5291.698948654643,59.909976616648116,59.90167385811248,59.89916770106284,59.904445644168334,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.6619923614754,312.5592749179884,311.9307306562704,312.01523124745717,311.77627214127966,312.5756749996817,311.5511702671057,311.6030157153725,311.66991447705766,311.4796740347512,311.9330545983068,311.7857900600668,311.42374452221236,312.20002637974915,313.0867283102548,311.67617015510535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.24485710730082,220.14770263014924,220.09388317391242,220.21167092880336,31.26103750960397,31.16357114041258,31.240054942339242,31.17908191506009,440.6725936600598,440.1984813705146,440.981133228078,440.0653908982748,62.30488672901324,62.293214713969284,62.3931740212778,62.34922319178399,253.60658075381846,251.42448960021528,251.54874010187433,251.26421209066976,0.0,0.0,103.82343137346555,103.88919481238891,104.01851748886394,104.13590763442505,104.51688151311124,104.2760518231137,103.8889166914488,103.89549231724529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2201.3931558581085,2203.417771040171,2201.609716060112,2207.7393451585363,25.016902353520237,24.956473958834994,24.933801490440466,24.977479592409793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
log_std,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,1.7763568394002505e-15,0.40001944619138086,0.400286866264746,0.3999295843670964,0.3999375242085706,0.39991572283598786,0.40006262766929773,0.39987498212915373,0.399860598172868,0.40004139836140945,0.3999301802183258,0.40017749167293476,0.399926419520622,0.3998864916371519,0.4000835927519341,0.40011694290504013,0.3999952466628487,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.39990250377259284,0.3999252721487231,0.3998729154549148,0.40010566914808104,0.40000731685849994,0.39996387533499916,0.40010790561880605,0.4002555211430212,0.39990980977105656,0.3999441813199781,0.39996648396803547,0.3998513205996578,0.39991448289556414,0.39988549797038736,0.400000199916782,0.40007794767664556,0.40020835547628525,0.39998752182018643,0.4001941993040191,0.39994378081790916,0.0,0.0,0.3998751214818947,0.4001417721572014,0.39995375153190504,0.40023592715035133,0.40020245775898267,0.4003380966315685,0.40004551394160076,0.3999874421640362,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.3999703720996372,0.39999286887078433,0.39995682825747675,0.400276862601713,0.4000877388439352,0.3999628140459493,0.39994495539178293,0.400129359755838,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0
min,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,6451.0,149.82302763743738,112.27798339931654,167.1147622968673,167.10443242175432,165.62632259135083,161.293787132922,160.44674316674036,163.93916656223757,140.2861545500637,147.80639837596317,120.71458629577415,156.67679733973284,158.29319990219423,140.25642616307897,161.3672367287274,152.97670773346684,2.0,2.0,2.0,2.0,2.0,2.0,1.0,115.62334023688447,112.79965252746018,116.57291992779997,89.54192547838727,16.727734374724175,15.962522361500044,14.640925444754512,11.17936769378002,227.6211701664426,219.0581291544952,230.02738438391674,228.6752027524293,31.82312753538362,31.704438004533543,30.949544252152535,26.629111827233395,133.44301625133275,119.69841220216465,98.32395082386518,125.23238838457189,1.0,1.0,53.905215305006635,41.10943432856293,54.90718611442071,40.85012969732291,53.078971003380246,40.10996865125958,47.49810558880049,49.687886585404065,36.864,36.864,36.864,36.864,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,998.3416553010624,1070.7176876057251,1060.4240277838103,875.9317157788046,12.660067977136235,13.169391202754179,12.529956108559956,10.81056351317493,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
0.1%,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,6451.0,204.74557856773401,201.66577050687468,201.51159683660362,202.88960024146357,202.45151614680472,205.15777502711725,201.68369140189793,202.5931401224054,201.6257590061272,204.57444917050242,205.08941867197262,204.63029292580234,204.09739495350465,203.85660422874668,204.0918745530337,203.20984510887865,2.0,2.0,2.0,2.0,2.0,2.0,1.0,142.29073480446561,142.04543987673253,144.30562640531278,142.23692555441542,20.331401807717622,20.304735497369798,20.4121295017634,20.343806125777927,286.372906901305,284.5721687655573,288.99758613361314,289.59704006541324,40.78020208697246,40.43208889434188,40.17982039673057,40.82974432763023,165.12818774089948,163.92331732739032,164.1551351554718,164.17184377691532,1.0,1.0,67.51171256842972,68.12932055720611,67.1517449333071,67.37553154148698,67.02734114411732,67.7698478864604,66.9879250432568,67.95037997425324,36.864,36.864,36.864,36.864,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,1427.921844173271,1447.8037758691084,1419.9778437184375,1440.8992885348025,16.30529123995518,16.082517755358765,16.19781060998146,16.273321546075127,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
2.3%,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,6451.0,311.3001942586388,311.56273790217773,311.2828316799678,311.5158052356493,311.1660390731518,311.1922617115543,311.45750523987834,311.32782319967276,311.39978664346654,311.4926615854046,311.48509265939214,311.2079181848718,311.4795195638439,311.55495384104955,311.2170972518332,311.2549077269721,2.0,2.0,2.0,2.0,2.0,2.0,1.0,219.93603258044354,220.1501700708953,219.9283834436943,219.99645759989758,31.123858163829233,31.136114151024408,31.127669278342086,31.131263893231772,440.203113135565,440.3833415562513,439.8979061191407,439.8105924269238,62.252827285022114,62.27173903579492,62.26827721678608,62.297934822086795,251.24176912830612,251.2703014360339,251.21712356834811,251.15511422179196,1.0,1.0,103.82729180091361,103.85843415646495,103.7952091391763,103.81964500677411,103.82986683997713,103.7712001723395,103.83685814617441,103.77959495060202,36.864,36.864,36.864,36.864,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,2200.48587840484,2200.748983328565,2200.2707376896897,2199.199049976904,24.923455998680613,24.891365802822317,24.895508471715658,24.89947566327099,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
10%,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,6451.0,414.09694502743605,414.0813964626769,414.0392840814535,414.0758030348921,414.09263574465047,413.9904188037412,414.1124326803891,414.0632422249661,414.11540578165796,414.04863142733024,414.02745252396227,414.0736889910697,414.1155955687456,414.0770708759746,413.98432808133856,414.09373525090797,2.0,2.0,2.0,2.0,2.0,2.0,1.0,292.55288490011947,292.6006111094285,292.6384879720243,292.5774443282714,41.397501215590665,41.40964631587656,41.39807019809768,41.41000183837098,585.2215863185519,585.2328855445543,585.2737073145421,585.2646065354958,82.80273721784859,82.81761525591372,82.82170003069265,82.82248524720771,334.05652236909145,334.00525024064876,334.0213821831103,334.02824616090885,1.0,1.0,138.00606055303342,138.00440160394356,138.04237082463123,137.9931906383791,137.99151103274133,138.0441157954584,137.9991760340426,138.00699792777084,36.864,36.864,36.864,36.864,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,2925.5894939031914,2925.6921981778987,2926.06194796831,2925.4633725756057,33.122514016449045,33.119988121061446,33.123866597385515,33.12021977998424,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
15.9%,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,6451.0,463.6831528526216,463.71195646914657,463.61933893973423,463.6332553142187,463.6764529058493,463.5874802165204,463.5877143591275,463.6848458636344,463.6695250416377,463.58828230286355,463.7091680462573,463.6183125945274,463.62767810872293,463.5985830583064,463.5894048525896,463.66910826200575,2.0,2.0,2.0,2.0,2.0,2.0,1.0,327.6674230231748,327.6404825084146,327.5980044720995,327.60686789558264,46.360381727766466,46.361553653875696,46.36123128480227,46.36699039454547,655.2591098998089,655.185924615048,655.2917162036116,655.3296427583169,92.73063760432703,92.72119753510124,92.73606953884531,92.72269659429251,374.0001344729258,374.01133552825513,373.99269283245167,374.0168188102213,1.0,1.0,154.5640249136851,154.546218790189,154.55798560979235,154.53242747201935,154.56323520340783,154.5362385894508,154.5447159279819,154.56060320998367,36.864,36.864,36.864,36.864,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,3276.0781748030063,3276.5791237591216,3276.531302248911,3276.588986976294,37.09330740226477,37.08719805676281,37.09165868438347,37.093452192171554,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
50%,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,6451.0,691.1979389503715,691.2465967883329,691.162051183841,691.1961373256984,691.1843254205003,691.1828548837759,691.1868818203552,691.1437589846144,691.197571844287,691.1988653512708,691.2018591390643,691.1837412317338,691.2312713509834,691.1764311112033,691.22019422454,691.1942099103244,2.0,2.0,2.0,2.0,2.0,2.0,1.0,488.4670484438757,488.461063482826,488.4460833598015,488.425367944203,69.12278997501625,69.12110379713695,69.12538232917565,69.1252470108241,976.9674070472593,976.8465672553527,976.8682406196813,976.9340693250725,138.24998045364404,138.23533239411643,138.2311676411588,138.23709238625744,557.5321602422407,557.59362037599,557.5552314839047,557.575860848996,1.0,1.0,230.38930245200243,230.4030712627205,230.38930615371356,230.40443216435145,230.3968503692829,230.3954694648474,230.39845306660976,230.4071298451359,36.864,36.864,36.864,36.864,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,4884.495372881131,4884.383762876986,4884.147015761278,4884.5507252540865,55.29742114500496,55.30016656588479,55.29801746602652,55.2975780218507,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
