type-loc-dir,ONE-0-1,PFA-0-1,PFA-0-2,PFA-1-1,PFA-1-2,PFA-2-1,PFA-2-2,PFA-3-1,PFA-3-2,PFA-4-1,PFA-4-2,PID-1-1,PID-1-2,PID-2-1,PID-2-2,PID-3-1,PID-3-2,PID-4-1,PID-4-2,RID-1-1,RID-1-2,SA-0-1
count,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mean,1.0,274.86412950066057,261.8444322965202,344.07032811698195,361.3499839182495,366.0655807222171,371.69993115125317,365.8937963991926,358.692190534672,384.76150041164493,390.92818829332106,0.018123736382331133,0.016895129847502882,0.010492466235186489,0.013206373109444496,0.007199009374893484,0.008067897643305707,0.002131428422873486,0.002827469508052701,0.015897934922831158,0.01433441630614,1.500000000000001
std,0.0,99.02609236137783,98.43218799107962,139.28957338283337,154.4502270251568,156.92280203468633,161.25185932366,178.381283774254,163.79288545907187,165.93688256745844,167.5083031914331,0.013195550887516498,0.01078845037839526,0.005174917439210992,0.00706703383597773,0.003852887046982802,0.003975141631527761,0.0010155508829081251,0.0013498706229996102,0.016126468797051804,0.014250833297558127,1.3268041414498595e-15
log_std,0.0,0.3482412796369483,0.36134595407234066,0.39447339236373274,0.41413427700330896,0.41886553361584505,0.42176708209609864,0.46852171663893305,0.43939638250801977,0.4217084545539253,0.41805203191453194,0.6519427105846133,0.580660343151329,0.46853472141745783,0.5088701783177815,0.5024565569979854,0.47441844857982673,0.453040354275757,0.46290758740609134,0.8385412804440101,0.8166245661497858,8.881312339681743e-16
min,1.0,67.75507488685008,62.80544670387651,78.63186148246959,65.96172762229381,73.8104526048345,68.10335520041947,62.58150638677739,64.65617969844388,81.29818965219137,78.95132123219597,0.001382643636661797,0.0019914941605453243,0.0011314313774814827,0.0018234192194685383,0.0010934349779969793,0.0013740334956906487,0.00037832810213945964,0.0004355774968957332,0.0004997506219443975,0.0005248107685587605,1.4999999999999962
0.1%,1.0,88.83726634866159,81.28939390833087,100.56418002793708,91.82723338382341,99.26471973458592,90.15885161438665,78.26172555217286,87.04308069699671,94.1507914928833,100.95270451359607,0.0018836097119508473,0.0023868711920535476,0.0020930548464240958,0.0022740501254870844,0.0012575070913579131,0.0016221095256356997,0.00044039694587413836,0.0005801723496809038,0.0008362465845975102,0.0008241868260324716,1.4999999999999971
2.3%,1.0,129.28761604034156,120.90959625410252,143.8443403808762,146.00850184850268,144.62969837934378,148.65194025909213,126.70123286487204,133.5697283559418,149.49220587925927,153.90033916147925,0.0039995330047769735,0.00448588810548263,0.003665177049936015,0.004021611226026289,0.0024120938385122385,0.0027269580504409715,0.0007777071307375015,0.0009847726858851263,0.002029907218312068,0.0020326815814451383,1.4999999999999984
10%,1.0,165.61374274592526,155.25698133361476,191.20773223292602,193.0490206804743,194.38933184506396,196.50535891066863,179.4928835598113,184.2974632831723,202.5399727323779,207.77477955747545,0.006354852316367467,0.006780653437819765,0.005192336322186734,0.006100590181702708,0.0033199665006058373,0.0039327154286259184,0.0010792924505566928,0.0014006230199573946,0.0038391862960630656,0.0035711230074472237,1.4999999999999991
15.9%,1.0,182.7364657073634,170.96480077501627,215.51147429615148,215.97917813571206,218.00446355962586,222.26657929943636,204.08911229672398,208.49653390447673,229.6434655479818,232.88325177214384,0.007601106531972756,0.007944684996559363,0.005892103771010246,0.006993713925306772,0.0038131169115884493,0.004545460947988686,0.0012158571089667888,0.0016053518366616769,0.004815306658562159,0.004518429200707629,1.4999999999999998
50%,1.0,258.669824383441,243.38573338493597,319.2567398622248,332.07686904488924,336.8648650121473,343.1208666192818,329.2274739680644,327.20156031548595,352.0077202904862,361.5786532170019,0.014674548408065018,0.014219489360757204,0.009361515345889975,0.011679738964333188,0.006381957493342989,0.007227320788570028,0.0019233816051764927,0.0025579360418027013,0.011137841618036895,0.010269135619985364,1.500000000000001
84.1%,1.0,366.17218290032247,353.3681952853753,471.76264068460375,502.65656416764574,510.21165242368556,518.7992847982543,528.2718881760212,505.11481243438703,540.2742695832206,544.3688149022948,0.028065502610769705,0.02556724870943241,0.014887741793091906,0.019477122922570377,0.010451793736269989,0.011615560762826969,0.003029615145363607,0.004026386769098858,0.02626748976261055,0.023136188555507274,1.5000000000000022
90%,1.0,404.0738243707502,391.90214004890623,528.8998421268722,560.5460619123609,569.1233941401329,584.1379058592883,593.8296837349917,566.3349375638996,599.5467919754265,607.8135429660134,0.034187273198951665,0.0301809969001566,0.017113637686113386,0.02215362010822195,0.012112120058682913,0.013190226172860635,0.0034325874070280185,0.004560633887559213,0.03352650667993638,0.028947822118300597,1.500000000000003
97.7%,1.0,517.5146866982261,502.94671958468484,678.0558544077742,749.4527181863632,761.707235023896,770.5934585512816,814.6447839669828,767.0348068650403,794.5155581612983,807.547575994441,0.05366606609219527,0.04466013914179657,0.02418093434618777,0.03178410560441621,0.01754399209789228,0.018474840695742362,0.0046974876343867985,0.0062776322397667655,0.05820474019237356,0.05079838572262828,1.5000000000000038
99.9%,1.0,749.6957761107719,771.6419646647277,993.3582692466407,1159.0984230868357,1169.1573215052572,1267.3084331037187,1369.7993031275428,1225.466897292116,1149.208530576045,1240.0804935272342,0.10473317947818143,0.08805804074560865,0.03670933316467206,0.05117759107063213,0.028287800323478055,0.028935542716482424,0.007731683102027249,0.009603779593952873,0.13377104990550331,0.12422440964549895,1.500000000000005
max,1.0,1232.446100190797,956.2413057386385,1277.456095865819,1611.2600710333159,1381.1476444423174,1458.2596766324714,1813.8555891168644,1817.047394716869,1544.275272884882,1772.262456757613,0.1791944234981461,0.15045526662208955,0.055897769941465725,0.06278723260369934,0.04055986722491442,0.031819996598510654,0.009563568086325825,0.011530525831721606,0.2804205584841473,0.23026913491653983,1.5000000000000064
