-,repair_cost-,repair_time-parallel,repair_time-sequential
count,5000.0,5000.0,5000.0
mean,3288034.913562875,395.1206339113552,760.8206811634099
std,5095868.607543919,189.57584741891324,237.11245035399864
log_std,1.1106437585169802,0.4864397072272224,0.32854630715023314
min,169226.50889518042,64.3824956139372,138.6082318949627
0.1%,223001.73911820375,77.55622543233919,170.15363821259092
2.3%,419895.98560085846,141.12840716579208,333.67579551113516
10%,568665.3478635838,189.54846068688073,465.3142504237783
15.9%,652565.8082440326,212.86317908774672,529.5065432435456
50%,999890.5315621543,344.5474164258138,730.0637923998788
84.1%,14266311.680208556,729.6499065298248,997.4778345757671
90%,14266359.85998011,729.9574571076026,1074.6671646047173
97.7%,14266414.413508588,730.3289879431096,1323.4854516002829
99.9%,14266472.175777711,756.8948938825156,1661.0626110621827
max,14266486.970156487,780.3729941936284,1862.282744973046
