dv-loss-dmg,COST-B.10.71.002-B.10.71.002,COST-B.10.71.012-B.10.71.012,COST-B.20.11.102-B.20.11.102,COST-B.20.11.121-B.20.11.121,COST-B.30.11.012-B.30.11.012,COST-C.10.11.001a-C.10.11.001a,COST-C.10.11.011a-C.10.11.011a,COST-C.20.11.001b-C.20.11.001b,COST-D.10.14.021-D.10.14.021,COST-D.20.21.013a-D.20.21.013a,COST-D.20.21.013b-D.20.21.013b,COST-D.20.21.023a-D.20.21.023a,COST-D.20.21.023b-D.20.21.023b,COST-D.30.31.013b-D.30.31.013b,COST-D.30.41.011c-D.30.41.011c,COST-D.30.41.032c-D.30.41.032c,COST-D.30.41.102b-D.30.41.102b,COST-D.30.52.013b-D.30.52.013b,COST-D.40.11.023a-D.40.11.023a,COST-D.40.11.074a-D.40.11.074a,COST-D.50.11.011a-D.50.11.011a,COST-D.50.12.023b-D.50.12.023b,COST-replacement-irreparable,TIME-B.10.71.002-B.10.71.002,TIME-B.10.71.012-B.10.71.012,TIME-B.20.11.102-B.20.11.102,TIME-B.20.11.121-B.20.11.121,TIME-B.30.11.012-B.30.11.012,TIME-C.10.11.001a-C.10.11.001a,TIME-C.10.11.011a-C.10.11.011a,TIME-C.20.11.001b-C.20.11.001b,TIME-D.10.14.021-D.10.14.021,TIME-D.20.21.013a-D.20.21.013a,TIME-D.20.21.013b-D.20.21.013b,TIME-D.20.21.023a-D.20.21.023a,TIME-D.20.21.023b-D.20.21.023b,TIME-D.30.31.013b-D.30.31.013b,TIME-D.30.41.011c-D.30.41.011c,TIME-D.30.41.032c-D.30.41.032c,TIME-D.30.41.102b-D.30.41.102b,TIME-D.30.52.013b-D.30.52.013b,TIME-D.40.11.023a-D.40.11.023a,TIME-D.40.11.074a-D.40.11.074a,TIME-D.50.11.011a-D.50.11.011a,TIME-D.50.12.023b-D.50.12.023b,TIME-replacement-irreparable
10,14295.552447926932,91077.1288316892,121338.27938512588,81829.77590524842,6725.6517083459385,95535.55190687743,171000.31432429122,28735.18790211465,0.0,3.8679245875105472,27.282042495447964,60.547758384955344,111.08005076897045,59084.67685173941,2818.775371361852,6539.331315663704,17222.29708712962,0.0,3137.09198041287,0.0,0.0,0.0,0.0,14.440137824407913,78.92679726250968,85.709039472906,68.04698614770734,12.796372886354956,134.64116696126624,132.55938987983902,37.153823129734306,0.0,0.020457450198802744,0.008730993998396625,0.1060162519774062,0.05764718545471039,16.162555574639807,1.2120365223280951,6.79520144500691,25.18786377270836,0.0,1.3516608762240048,0.0,0.0,0.0,0.0
11,10123.191808892869,90610.12957194737,140562.99025231908,62545.310875706455,77496.68474640229,134067.56499498722,201923.4373509733,33190.36547143843,953.1759573210637,117.67342362379173,56.145376991573215,633.3532106702521,217.70295873962067,49945.55251272421,4839.42655907723,23846.90526612333,37883.17157089304,0.0,10137.095409671718,0.0,0.0,0.0,0.0,7.528829377361974,73.99126212069285,127.36267606947837,53.07300818378004,126.98386409440269,97.71123375423801,190.24337193137404,28.72780621781486,1.0707008197071288,0.14118075862979457,0.08760088085086977,0.34802168142377804,0.33644253699846716,11.803297616858748,2.039221146024664,27.125346454349028,50.43071510833625,0.0,4.660465401619383,0.0,0.0,0.0,0.0
12,0.0,43863.03025554202,64257.17441738504,4435.064080838877,0.0,10509.544849453483,82713.93790620976,4091.8091826461305,0.0,0.0,0.0,0.0,134.80978567646864,53687.371037347635,0.0,552.2149609971681,17212.3628366848,0.0,218.29363551375044,0.0,0.0,0.0,0.0,0.0,40.54153981279485,53.67041528633527,6.754093523236304,0.0,15.35292611264456,60.45943427702075,5.580541090250167,0.0,0.0,0.0,0.0,0.2639690574603756,20.801468192314413,0.0,1.0474994437360845,23.03615328326978,0.0,0.05718147962576646,0.0,0.0,0.0,0.0
13,0.0,58695.654416390484,92122.68636544983,0.0,61747.54641723474,15981.358578481353,96013.49556857561,9012.493105697607,2289.706348496431,20.22945215172596,33.887057550587876,306.6845731994971,0.0,47327.43403907086,683.538546192845,11895.355420499805,9450.49834276591,0.0,3144.657622420447,0.0,0.0,0.0,0.0,0.0,67.16648768594894,55.22336171614407,0.0,61.98596828927933,11.40426671337178,87.55604313476762,10.840485619181907,1.082432829593625,0.012222916904544995,0.01569372981365136,0.3644658490502276,0.0,15.51479447163849,0.35830570385339117,13.076321562546791,9.219620217452833,0.0,2.1605081408947915,0.0,0.0,0.0,0.0
14,0.0,53612.694830177585,59411.88766967357,0.0,0.0,12698.06521593623,42847.195248149204,11281.394760975503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574.8373148114799,0.0,0.0,113.64462212968223,0.0,8674.309372801663,0.0,0.0,0.0,51.7731587659255,55.61503585092107,0.0,0.0,8.690327654808765,43.10553749664905,3.1640837602613163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.902755831671507,0.0,0.0,0.9741692333999611,0.0,4.748093356205065,0.0,0.0
15,671.1434326833992,60575.1361231396,90160.98893822182,8115.642643994195,0.0,50248.58883997981,156197.99420735324,30788.696749184855,0.0,10.74480658250073,0.0,0.0,0.0,52631.96644656704,1677.0905966987195,2303.4460135435056,17452.395791753726,0.0,55.65423155502262,0.0,0.0,0.0,0.0,0.6493181827230186,65.01125393682354,77.18310217332444,8.646593243791354,0.0,41.49011591814531,156.10441723283716,12.562205012145471,0.0,0.01717021241399405,0.0,0.0,0.0,12.236992115687459,0.8230291159101123,2.392901375978828,26.724646986623334,0.0,0.09271430461435044,0.0,0.0,0.0,0.0
16,0.0,55335.148837903405,81739.24079346213,0.0,0.0,16781.675658359953,86158.7592423603,15166.688874146275,297.52674583791065,1.8119286108657215,0.0,0.0,0.0,0.0,0.0,880.6505361355125,0.0,54079.32768930311,651.1233466712267,0.0,9153.972533596501,0.0,0.0,0.0,53.90582219748953,65.6149395783229,0.0,0.0,17.2062721373595,73.74766873521776,11.87148699919581,2.2735049492286215,0.0076257526613105284,0.0,0.0,0.0,0.0,0.0,0.6271100707234357,0.0,21.2200805198103,0.3135013786269976,0.0,1.8543096079155061,0.0,0.0
17,0.0,30431.030821930108,56409.419783072044,0.0,0.0,26784.33101372364,131175.97495593305,13841.913155278755,1504.4394111125457,0.0,0.0,0.0,0.0,0.0,0.0,1461.3072784312785,0.0,0.0,165.67637120823355,0.0,0.0,0.0,0.0,0.0,44.41366022654272,45.13008021352176,0.0,0.0,13.591580574226416,106.06742938642286,27.710731562137134,0.589941612919946,0.0,0.0,0.0,0.0,0.0,0.0,2.362475171826741,0.0,0.0,0.07070245367852614,0.0,0.0,0.0,0.0
18,3515.5613711797505,80345.95037995288,106185.96740067206,36677.86773434828,50460.445462676966,59080.12703432518,147567.67741088907,81035.53781649916,617.6524402426658,950.1123098924088,93.0037565378919,2264.761882118576,326.3920339541987,46859.90785662955,6097.373445426498,34179.27194424257,29196.55996753218,2118.269705283725,19896.800360893,0.0,7519.004793605877,0.0,0.0,2.758313170705853,70.29941618962773,82.3110805084749,18.040491682089584,80.15418511745419,50.1247346631824,146.98832443617894,58.18439999166774,0.5372712901110293,0.9385031409477502,0.0821998676828348,4.536513377088706,0.930758501373789,14.813851026208827,3.782504304083734,35.44789070808319,32.34950376992843,0.5009158806426444,8.769360800003659,0.0,3.95235654856101,0.0,0.0
19,9494.215278293485,58355.4595910057,101223.06934629998,50422.63248419663,196246.16123618543,43040.37128421989,206529.82626124882,42012.576902080604,1532.6190767416458,220.84680484783286,110.6539151360144,473.5543948472767,553.609476240674,49862.80589915436,8455.144579824917,23256.499130869764,27785.55769034018,0.0,14409.604635556198,0.0,0.0,0.0,0.0,8.298917813151276,77.79586165609874,90.480313966077,70.21728062551475,43.88833182887408,57.89816346120346,184.90953545033216,26.617628151460288,1.2225825937837103,0.31825763658682615,0.06836823601007444,0.6777754556338911,0.33392177740617957,18.77600176454157,5.308916657665149,24.547196724875654,33.445442989549385,0.0,9.324741517920357,0.0,0.0,0.0,0.0
20,850.2152538538497,59589.69191294524,79837.04434052878,0.0,108803.8241486322,18534.88899432218,170819.03462485917,16793.48614499865,1398.8708963050283,60.156100991893126,18.83678955103119,155.97831712756766,0.0,39508.75662506732,488.941389076281,9042.227454894466,8078.372531429171,55721.73688553172,7428.7678798716515,0.0,0.0,0.0,0.0,1.1002697714054404,57.71296741398408,65.10086638821545,0.0,91.50057001955068,23.134692851803244,155.98280728241534,10.958474148031653,1.3448519131125656,0.10188980696648905,0.014905057845273269,0.05370052917213716,0.0,10.961572753209479,0.5491549230002065,8.137321508216836,9.427348785628324,19.447463435083304,4.670920587209719,0.0,0.0,0.0,0.0
21,4768.494033385607,88633.90395991744,122350.81964911227,9411.848116245723,0.0,63390.079965277546,224101.47684475943,16095.929185311204,0.0,1.7078058498272446,0.0,0.0,0.0,0.0,0.0,516.6520134815839,8828.801672990203,0.0,0.0,0.0,0.0,0.0,0.0,3.385775124010924,78.69056786844442,80.51957293484244,4.643596359554071,0.0,57.24805410450385,128.55068718133384,9.39297826927844,0.0,0.007055620298464633,0.0,0.0,0.0,0.0,0.0,0.800560992079017,15.24486543761021,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,66664.30575427448,117922.02876220839,0.0,100391.63265248908,21205.694258996147,112311.07814729927,9577.692996976002,7345.168984611514,455.303741401769,125.95485508077313,1050.8150801714069,227.83883999830852,64696.12012478482,3442.613392339107,23516.4681719902,18337.444807588818,0.0,16267.47111106326,0.0,0.0,0.0,0.0,0.0,73.32793494852037,72.34998289527788,0.0,199.49284509870358,14.481144387710538,102.76234734392277,9.627739958771912,0.815967525998011,0.539833186837616,0.048021852695118675,1.097879777005771,0.6835686988113345,16.014427904793042,1.7707862871235356,31.047261866850288,21.447563501350896,0.0,8.677502692426074,0.0,0.0,0.0,0.0
23,1630.3522569709487,73942.63855395609,102401.3845426189,8670.63626264051,17089.571117668624,67175.7602654014,239012.64824540453,10841.116304257144,0.0,55.54572626559032,66.93061178352302,0.0,96.25530004170321,50579.980889917955,0.0,4381.104449504029,7211.906345927136,0.0,1319.21806073205,0.0,9114.938336065463,0.0,0.0,1.7482716730668173,90.27515213801696,75.99876580091647,9.136094862036911,23.781030584766743,49.12852611393151,134.61306359358804,7.327316981362992,0.0,0.08230652219250656,0.04927184138538594,0.0,0.044187109124790125,11.14531962663497,0.0,6.2191162621651825,12.981996046539251,0.0,0.9607564189914373,0.0,2.1171163650899536,0.0,0.0
24,29976.676943379316,88543.46189964359,132284.3550727802,126675.49337555541,0.0,160034.3565388817,158025.48251276746,80997.84632748282,2104.660889103139,11.516824177864269,0.0,0.0,0.0,43175.554103434224,0.0,2343.6265219495385,38838.2687750475,0.0,891.959018370088,0.0,9331.03108853589,0.0,0.0,24.697908155628923,89.84834421763502,143.56357452747937,122.08755083829884,0.0,123.60953332314116,194.02240305881756,62.557605519544424,4.056347944228376,0.03377979630443594,0.0,0.0,0.0,11.539793825668701,0.0,3.144001974377667,37.1196746247084,0.0,0.4774698358329357,0.0,2.56209752478109,0.0,0.0
