cmp-ds,B.10.71.002-0,B.10.71.002-1,B.10.71.002-2,B.10.71.002-3,B.10.71.012-0,B.10.71.012-1,B.10.71.012-2,B.10.71.012-3,B.20.11.102-0,B.20.11.102-1,B.20.11.102-2,B.20.11.102-3,B.20.11.121-0,B.20.11.121-1,B.20.11.121-2,B.20.11.121-3,B.30.11.012-0,B.30.11.012-1,B.30.11.012-2,C.10.11.001a-0,C.10.11.001a-1,C.10.11.001a-2,C.10.11.001a-3,C.10.11.011a-0,C.10.11.011a-1,C.10.11.011a-2,C.10.11.011a-3,C.20.11.001b-0,C.20.11.001b-1,C.20.11.001b-2,C.20.11.001b-3,D.10.14.021-0,D.10.14.021-1,D.20.21.013a-0,D.20.21.013a-1,D.20.21.013a-2,D.20.21.013b-0,D.20.21.013b-1,D.20.21.023a-0,D.20.21.023a-1,D.20.21.023a-2,D.20.21.023b-0,D.20.21.023b-1,D.20.21.023b-2,D.30.31.013b-0,D.30.31.013b-1,D.30.41.011c-0,D.30.41.011c-1,D.30.41.011c-2,D.30.41.032c-0,D.30.41.032c-1,D.30.41.102b-0,D.30.41.102b-1,D.30.52.013b-0,D.30.52.013b-1,D.30.52.013b-2,D.30.67.012b-0,D.30.67.012b-1,D.40.11.023a-0,D.40.11.023a-1,D.40.11.023a-2,D.40.11.074a-0,D.40.11.074a-1,D.40.11.074a-2,D.50.11.011a-0,D.50.11.011a-1,D.50.12.023b-0,D.50.12.023b-1,collapse-0,excessiveRID-0,excessiveRID-1,irreparable-0,irreparable-1
count,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mean,3692.2466304000004,600.3228672,89.08554240000001,42.02496,888.1127424,916.0114176000001,2477.5409664,142.01487360000002,1844.3980800000004,1918.7251200000003,5154.670080000001,298.2067200000001,7687.848960000001,1252.2931200000003,189.20448000000002,86.65344000000002,4303.720139999999,827.27624,1320.00362,2410.4359193563905,1721.775124475398,1497.9346097024993,359.6958855215049,1036.0420066413249,2205.6631479912726,2199.470409986849,548.6819811033083,3.1404,6.3268,1.8264,0.7064,0.1662,0.8338,1916.3271470089248,180.76590631149705,19.54407478080545,217.49096634157598,82.01381136855635,3827.0317709279357,366.7796217490842,39.29579882741092,434.9153510305431,107.71339288147027,56.4090992525924,0.158,0.842,1444.3068676670366,366.0014098681917,186.37099015355767,106.7046912,40.7513088,8.2584,7.7416,1.6908,0.2048,0.1044,0.9948,0.0052,15295.692576870186,4608.773371616341,1260.3215046675523,236.36086522307946,1.8658489532396558,1.3948696928073898,0.6482,0.3518,1.9704,0.0296,1.0,1.9634,0.0366,0.964,0.036
std,626.3630638143799,454.00350648711395,180.9923500162045,137.71746684978163,475.405656030271,350.6026262994024,667.4351788086537,299.8741922487045,1001.3511291515503,751.7424983102519,1396.100204462765,631.1967081946236,1319.7150114813517,964.4068460404062,385.3187679967377,284.34603065489813,2062.652825170493,738.4105194913744,1719.6709369906214,1106.595371114015,646.3598786065131,920.3255976842171,604.02221455478,672.8221240928317,749.7937991974644,982.3598981190364,310.9854107468911,2.702174714861703,2.550471082084271,1.902258330866623,1.3584432684594248,0.3722973019727799,0.3722973019727799,504.5704109388217,257.4499311397506,76.89250358055897,106.36359835279384,95.89898149585494,1002.8334671641285,522.420153286429,151.42007411270728,209.9994618513558,140.48632107894676,116.05100400532302,0.3647774835738967,0.3647774835738967,598.727821925327,380.94909885862296,336.4726221986006,36.040135515316294,36.040135515316294,4.6919539987584375,4.6919539987584375,0.7231182060963461,0.6064078710745929,0.44490474041710215,0.07193048588018706,0.07193048588018706,6159.320694664654,3755.9373477335294,2365.82077101294,52.48054204320523,11.99298485735014,11.574319634786907,0.4775797069341358,0.4775797069341358,0.24152744585537328,0.24152744585537325,0.0,0.19096526790678284,0.19096526790678284,0.18630872815957303,0.18630872815957303
log_std,0.19821965285814977,,,,,0.38988326139929136,0.382288353939986,,,0.40263403341368215,,,0.20141088360341625,,,,,,,0.49810380089572287,,,,,0.36497050950304377,,,,,,,,,0.3108873061023675,,,,,0.31350422428908986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
min,1105.92,0.0,0.0,0.0,0.0,36.864000000000004,36.864000000000004,0.0,0.0,115.20000000000003,0.0,0.0,2304.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,50.44815264747713,0.0,0.0,0.0,0.0,415.8326218888949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.57954458190449,0.0,0.0,0.0,0.0,30.96309568629035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.1%,1290.24,0.0,0.0,0.0,0.0,147.45600000000002,184.32,0.0,0.0,345.6000000000001,230.40000000000006,0.0,2534.4000000000005,0.0,0.0,0.0,0.0,0.0,0.0,203.85930385901932,155.44953107757738,0.0,0.0,0.0,484.5849535342136,52.14955214262659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.77216760076442,0.0,0.0,0.0,0.0,411.5257956357159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.6953161375506,0.0,0.0,65.62775364605635,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2.3%,2064.384,0.0,0.0,0.0,110.59200000000001,405.504,774.144,0.0,230.40000000000006,806.4000000000002,1612.8000000000004,0.0,4262.400000000001,0.0,0.0,0.0,0.0,0.0,0.0,695.3664167139665,539.1736776391022,35.665601519370945,0.0,116.78092625771421,886.6845125608896,391.90704863490936,48.23193682267648,0.0,2.0,0.0,0.0,0.0,0.0,887.9609394358793,0.0,0.0,0.0,0.0,1734.9473104957183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.61062723220604,0.0,0.0,20.2752,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2708.984355298762,0.0,0.0,146.36113651212025,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
10%,2764.8,73.72800000000001,0.0,0.0,331.776,516.096,1474.5600000000002,0.0,691.2000000000002,1036.8000000000002,3110.4000000000005,0.0,5760.000000000001,115.20000000000002,0.0,0.0,967.65,0.0,0.0,1150.0225311487638,886.2393380486216,311.0137287232456,0.0,302.27923774775445,1267.6744604851644,898.630808744141,168.4869530474724,0.0,4.0,0.0,0.0,0.0,0.0,1313.218930707269,0.0,0.0,65.45127050783825,0.0,2629.6984198342493,0.0,0.0,129.61665749485292,0.0,0.0,0.0,0.0,562.3021251480293,0.0,0.0,49.766400000000004,1.8432,4.0,0.0,0.0,0.0,0.0,1.0,0.0,6952.841068631557,325.11225283028415,0.0,175.8676729869039,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
15.9%,3059.7120000000004,110.59200000000001,0.0,0.0,442.368,589.8240000000001,1769.4720000000002,0.0,921.6000000000001,1152.0000000000005,3686.400000000001,0.0,6336.000000000001,230.40000000000003,0.0,0.0,1612.75,0.0,0.0,1345.8946242323457,1065.4721390227508,505.5005405085727,0.0,401.99993931083804,1458.4721738885412,1165.2240225950227,235.9401746513077,0.0,4.0,0.0,0.0,0.0,0.0,1451.2630752573023,0.0,0.0,101.43601548525578,0.0,2916.4621956284964,0.0,0.0,206.00221612967528,0.0,0.0,0.0,1.0,795.5958017726992,0.0,0.0,66.3552,5.5296,4.0,4.0,2.0,0.0,0.0,1.0,0.0,8772.520575982051,703.23179605211,0.0,187.63094572245748,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
50%,3833.856,516.096,0.0,0.0,847.8720000000001,847.8720000000001,2654.208,0.0,1728.0000000000005,1728.0000000000005,5414.4000000000015,0.0,7948.800000000001,1036.8000000000002,0.0,0.0,4838.25,645.1,645.1,2246.5258307501604,1696.731618779589,1448.3335472221722,67.36746326537497,906.478330352379,2157.9513617645503,2189.1541302587502,519.5514309700638,2.0,6.0,2.0,0.0,0.0,1.0,1902.4304693576555,69.37828309933676,0.0,226.6205528868544,54.60329611964984,3812.8755195693902,142.02650452614057,0.0,456.87876496835014,0.0,0.0,0.0,1.0,1532.1897624240626,272.63165268782336,0.0,117.9648,29.4912,8.0,8.0,2.0,0.0,0.0,1.0,0.0,15610.452560689664,3891.847380262173,301.8445271414997,231.23869321366263,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
