dv-loss-dmg,COST-B.10.71.002-B.10.71.002,COST-B.10.71.012-B.10.71.012,COST-B.20.11.102-B.20.11.102,COST-B.20.11.121-B.20.11.121,COST-B.30.11.012-B.30.11.012,COST-C.10.11.001a-C.10.11.001a,COST-C.10.11.011a-C.10.11.011a,COST-C.20.11.001b-C.20.11.001b,COST-D.10.14.021-D.10.14.021,COST-D.20.21.013a-D.20.21.013a,COST-D.20.21.013b-D.20.21.013b,COST-D.20.21.023a-D.20.21.023a,COST-D.20.21.023b-D.20.21.023b,COST-D.30.31.013b-D.30.31.013b,COST-D.30.41.011c-D.30.41.011c,COST-D.30.41.032c-D.30.41.032c,COST-D.30.41.102b-D.30.41.102b,COST-D.30.52.013b-D.30.52.013b,COST-D.30.67.012b-D.30.67.012b,COST-D.40.11.023a-D.40.11.023a,COST-D.40.11.074a-D.40.11.074a,COST-D.50.11.011a-D.50.11.011a,COST-D.50.12.023b-D.50.12.023b,COST-replacement-irreparable,TIME-B.10.71.002-B.10.71.002,TIME-B.10.71.012-B.10.71.012,TIME-B.20.11.102-B.20.11.102,TIME-B.20.11.121-B.20.11.121,TIME-B.30.11.012-B.30.11.012,TIME-C.10.11.001a-C.10.11.001a,TIME-C.10.11.011a-C.10.11.011a,TIME-C.20.11.001b-C.20.11.001b,TIME-D.10.14.021-D.10.14.021,TIME-D.20.21.013a-D.20.21.013a,TIME-D.20.21.013b-D.20.21.013b,TIME-D.20.21.023a-D.20.21.023a,TIME-D.20.21.023b-D.20.21.023b,TIME-D.30.31.013b-D.30.31.013b,TIME-D.30.41.011c-D.30.41.011c,TIME-D.30.41.032c-D.30.41.032c,TIME-D.30.41.102b-D.30.41.102b,TIME-D.30.52.013b-D.30.52.013b,TIME-D.30.67.012b-D.30.67.012b,TIME-D.40.11.023a-D.40.11.023a,TIME-D.40.11.074a-D.40.11.074a,TIME-D.50.11.011a-D.50.11.011a,TIME-D.50.12.023b-D.50.12.023b,TIME-replacement-irreparable
count,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mean,12219.867358894338,82187.83151450395,129510.20197110495,71035.18044375612,38312.524038888536,114357.87905816278,203006.35282925027,48515.92244907107,1824.9002002440102,127.29492534525171,39.96856203278056,542.7285312099036,132.85926271388485,41938.140788880206,1503.3695430551832,10712.654058789023,17991.83835391016,3024.126286597534,17.013527080460317,5219.345921154617,17.643536908006297,2830.4065760530034,185.96074782522064,228261.92875960292,12.167552471007902,82.28366902655647,104.14543234464898,57.343276718410685,44.00107557714971,91.77462871038979,161.6073609217223,38.61720507462565,1.7828293770751515,0.13668117246539432,0.04345518145106182,0.6012163815036144,0.1474817109417956,12.162161358841395,0.861755026558799,12.641858524769026,21.798177639052255,0.8819232616675207,0.006958383962751728,3.1746171212262406,0.014230661290718979,0.9335441699865894,0.06081025102855431,23.360142157275902
std,11740.659372022239,23767.599485743518,38471.85035915602,73981.20942909301,41023.492572296935,70721.01584037652,65233.88546854832,41999.841439382544,2193.7427002105137,306.7461936384402,55.994882910671855,1362.5438884533028,191.35329747223648,21781.61942715477,2398.3630844360328,9579.745103064526,11647.093413169778,12977.314278711578,281.16721002960804,7341.85046758932,104.21094569516944,4106.03094564556,1892.1296670760682,1255566.1710795038,11.732377570901166,25.173129001933894,32.37697811285965,60.397407924735745,49.805030989041896,57.613932859629365,53.63241209566201,34.51501918162488,2.2157130292296285,0.3335441487768701,0.06292769075656228,1.5349444941546508,0.21616127606070104,7.208067574716021,1.1658487735571696,11.443902258892177,14.584991171797666,3.8172411517444926,0.11771416590804316,3.2264213829107096,0.09119852321431086,1.4176065155739097,0.6356157279551553,128.4936410595948
log_std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10%,774.7700695956235,58088.250591306525,91078.03065215993,4840.468419744299,0.0,36536.81718081612,122357.7684725269,11212.149612357003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555.4867592776027,0.0,0.0,0.0,52.648769691770404,0.0,0.0,0.0,0.0,0.7124017575771668,56.180250404651105,71.30994971073792,3.1881978641637327,0.0,29.779147102232145,95.18048051022228,8.560275430168048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6249569419712568,0.0,0.0,0.0,0.06066668628508696,0.0,0.0,0.0,0.0
15.9%,1896.4759903295676,64411.05988237364,101241.87622605308,9064.077841374594,0.0,49714.737478773015,146440.88134227408,13207.388417524742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1307.3765309397943,7227.246545758763,0.0,0.0,205.80702834391724,0.0,0.0,0.0,0.0,1.7853561784144785,62.616936062402836,79.92519168366672,6.82588427393617,0.0,40.01959105981486,115.64066502268665,10.3136333835695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5268756724937824,6.081965269013715,0.0,0.0,0.2441296598937527,0.0,0.0,0.0,0.0
50%,9514.567332864142,83576.02558859307,130934.33813803291,49330.56272894704,24102.84934604695,102151.79465823359,212414.74691874898,35572.022529166294,1251.7594727369624,22.107968443070313,15.253271242055824,92.56421079295677,50.49202112018358,48200.31907316038,319.57177668971394,8343.843196692025,18483.9707067775,0.0,0.0,2349.4578345543628,0.0,0.0,0.0,0.0,9.391065062229767,83.11089965293425,104.38076136571473,38.93660514739281,26.88328967823428,81.21652552167322,167.51005391897152,27.363677382696757,1.193616607534315,0.024023720392464573,0.014956175692848645,0.1011085843775997,0.05126026997399306,13.044545890154374,0.36496236430594414,9.745080250701132,21.586539370744518,0.0,0.0,2.113570941025003,0.0,0.0,0.0,0.0
84.1%,21524.322893051285,103062.86042169255,161659.25422860918,134080.81396985118,83138.82674485045,181115.36562557952,260437.7899091329,97657.92831562106,3248.2227553600374,210.99525029592502,92.87918986114707,869.8145604676145,302.5338069917831,59277.775942375876,3369.65286692234,21041.49085390488,30222.669656819253,0.0,0.0,10461.153726951607,0.0,8408.30577312586,0.0,0.0,21.49624288172497,105.19795310254493,132.34798140100588,107.98772916840655,93.3047231371062,145.50760593793197,209.28135287223728,77.64196841319564,3.185733803048236,0.2230667484746983,0.0980636452994624,0.9552232130815593,0.33287207402003294,18.569571037441566,1.9017053608992112,24.826983213732433,37.384231811139536,0.0,0.0,6.500481205205516,0.0,2.7157410655995435,0.0,0.0
90%,27893.876313791603,109068.88624214932,171561.1948168505,168299.92914246218,96738.26060391536,208052.8211616606,273568.801360263,115484.47344395766,4180.960479277202,349.1392888389097,117.32157219121754,1445.0329131724388,389.4550286116453,62444.43686162449,4690.884552455978,25093.84134937363,32942.29267118649,2076.623885619062,0.0,14741.65554149809,0.0,9220.542027126501,0.0,0.0,27.779743876341318,111.58045999348467,141.32377388692223,136.27728366866455,112.41416441859472,169.39790125577554,221.71664102604777,93.43089403070105,4.1217982348554605,0.3698952480051445,0.13133916304667875,1.5701807349979462,0.4307812796201381,20.349668311209495,2.544734742560676,29.813107000944015,41.44448589312202,0.7963941511674268,0.0,7.864999293934588,0.0,3.1264747738165126,0.0,0.0
