,repair_cost-,repair_time-parallel,repair_time-sequential,collapse,irreparable
count,5000.0,5000.0,5000.0,5000.0,5000.0
mean,1037512.3496922088,278.7994347121136,670.1667019946101,0.0,0.036
std,1215723.1212396212,127.68368321829034,254.15143882612225,0.0,0.18630872815957303
log_std,0.5729784187418013,0.41251235647566853,0.39991705066333,,
min,62086.742129781065,24.638559607683984,49.758375211363145,0.0,0.0
0.1%,159759.0421402552,65.53755331938751,135.80284123864385,0.0,0.0
2.3%,314867.7558793044,116.27419010024613,257.4279629217939,0.0,0.0
10%,447508.1779468204,155.5029744588532,363.54220413270286,0.0,0.0
15.9%,519820.0584933659,173.72781827857267,418.5142688772161,0.0,0.0
50%,791251.7348137298,250.96811923992993,647.8259397455531,0.0,0.0
84.1%,1160401.1484942115,369.5921046653709,911.4411781758629,0.0,0.0
90%,1317793.4723644233,420.7769357698062,1002.2026778244596,0.0,0.0
97.7%,7133179.034867314,729.8880919597217,1267.1457341733515,0.0,1.0
99.9%,7133220.005510373,730.5452089048695,1683.6949337108135,0.0,1.0
max,7133238.5176195055,743.7100875361333,2053.0120375851675,0.0,1.0
