,1-PID-1-1,1-PID-1-2,1-PID-2-1,1-PID-2-2,1-PID-3-1,1-PID-3-2,1-PID-4-1,1-PID-4-2,1-PFA-0-1,1-PFA-0-2,1-PFA-1-1,1-PFA-1-2,1-PFA-2-1,1-PFA-2-2,1-PFA-3-1,1-PFA-3-2,1-PFA-4-1,1-PFA-4-2,1-RID-1-1,1-RID-1-2,1-SA-0-1
0,0.127792,0.0181533,0.0153926,0.147784,0.00926966,0.0142226,0.00310497,0.00554411,388.648535616,482.7227376960001,424.6468403726709,635.9221075776398,316.073579068323,432.6243936645963,277.4487919875777,415.0775733540372,345.5837317391305,424.45399621118025,0.127792,0.147784,2.9
1,0.176175,0.0734659,0.0231369,0.0156675,0.0099123,0.0081619,0.00261407,0.00257197,489.76034976000005,575.6479418880001,465.6327194409938,341.3791295031056,272.024175652174,333.14878049689446,344.9862145962733,280.211559378882,339.3617597515529,300.80891453416154,0.176175,0.0734659,2.9
2,0.118869,0.0345161,0.0172458,0.0143618,0.00870562,0.00897308,0.00263286,0.00276843,657.370416672,743.1143840640001,272.9134570186336,511.61456124223605,253.1863985714286,283.40098198757767,305.28130037267084,274.14146465838513,326.8848424223603,305.1004465217392,0.118869,0.0135701,2.9
3,0.0984618,0.285919,0.00957498,0.0117901,0.00716276,0.00832783,0.0020173,0.00303781,416.368109664,527.964529536,324.91443472049696,422.6754334782609,331.5780498136647,400.81509894409953,274.33330962732924,297.3826832919255,300.59608652173915,346.60990248447206,0.0984618,0.285919,2.9
4,0.0448526,0.123599,0.0108622,0.0104504,0.00771775,0.00635575,0.00207916,0.00193681,447.82192684800003,661.3919092800002,294.862719689441,348.0947026086957,329.7914935403727,294.7628004347826,271.3447247204969,241.63173596273296,287.1629419254659,265.37155167701866,0.0055666,0.123599,2.9
5,0.113321,0.0719079,0.0117654,0.0249466,0.0089459,0.0102149,0.00336564,0.00386214,529.97527584,552.6679841280001,368.97582844720495,433.05804322981373,361.784639689441,356.7217310559007,349.1898176397516,330.7707022360249,358.68714279503104,357.8528170186336,0.113321,0.0705628,2.9
6,0.105409,0.114997,0.0157539,0.027968,0.00939836,0.0122486,0.00285557,0.00459024,756.4714845120001,746.7050024640001,440.84774832298143,538.0601903726708,290.0695930434783,423.5127568322982,287.5766076397516,357.095429068323,333.76328391304355,396.6224870186336,0.105409,0.0872226,2.9
7,0.262577,0.0385874,0.0122086,0.0198843,0.00820871,0.00974243,0.00274399,0.00388023,383.908919328,334.50201014400005,385.1497581987578,427.6644018633541,301.0697037888199,370.4936019254659,293.56976453416155,317.0847619254659,323.56052881987586,354.3216705590063,0.262577,0.0122426,2.9
8,0.0456407,0.185499,0.0117197,0.0136871,0.00849225,0.0092011,0.00233057,0.00289597,308.505932928,353.747724768,317.0078240993789,403.57187118012433,293.50581621118016,290.1635171428572,266.066989689441,301.756149068323,305.218351242236,320.30016354037275,0.0435136,0.185499,2.9
9,0.0103194,0.0134539,0.00875484,0.0103744,0.00552138,0.00733451,0.00171021,0.00227765,427.57083907200007,292.850836704,293.19706571428577,256.4327751552795,226.84268708074538,271.2977626708075,245.36971527950314,253.46217571428573,262.6387600621118,274.6200778881988,0.00710705,0.00675589,2.9
10,0.277748,0.0127103,0.0107894,0.0130484,0.00754359,0.00811208,0.00227353,0.00207208,346.85373744000003,214.71898032,364.5953683229814,315.0933711801243,358.7261113043479,316.74703484472053,280.6591976397516,263.22728447204975,330.19616652173914,257.802668136646,0.277748,0.00523526,2.9
11,0.011544,0.112665,0.0127713,0.0167366,0.00820174,0.0102158,0.00236477,0.00319928,466.78039200000006,687.96248544,465.3449519875776,496.4308313043479,277.3588646583852,417.1249188819876,265.06879633540376,333.22371993788823,298.53175472049696,343.8741132919255,0.011544,0.11016,2.9
12,0.160753,0.0328909,0.0173442,0.0536123,0.0175957,0.0121074,0.00426865,0.00499874,826.2731062080002,692.9893512,618.9967850310559,619.7941406832298,459.9872815527951,451.0545001863354,337.486275341615,378.9627579503107,392.7336296273292,414.78680832298147,0.160753,0.0381246,2.9
13,0.0273866,0.121091,0.0154664,0.0111292,0.0112204,0.00784458,0.00264188,0.002376,701.7504600960001,464.482396224,394.023587204969,346.4600236024845,248.8039400621118,261.09201,326.0874867701864,283.53387459627334,330.76870385093173,296.73620571428575,0.00405724,0.121091,2.9
14,0.0441156,0.517296,0.0140321,0.0181912,0.00908888,0.0122618,0.00339296,0.00451857,581.6801808000001,561.141843552,462.23746316770195,488.8369679503106,437.1307520496895,433.70651919254664,328.37863527950316,376.8754447204969,354.11583689441,415.860940310559,0.041812,0.517296,2.9
15,0.114689,0.015616,0.0100259,0.0158349,0.00688273,0.00694762,0.0017706,0.00154587,446.960178432,322.72478179200004,276.9781722981367,390.1936821739132,288.8206023602484,285.47930248447204,292.8143749689441,267.87852577639757,288.4219245341615,241.7356519875777,0.114689,0.0158349,2.9
16,0.174349,0.0295689,0.0135496,0.0325913,0.0094341,0.0119909,0.00332457,0.00555491,752.737241376,506.4208191360001,494.5443557763976,515.7422256521739,326.8668569565217,463.14373080745344,297.6714499378882,377.13223720496893,354.843249068323,443.434657826087,0.174349,0.0122886,2.9
17,0.109459,0.0333975,0.0147589,0.0224835,0.00843186,0.0148375,0.00263731,0.0040039,453.85416576,646.4549367360001,437.7852231677019,520.5393490683231,297.1658585093168,429.3360509937889,289.6759111801243,365.7654227950311,346.4150599378882,358.1585699378882,0.109459,0.0121686,2.9
18,0.0131634,0.108211,0.00862245,0.0182602,0.00571687,0.0102781,0.00154567,0.00403495,207.96861772800003,259.38627321600006,294.2402227329193,412.5686008695653,282.0190986956522,350.2369714285715,211.39117354037273,292.0240136645963,239.61936217391303,374.8251016149068,0.0105789,0.108211,2.9
19,0.114347,0.0608745,0.0138087,0.0114755,0.00926383,0.00800952,0.00279103,0.00231079,653.636173536,705.6283279680002,387.46688571428575,361.3160183850933,292.2378408695653,264.2124883229814,327.28252105590065,283.3170498136646,317.19966906832303,295.16847260869565,0.114347,0.0608745,2.9
20,0.123521,0.0308977,0.0142095,0.0174952,0.00861016,0.007784,0.00222546,0.00412716,631.8052136640001,524.3739111360001,355.2619107453416,470.1220915527951,286.9041510559007,428.3398560248448,275.74416950310564,273.9486204968944,296.2376086335404,363.160527826087,0.123521,0.026424,2.9
21,0.0557928,0.115021,0.0123218,0.0198756,0.00707988,0.0113395,0.00185784,0.00367046,726.597539424,651.194553024,316.6730945962733,481.99149981366463,267.4438770186336,268.8097732298137,249.52535708074535,379.31347453416157,274.8528897515528,370.98020869565215,0.0447816,0.115021,2.9
22,0.131727,0.179894,0.0407411,0.0311709,0.0119801,0.0128694,0.00456507,0.00509466,388.648535616,482.7227376960001,658.96448689441,783.4678749689442,770.7031901863355,879.1315685714286,943.2067890062112,773.9575603105591,916.5643189440992,875.7493018012424,0.131727,0.179894,2.9
23,0.132757,0.0694895,0.0127697,0.0385605,0.00721897,0.0103644,0.00200008,0.00338677,489.76034976000005,575.6479418880001,947.2924873291928,1002.2400838509318,922.950158509317,992.4320098136648,1066.4881645962735,995.6044461490684,1160.2324093167704,1078.8182006211182,0.132757,0.00788922,2.9
24,0.214433,0.0601941,0.0128436,0.0203986,0.00835641,0.00848035,0.00284063,0.00280324,657.370416672,743.1143840640001,517.3329401863353,688.2398293167703,545.3712822360249,672.2797267701864,607.577013416149,679.7207136645962,589.5345936024845,729.8921698136647,0.214433,0.0197548,2.9
25,0.302177,0.0693594,0.00917106,0.0137263,0.00676216,0.01106,0.00182658,0.00370471,416.368109664,527.964529536,578.3616225465839,620.4825843478262,557.2896509316771,699.7075621739131,594.4056572670808,724.616433167702,615.428668447205,737.8377489440994,0.302177,0.0633419,2.9
26,0.226493,0.0387955,0.00842783,0.0166465,0.00648201,0.0106708,0.00141292,0.00391483,447.82192684800003,661.3919092800002,735.7544324844723,739.853120310559,739.6502842236026,741.5177750931679,774.4431678881989,878.1413687577641,822.6272300621118,860.5675702484474,0.226493,0.0116353,2.9
27,0.132354,0.0429228,0.0159135,0.0112911,0.00878596,0.00812847,0.00279984,0.00415357,529.97527584,552.6679841280001,693.2527783229814,923.4827281366462,659.0394263354037,856.27304068323,661.0797775155281,682.1877200621119,681.5852069565218,799.7297336645963,0.132354,0.0109054,2.9
28,0.154647,0.0457158,0.0327989,0.0291239,0.011848,0.0108674,0.00371132,0.0044618,756.4714845120001,746.7050024640001,1233.3433279503108,1130.366544099379,1299.8595757763978,1137.0211664596275,1107.3151720496896,1093.1566136645963,1202.3084074534163,1188.6594372670809,0.154647,0.0433834,2.9
29,0.0635867,0.131175,0.0104584,0.013952,0.00712892,0.00923603,0.0021099,0.00306977,383.908919328,334.50201014400005,591.0813436645964,390.58236807453414,488.5342126086957,402.33187322981365,553.1639849068323,377.2541386956522,616.0701500621119,395.7561870807454,0.0310935,0.11919,2.9
30,0.201447,0.0263902,0.0116722,0.0208862,0.00879915,0.0105867,0.00255409,0.00320012,308.505932928,353.747724768,376.11505919254665,468.679257515528,389.9189042236025,570.9705952795032,400.7111829192547,433.9263415527951,394.2514031055901,459.72449391304355,0.201447,0.0213453,2.9
31,0.0179761,0.010618,0.0094981,0.00882927,0.00636493,0.00543092,0.00169976,0.00219568,427.57083907200007,292.850836704,536.804205341615,647.4388008695653,597.1774173913044,696.6650208695652,613.8129740993791,650.8640329192549,656.3505991925466,569.436834720497,0.00765088,0.00618814,2.9
32,0.00910842,0.188822,0.00755994,0.0144303,0.00495031,0.00991812,0.00147929,0.00348538,346.85373744000003,214.71898032,523.9236142236025,360.4267370186337,613.4872373291927,407.4697213043479,541.2326267080746,392.35093888198764,577.6911643478261,523.2581519875778,0.00103846,0.188822,2.9
33,0.118133,0.00858036,0.0113856,0.0122241,0.00870104,0.00718001,0.0025231,0.00258558,466.78039200000006,687.96248544,650.8340571428573,647.5836837888199,596.5938889440995,586.7428496273293,543.2569908074535,564.360936583851,570.8566873291926,751.3518281366458,0.118133,0.00656672,2.9
34,0.0946504,0.128096,0.0190578,0.0216952,0.0110811,0.0151316,0.00262998,0.00525725,826.2731062080002,692.9893512,1213.6092751552796,1049.9115602484474,1343.344435403727,1181.0955496894412,1536.008742236025,1327.0376130434784,1509.5101559006212,844.8133713099382,0.0763394,0.128096,2.9
35,0.110883,0.026767,0.00938532,0.0159874,0.0072064,0.0112897,0.00178995,0.00349182,701.7504600960001,464.482396224,800.5520691304349,1013.5309596273291,809.0272203105591,963.861098136646,859.1786926086959,922.7782973913044,989.0927083229816,1112.3710863354038,0.110883,0.00380162,2.9
36,0.461432,0.0229139,0.0139067,0.0153083,0.010021,0.00908656,0.00336394,0.0039123,581.6801808000001,561.141843552,899.0045091304348,1283.272979503106,931.7750270807455,921.2305481366461,971.37402689441,950.3580100621119,954.826399130435,1165.757944099379,0.461432,0.012692,2.9
37,0.0191226,0.108617,0.0130648,0.012894,0.00823331,0.00858796,0.00166456,0.0023738,446.960178432,322.72478179200004,413.21607763975163,541.1816678881988,368.40329111801253,472.4542069565218,398.4000505590063,662.5176155900622,369.3505256521739,658.8695636024846,0.0191226,0.108617,2.9
38,0.137101,0.0584847,0.0168919,0.0131907,0.0102489,0.0114611,0.00278396,0.00478922,752.737241376,506.4208191360001,813.3956901242236,1027.1699378881988,861.3489388198759,836.4360710559007,868.4032381987579,793.6186720496895,846.8736363975156,802.3206399378884,0.137084,0.0547744,2.9
39,0.0548325,0.177853,0.0174047,0.0196679,0.0122438,0.0109519,0.0028712,0.00428913,453.85416576,646.4549367360001,632.5878020496896,819.2729406832299,752.4469431677019,877.0572448447206,950.4539325465839,834.1679039751554,964.867285031056,923.6875626086958,0.0548325,0.177853,2.9
40,0.106029,0.010399,0.0123456,0.00870131,0.00872079,0.00705567,0.00249713,0.00222541,207.96861772800003,259.38627321600006,288.8635676397516,430.2513113664597,374.6152711801242,380.9071866459628,354.92218527950314,336.8068244099379,360.47669664596276,352.9887477018634,0.106029,0.00396645,2.9
41,0.119516,0.073483,0.00977279,0.0172896,0.00705063,0.0101245,0.00187395,0.00305932,653.636173536,705.6283279680002,1336.2002086956525,1142.1670080745341,1336.5499260869567,1318.9441534161492,1282.8633105590063,1504.0046049689442,1385.4104416149069,1485.1998012422364,0.119262,0.069755,2.9
42,0.0544063,0.363301,0.0150518,0.0178139,0.00827616,0.0107667,0.00356736,0.00438244,631.8052136640001,524.3739111360001,996.4977242857145,929.1551442236026,929.0782063975156,772.5636867080746,821.4511804347827,864.6702548447206,887.3279450310561,883.3581530434784,0.0230239,0.363301,2.9
43,0.100635,0.0403602,0.0141684,0.0147076,0.00979686,0.00737973,0.00282293,0.00207013,726.597539424,651.194553024,645.9520023602486,689.8894962111801,605.7365007453417,740.4886067701864,611.601760993789,784.4290981987576,686.3843287577641,728.3384254037269,0.100635,0.0403602,2.9
