cmp-ds,B.10.71.002-0,B.10.71.002-1,B.10.71.002-2,B.10.71.012-0,B.10.71.012-1,B.10.71.012-2,B.10.71.012-3,B.20.11.102-0,B.20.11.102-1,B.20.11.102-2,B.20.11.102-3,B.20.11.121-0,B.20.11.121-1,B.20.11.121-2,B.20.11.121-3,B.30.11.012-0,B.30.11.012-1,B.30.11.012-2,C.10.11.001a-0,C.10.11.001a-1,C.10.11.001a-2,C.10.11.001a-3,C.10.11.011a-0,C.10.11.011a-1,C.10.11.011a-2,C.10.11.011a-3,C.20.11.001b-0,C.20.11.001b-1,C.20.11.001b-2,C.20.11.001b-3,D.10.14.021-0,D.10.14.021-1,D.20.21.013a-0,D.20.21.013a-1,D.20.21.013a-2,D.20.21.013b-0,D.20.21.013b-1,D.20.21.023a-0,D.20.21.023a-1,D.20.21.023a-2,D.20.21.023b-0,D.20.21.023b-1,D.20.21.023b-2,D.30.31.013b-0,D.30.31.013b-1,D.30.41.011c-0,D.30.41.011c-1,D.30.41.011c-2,D.30.41.032c-0,D.30.41.032c-1,D.30.41.102b-0,D.30.41.102b-1,D.30.52.013b-0,D.30.52.013b-1,D.30.52.013b-2,D.30.67.012b-0,D.40.11.023a-0,D.40.11.023a-1,D.40.11.023a-2,D.40.11.074a-0,D.40.11.074a-1,D.50.11.011a-0,D.50.11.011a-1,D.50.12.023b-0,collapse-0,excessiveRID-0,irreparable-0
4212,4386.816000000001,36.864000000000004,0.0,2617.344,1179.6480000000001,626.688,0.0,4953.600000000001,2188.8000000000006,2073.6000000000004,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,4560.477743340337,591.4377500419281,50.018549610223644,0.0,2345.1217085498997,2081.732607229931,624.7312796268147,0.0,10.0,2.0,0.0,0.0,1.0,0.0,2127.7266717967605,0.0,0.0,260.7166240296128,0.0,3448.5885751440173,0.0,0.0,425.0787104770149,131.0315984829774,0.0,0.0,1.0,2746.8684063453197,0.0,0.0,145.6128,1.8432,12.0,4.0,2.0,0.0,0.0,1.0,17406.56669448406,253.16145160785365,0.0,217.67334117495625,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4213,4423.68,0.0,0.0,3354.6240000000003,663.552,405.504,0.0,7488.000000000002,1036.8000000000002,691.2000000000002,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,6041.656267933557,385.34723507086613,85.38560545227962,0.0,7095.536330461984,2606.067061242562,247.66451347926994,0.0,10.0,2.0,0.0,0.0,1.0,0.0,1578.4048623118445,0.0,0.0,226.20825689601156,0.0,4585.782076544174,0.0,0.0,484.52376710718124,0.0,0.0,1.0,0.0,1873.9217541189842,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,21011.354710529526,0.0,0.0,250.74017311575375,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4214,4423.68,0.0,0.0,4128.768,294.91200000000003,0.0,0.0,8755.200000000003,460.8000000000001,0.0,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,5992.2676463946955,0.0,0.0,0.0,4960.102680552104,1444.526746542011,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,1940.7147703719845,0.0,0.0,387.9894915052782,0.0,3759.907267690421,0.0,0.0,480.1319416706047,0.0,0.0,1.0,0.0,1809.875998358641,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,23386.240985142726,0.0,0.0,206.2064479150511,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4215,4423.68,0.0,0.0,2875.3920000000003,1290.24,258.048,0.0,5760.000000000002,2764.8000000000006,691.2000000000002,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,4106.97883398458,733.8094181569754,0.0,0.0,2990.7313105237918,1666.685131100765,36.177454320770664,72.35490864154133,6.0,6.0,0.0,0.0,1.0,0.0,2444.274377457098,0.0,0.0,239.23422016575918,0.0,5771.636574870863,0.0,0.0,691.0309967953966,0.0,0.0,1.0,0.0,1798.601072455426,0.0,0.0,147.456,0.0,12.0,4.0,2.0,0.0,0.0,1.0,26933.05271600381,232.9769082322154,0.0,214.69376832734986,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4216,4423.68,0.0,0.0,3575.808,847.8720000000001,0.0,0.0,7718.4000000000015,1497.6000000000004,0.0,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,7086.693070032904,0.0,0.0,0.0,3454.938361567208,2717.6432058453943,0.0,0.0,10.0,2.0,0.0,0.0,1.0,0.0,1935.9379426966616,0.0,0.0,444.7210681383219,0.0,4127.013175195678,0.0,0.0,547.6422203515657,0.0,0.0,1.0,0.0,1746.4061017036909,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,29334.58459786655,281.4592844851531,0.0,213.31561475648337,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4217,4423.68,0.0,0.0,2985.9840000000004,1290.24,147.45600000000002,0.0,6105.600000000002,2995.2000000000007,115.20000000000003,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,7762.608308732257,1250.1774418441776,0.0,0.0,3689.559127770659,1600.0102074841905,56.421487091832425,43.61781471977462,8.0,4.0,0.0,0.0,1.0,0.0,1801.9081763797994,0.0,0.0,406.4731617538027,0.0,3343.955344086071,0.0,0.0,640.3985191864253,0.0,0.0,1.0,0.0,1805.9456485277406,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,25175.37659510562,0.0,0.0,217.8995128526751,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4218,4423.68,0.0,0.0,2248.704,1253.376,921.6,0.0,4377.600000000001,2880.0000000000005,1958.4000000000005,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,5574.055674307079,1467.9088947720188,0.0,0.0,2847.1259822874445,2473.2453940589103,399.7750678876308,72.30390320194378,6.0,6.0,0.0,0.0,1.0,0.0,2142.024380674479,0.0,0.0,268.66468435788875,0.0,4083.5023849197432,0.0,0.0,469.88761622708097,0.0,0.0,1.0,0.0,2133.1622652652654,0.0,0.0,147.456,0.0,12.0,4.0,2.0,0.0,0.0,1.0,17153.823368685673,0.0,0.0,347.5543595303048,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4219,4423.68,0.0,0.0,3538.9440000000004,884.7360000000001,0.0,0.0,7027.200000000002,2188.8000000000006,0.0,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,4086.1888703542054,54.718953941367666,0.0,0.0,3981.9131214231375,1815.8049215548053,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,1869.6130867735935,0.0,0.0,352.209527194245,0.0,6501.267241316781,0.0,0.0,594.6999626024395,0.0,0.0,0.0,1.0,1893.6891153035426,0.0,0.0,143.7696,3.6864,16.0,0.0,2.0,0.0,0.0,1.0,27635.81303811704,234.53452185646609,0.0,161.25011654379583,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4220,4423.68,0.0,0.0,3428.352,995.3280000000001,0.0,0.0,7372.800000000001,1728.0000000000005,115.20000000000003,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,7103.9801405832795,95.5658277908463,0.0,0.0,4576.741618979528,2232.4122591216383,0.0,0.0,10.0,2.0,0.0,0.0,1.0,0.0,2326.314405184974,0.0,0.0,221.5976639861596,0.0,3031.128106693071,0.0,0.0,457.6847739159611,0.0,0.0,1.0,0.0,2475.631045508113,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,21207.33084940245,0.0,0.0,274.30868686786965,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4221,4423.68,0.0,0.0,3428.3520000000003,663.552,331.776,0.0,6796.800000000001,1497.6000000000004,921.6000000000003,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,6203.194917129442,609.2167749923335,63.145051951074976,0.0,3752.307994425927,2603.0735289246095,83.00020740535753,0.0,10.0,2.0,0.0,0.0,1.0,0.0,2762.8489197056933,0.0,0.0,219.09518475161588,0.0,5685.922313823612,0.0,0.0,519.947139108726,0.0,0.0,1.0,0.0,1574.87375893432,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,20927.39084079219,0.0,0.0,257.80289019762495,0.0,1.0,0.0,2.0,1.0,2.0,1.0
