,repair_cost-,repair_time-parallel,repair_time-sequential,collapse,irreparable
count,5000.0,5000.0,5000.0,5000.0,5000.0
mean,369751.0232903814,133.343162595543,300.21835688591096,0.0,0.0
std,191389.49969879218,57.52148738691451,156.75881803793223,0.0,0.0
log_std,0.583288269196392,0.4759978967023077,0.5756502373099446,,
min,11807.928669044162,6.810420907124092,11.230636284265001,0.0,0.0
0.1%,36828.60270212807,18.71917662318345,29.863464140348885,0.0,0.0
2.3%,77537.20698553935,37.84434305433957,66.7199759183892,0.0,0.0
10%,147283.7369289265,64.71692139732421,120.71166870133354,0.0,0.0
15.9%,180435.2621984439,77.01598072544185,148.62833192425637,0.0,0.0
50%,344542.1796686071,127.14671224913843,276.74231062961206,0.0,0.0
84.1%,553239.497905805,190.06027728411246,449.4475839841863,0.0,0.0
90%,617560.0551695812,209.27380241928952,507.75384285041076,0.0,0.0
97.7%,813198.9870818587,262.06897007583916,668.8428153117057,0.0,0.0
99.9%,1192638.5178851048,375.59387546022066,1038.8214896597058,0.0,0.0
max,1451204.1521072465,443.195479994098,1212.1976210527675,0.0,0.0
